"","V1","V2","V3","V4"
"Father, mother, child",-2.05224887168679,0.301468316421324,0.832017207531135,-0.213778777944967
"Husband, wife, in-law",-1.75652804537769,0.731752743579091,0.738064349229822,0.158821643951109
"Parents, firstborn, secondborn",-1.56256992956266,1.13039673516803,0.674341162570577,0.660649654612451
"Trio of friends",-1.52104839148679,1.46848865491292,-2.57644879933068,0.245198708341779
"The three individuals in a love triangle",-1.92431468155862,-1.93776226516848,-2.26055300001663,0.388123768779667
"Doctor, nurse, patient",0.1970998180204,0.408387039489536,-0.213343403041026,-0.943178583518287
"Writer, editor, reader",0.55445821970742,1.03464366885137,-0.0966601252244503,1.05618819190672
"Tourist, tour guide, native",1.15571692052041,1.09159994742784,-0.606172818055236,0.184268734431709
"Landlord, tenant, real estate agent",1.56750786080538,0.988007952591635,-1.04642354498401,0.434668936453113
"Lawyer, litigant, judge",0.490944475525917,-0.603577660271807,0.231613424482297,-1.88036532480729
"Middleman, seller, buyer",0.558470674653798,0.272327325235376,1.09885688455795,-0.238267901959274
"Plaintiff, defendant, mediator",0.983381586826544,-0.072365410388198,-0.64454918777413,0.407037483440482
"Therapist, patient's family, mental patient",0.289822644785924,-1.34252991441804,-1.2082977120146,-2.12783157517762
"employee, employer, client",0.316090073154958,1.09541143386869,-1.0931762344631,-0.402874613109028
"supplier, retailer, consumer",1.31060396810835,0.556350181154595,1.29256357426137,-0.220633666500085
"Manager, employee, union representative",1.556379343231,0.658004681306814,-0.790815240530604,0.658094569015527
"Teacher, student, parent",0.47258685441199,-0.57419460704406,1.23895274520016,-0.279517701138412
"Volunteers, organizers, service recipients",-0.200364504790281,0.586277480918645,0.480004644243741,-0.692011539476905
"Parents, children, grandparents",0.316884577400298,0.158064333229157,-0.400492145883664,-1.48364798532606
"Director, screenwriter, actor",0.977159926154322,0.117395687051492,-0.612007804173692,-0.454711015403095
"Lawyers, prosecutors, judges",-1.71078663792142,1.03842245705895,0.981420438935658,0.702464895930882
"Guests, moderators, audience",-0.263126592504558,0.568550990814215,-0.957278822691184,-1.18811502163326
"Drug Manufacturer, Drug Dealer, Drug User",0.86416582780132,-0.794239105850227,0.705933908494726,2.47094820220303
"Sex Worker, Pimp, Client",0.286301226320633,-0.938464138899712,-0.0265075975737616,1.21519000601142
"Criminal, Cellmate, Prison Guard",-0.238099329291582,-1.95416534057477,1.29848723579466,-0.974139402400195
"Parent, Babysitter, Infant",-0.452986023062766,0.556644782258705,0.664833682233847,0.621632967957261
"Casino Owner, Gambler, Dealer",0.586869954298982,-0.966445133495315,0.191994166047993,0.907125524822096
"Lender, Debt Collector, Borrower",0.419117330858967,-1.57309455371164,0.233432019550499,0.568989361921755
"Cheater, Mistress, Spouse",-0.884154957419169,-2.13161174210163,-0.791765792652871,1.34001509640098
"King, Prime Minister, Public",-0.0484318389664344,-0.651519585964873,1.46319107874351,-0.726184464920954
"Athlete, Coach, Referee",-0.149416765377447,0.122630831063164,0.235942091628979,-0.674119700483884
"police officer, prosecutor, judge",-0.378313349917689,-0.0320005844208291,0.363994502400725,-1.26718723600078
"ticket scalper, organizer, audience",0.542651980999875,-0.433603737642361,-0.531655673285199,1.24780485170583
"parent, home tutor, child",-0.3038233446626,1.12074853755039,1.13050478578719,0.49934191191428
