"","V1","V2","V3","V4","V5"
"Father, mother, child",-1.96300106669967,0.236609173881467,-0.20694785715024,1.21170369107358,0.589227849330154
"Husband, wife, in-law",-1.69423885103582,0.698293374108737,-0.263562314552708,0.944330335394201,0.0393914222697354
"Parents, firstborn, secondborn",-1.45183480076248,1.10797373599048,-0.688350381613119,0.973153207116659,-0.180498117004483
"Trio of friends",-1.47083623544442,1.65071741986228,-0.915900103145717,-2.36188287039409,0.450416944100095
"The three individuals in a love triangle",-1.79129304191303,-1.79708416285985,-1.51910153660358,-1.81261209491261,0.927269244802634
"Doctor, nurse, patient",0.219167051743354,0.362431436602757,0.41004595124467,0.0783889370891876,1.11992982550577
"Writer, editor, reader",0.43490059910007,1.1320200691826,0.00899792353604056,-0.762647568464302,-1.84924656470916
"Tourist, tour guide, native",1.21790783215098,1.10251501960123,-0.300208153674552,-0.372602760813391,0.260655412979941
"Landlord, tenant, real estate agent",1.65487011850186,1.02475045744356,-0.60006908832649,-0.759713241144217,0.249446723540635
"Lawyer, litigant, judge",0.488008815327614,-0.723850204665972,1.05450548745706,0.59593946120225,1.89342559656784
"Middleman, seller, buyer",0.72864090122939,0.122691135050808,-0.234993637864502,1.7956826257057,1.08417217807677
"Plaintiff, defendant, mediator",1.02961882147018,-0.0411573973436982,-0.459566036338747,-0.536988034906908,-0.00117800442054723
"Therapist, patient's family, mental patient",0.36971266140628,-1.41253033386009,0.476603065808447,-0.455068459078456,2.95929387114951
"employee, employer, client",0.455607268600154,1.09117046338048,-0.470489208719136,-0.428343711682171,1.42280233226253
"supplier, retailer, consumer",1.35050869907348,0.430997444232634,0.392258743601385,1.47958052517749,0.215090034066317
"Manager, employee, union representative",1.45304368056361,0.757356186311946,0.0618223088725813,-1.30343415568957,-1.18921955294635
"Teacher, student, parent",0.422981671813635,-0.657303528077223,0.613048859935094,1.07186859530065,-0.21735093058055
"Volunteers, organizers, service recipients",-0.286489775669777,0.554079146725319,0.832425033429518,0.287746811154295,0.0549350944171932
"Parents, children, grandparents",0.208279499153237,0.139622872760249,1.15965302821315,-0.506505762796129,0.911208676151919
"Director, screenwriter, actor",0.787354172222178,0.185245181775937,0.941225822722424,-1.24358707007635,-0.597037855168326
"Lawyers, prosecutors, judges",-1.66898713607118,1.02519331256784,-0.391769319410395,0.995674701506327,-0.702554181809898
"Guests, moderators, audience",-0.457853695808892,0.640297264463955,1.19929750224849,-1.4437641897982,0.154474599871282
"Drug Manufacturer, Drug Dealer, Drug User",1.06555868892645,-0.794386733824924,-1.92308813493322,0.954504777143229,-1.36214496909373
"Sex Worker, Pimp, Client",0.379791630496829,-0.911900737710917,-1.05574420933507,0.0722985469276678,-0.608903020533058
"Criminal, Cellmate, Prison Guard",-0.570146203152833,-1.96955030693619,1.94437655635413,0.151098656592115,-1.20165141212717
"Parent, Babysitter, Infant",-0.339809612380278,0.514799877182853,-0.625977986292374,0.97328926748385,-0.0878151634418308
"Casino Owner, Gambler, Dealer",0.735430959506169,-0.993700333562854,-1.0378381656268,0.564919332031355,0.00968478169118669
"Lender, Debt Collector, Borrower",0.444883365175422,-1.57584818720603,-0.425099366800081,0.187358638131879,-0.38295005100782
"Cheater, Mistress, Spouse",-0.835212526667546,-2.01944577799389,-1.29647724505481,-0.897921996264863,-0.818924993862565
"King, Prime Minister, Public",-0.404073082498688,-0.656536777057216,2.04904085094828,0.190125464765881,-1.695428292269
"Athlete, Coach, Referee",-0.275876707274117,0.11950638967384,0.899647876455283,-0.119927487120137,-0.144411897668671
"police officer, prosecutor, judge",-0.663816865936572,-0.0149847608558645,1.83459668990246,-0.493921951869515,-0.539970170645796
"ticket scalper, organizer, audience",0.650209855168423,-0.381324225146995,-1.18181054721775,-0.3672629702437,-0.485999997047861
"parent, home tutor, child",-0.223006690314017,1.05333350630273,-0.280552408069731,1.33852075145829,-0.276139412446683
