"","V1","V2","V3"
"Valence.Evaluation",-0.0602978735884663,0.617915794292463,0.716365674125926
"Equality",-0.345615975189328,0.0228012103351336,0.59279608450933
"Activity.Intensity",-0.749938431425236,0.463890057784921,0.189933216822317
"Socioemotional",-0.901058823030942,0.163297858014481,0.373400158681712
"Formality.and.Regulation",0.79774169824772,0.273258841198437,-0.341406855578485
"Intimacy",-0.951068594618052,-0.00300998650765497,0.193122806154361
"Visibility",0.565406447777744,0.391306566679435,-0.294374810064189
"Communal.Sharing",-0.877187619117933,0.229228222758551,0.345340834410607
"Expected.Reciprocity",0.73004030869768,-0.0271418718426549,0.0780318625839137
"Strategic",0.929746121556558,-0.0862991355932715,-0.25342424852322
"Concreteness",0.935441266840775,-0.05186896074833,-0.152248918970194
"Uniqueness",-0.703066503985586,0.318397360795798,-0.0275553417346611
"Love.Expression",-0.893076157222485,0.295798176810928,0.195976122486319
"Information.Exchange",0.0182707769630717,0.842156366415971,-0.109232536934822
"Money.Exchange",0.664761152317792,-0.316052566272645,0.114365649815997
"Goods.Exchange",0.440881715880778,-0.214393903537157,0.289997982086388
"Service.Exchange",0.714643525775339,0.189086412335271,-0.0890879236608959
"Attachment",-0.932375453430672,0.247159117644727,0.112720441641784
"Mating",-0.859497905291151,-0.0110823930148082,0.0273975352222381
"Conflict",-0.129188678159812,-0.599666847092811,-0.708956147530289
"Negotiation",0.411483999567765,-0.0532578548533822,-0.579426479906456
"Coercion",0.0493990504419353,-0.58318612632954,-0.666496308320072
"Importance.for.society",0.202685344542629,0.880460383845301,0.0781497910266261
"Importance.for.individuals",-0.506934847226571,0.676353758777865,0.210105570394005
"Affiliation.Coalition",0.431579309950577,-0.243763121229627,-0.0767032403823482
"Occupational",0.923823668095024,0.104322680157775,-0.0818245534529789
"Activeness",-0.549995771185293,0.295234355582282,0.16178535505116
"Endurance",-0.696690588003661,0.532038028060096,0.233213888082179
"Synchronicity",-0.483028642481136,0.517324192546662,-0.11419846645638
"Spatial.Distance",-0.663134619444707,0.528537023190119,-0.0734118512181947
"Morality",-0.0499547317462988,0.916241147099464,0.281605682177232
"Trust",-0.276036593941858,0.877086735732457,0.352180549421031
"Generation.Gap",-0.299433114384869,0.766436618720132,0.118556321158888
