"","V1","V2","V3","V4"
"Valence.Evaluation",-0.146639716188521,0.755709358836294,0.528938846631501,-0.202246154724691
"Equality",-0.223880599134529,0.0139239493549136,0.772667152686356,0.257082762424348
"Activity.Intensity",-0.652331774686684,0.435272964151189,0.215956217230719,0.397854525869204
"Socioemotional",-0.864395332629822,0.195367865482204,0.368784258151295,0.238323536559418
"Formality.and.Regulation",0.868511916389006,0.178453324910064,-0.266487826801008,0.0616519916244713
"Intimacy",-0.950749861065901,0.0331177543688053,0.153590984147556,0.176367200188742
"Visibility",0.711816114699462,0.256738441398307,-0.144827593389984,0.281723712781081
"Communal.Sharing",-0.810903047936249,0.238902489725866,0.370142949575674,0.308730113742553
"Expected.Reciprocity",0.662343040506861,0.0134623044685933,0.0329988247907433,-0.315989463572754
"Strategic",0.882453129185268,-0.0985219029370974,-0.26826191564366,-0.275233651119709
"Concreteness",0.851249534149676,-0.0290406591382064,-0.217951220886429,-0.366297055041005
"Uniqueness",-0.745025134191825,0.355382523958486,-0.17978932870406,0.0997059854464129
"Love.Expression",-0.870127484626529,0.317913018309967,0.139976578749358,0.246862699825906
"Information.Exchange",0.00628409349197123,0.841458421269926,-0.275128145308548,0.0821877262682392
"Money.Exchange",0.393350637129526,-0.139352224566612,-0.164736499661445,-0.780613814897198
"Goods.Exchange",0.135930958009195,0.00727643969536125,-0.054994802315591,-0.818068139882647
"Service.Exchange",0.568481773325119,0.263671960286332,-0.290141731089951,-0.434213629312739
"Attachment",-0.883400652313525,0.243717235200051,0.0941687544631829,0.317471402312606
"Mating",-0.922428307387894,0.0465836147339683,-0.102850786412034,0.0422330508820033
"Conflict",-0.0888121321095399,-0.703656326781097,-0.598132645821461,0.144385858415449
"Negotiation",0.372267706848327,-0.0977346750530051,-0.635510961757027,-0.0981420103697739
"Coercion",0.0354955825282268,-0.650088700843639,-0.621523338173613,-0.015026189522928
"Importance.for.society",0.216075348397747,0.88087704790568,-0.038429157516765,0.0760684579359262
"Importance.for.individuals",-0.421546283293895,0.654891933738919,0.19720553335115,0.341238568562388
"Affiliation.Coalition",0.425657040443275,-0.256290694689013,-0.0242128198979783,-0.122218943917202
"Occupational",0.900122184182424,0.0963911978080104,-0.0870897713762175,-0.22491015110645
"Activeness",-0.496993787845836,0.288571215684467,0.164126890132132,0.243325842584831
"Endurance",-0.731324253643544,0.593496326551895,0.0698728278321103,0.102506357697386
"Synchronicity",-0.29012019268846,0.389605041705834,0.0316621864992751,0.595299613130488
"Spatial.Distance",-0.501156976772328,0.428306081395377,0.0202842094462408,0.562486303616164
"Morality",0.0261064986660378,0.902319710890811,0.243635352318876,0.241251711367841
"Trust",-0.255678354655762,0.910511503031493,0.235579627196333,0.154775485293245
"Generation.Gap",-0.334322878896434,0.810208129146181,-0.070264141924887,0.0600975257751253
