"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.149390991040082,0.772730181617301,0.504347459932664,-0.205795911658756,-0.0196237618967423
"Equality",-0.190939305266634,-0.0177516076448315,0.761763765706684,0.101789493791474,-0.387011769229752
"Activity.Intensity",-0.625872487996596,0.392913063717403,0.18605169417335,0.232673551062555,-0.445291463005981
"Socioemotional",-0.851651838170772,0.176024413358773,0.345683381091696,0.116923605694382,-0.299562265353947
"Formality.and.Regulation",0.853158236594387,0.187988054897524,-0.257714538504322,0.140771209898549,0.116014234854935
"Intimacy",-0.925118183294005,0.000681741936904806,0.134041950391093,0.0365594085784933,-0.304878620309765
"Visibility",0.662776507562549,0.291312792184668,-0.139899345473288,0.403590513780929,0.149314895701767
"Communal.Sharing",-0.812315722580704,0.230460235484072,0.347174636978606,0.215567517883395,-0.262591596558354
"Expected.Reciprocity",0.703982216074134,-0.0120581903209622,0.0413099523765597,-0.348513774259262,-0.0141665477381984
"Strategic",0.884977939598651,-0.0912831593138298,-0.249225267597283,-0.191591856024272,0.221598337875106
"Concreteness",0.866493166769442,-0.0298985387746939,-0.202004244925259,-0.307006949343823,0.18782022980654
"Uniqueness",-0.773292734935207,0.373352555013011,-0.19974104281322,0.122664401988715,0.0241932957603276
"Love.Expression",-0.854899310971736,0.291749301084396,0.11313530063059,0.123951965742896,-0.30827422249089
"Information.Exchange",0.0241904235262642,0.813367438520398,-0.303103399936459,0.0232127768757194,-0.192295345047181
"Money.Exchange",0.427290183153985,-0.140660941304506,-0.150168762894433,-0.735884088985324,0.272938867772275
"Goods.Exchange",0.202348619526991,-0.023625822585767,-0.0517842871269768,-0.868810020630961,0.0812855449580659
"Service.Exchange",0.583560501845611,0.263215329027241,-0.286684391818633,-0.381123119291754,0.180009474544369
"Attachment",-0.866551852399091,0.212423162169103,0.0687142653862257,0.183230921840656,-0.341243584756319
"Mating",-0.907429986920798,0.0262977658151982,-0.119596490253666,-0.0428233935480924,-0.158582467391247
"Conflict",-0.0588186580979805,-0.746736167101633,-0.580573013182704,0.0771708231586009,-0.107254116449309
"Negotiation",0.425222409168557,-0.154523215443216,-0.629793399174035,-0.176852558926349,-0.129191090664824
"Coercion",0.0521809616845388,-0.673547293513751,-0.600970137933268,-0.021569841166533,0.0467187969272066
"Importance.for.society",0.203524612156373,0.887044640989576,-0.062033690490072,0.0959068974192717,-0.0432517513692642
"Importance.for.individuals",-0.379442313301916,0.599083050213081,0.162969782469042,0.15254147528398,-0.501703531680973
"Affiliation.Coalition",0.4819586449036,-0.305066396233178,-0.0141286213839874,-0.222655773247971,-0.171061334437711
"Occupational",0.92503462877718,0.0817646025985565,-0.0768353320555066,-0.21288949863152,0.0459076238370692
"Activeness",-0.375233634231996,0.159131480173502,0.13351963669915,-0.130114097394075,-0.828714211298902
"Endurance",-0.718454133157658,0.574143609291071,0.038247415078378,0.00959741166466119,-0.235294300490787
"Synchronicity",-0.215385675768324,0.289364303828246,0.00245815429402365,0.306915112230498,-0.745981488981409
"Spatial.Distance",-0.452003120673946,0.353856475128304,-0.0104733292549957,0.332563332429742,-0.615365437659868
"Morality",0.0285579396108044,0.890666399924063,0.212983847784118,0.181968218754326,-0.244871783173031
"Trust",-0.237662293745883,0.88650418905338,0.199832163031197,0.0542484323064473,-0.301703337386419
"Generation.Gap",-0.34378495043011,0.812567485749547,-0.0999147181625526,0.0498870884469755,-0.0798606622631842
