"","V1","V2"
"Father, mother, child",-1.82364884428108,0.921293326308478
"Mother-in-law, Daughter-in-law, Husband",-1.89324321335102,0.405656745097934
"Parent, Firstborn, Secondborn",-1.62168938810463,0.944646428486227
"Trio of friends",-1.54005643077449,0.487844268598566
"The three individuals in a love triangle",-1.89383850175626,-2.09373474334301
"Doctor, nurse, patient",0.437437709240476,1.35226802550176
"Writer, editor, reader",0.373320575850479,0.0870351425180367
"Tourist, tour guide, native",0.514057710539788,0.486182140850114
"Landlord, tenant, real estate agent",0.602415608953003,-0.603503232220407
"Lawyer, litigant, judge",0.847577438909715,0.320692881602996
"Middleman, seller, buyer",1.10896642692324,0.197172080785561
"Plaintiff, defendant, mediator",0.730856460849504,-0.286811951851525
"Therapist, Patient's family, Patient",-0.058555464658685,0.880403190254857
"employee, employer, customer",1.23052424611758,0.410380005618518
"supplier, retailer, consumer",1.08006171930121,0.362559620426331
"Management, employee, union representative",0.815915216049977,-0.0128419168661545
"Teacher, student, parent",-0.230328881833309,1.17691157646825
"Volunteer, Organizer, Beneficiary",0.298399630056009,0.803329395223275
"Parent, Child, Grandparent",-1.62030137877651,0.915526021867887
"Director, Screenwriter, Actor",0.657902973227298,0.00732339127605164
"Prosecutor, Judge, Lawyer",0.249657358976911,0.0808402001755144
"Guest, Host, Audience",0.469026474192561,-1.70931003334877
"Drug Manufacturer, Drug Dealer, Addict",0.195144911886266,-2.16882922082428
"Prostitute, Pmip, Customer",0.111715684804445,-1.51143161797923
"Prisoner, Cellmate, Guard",-1.01343904918231,1.05180888160794
"Parent, Babysitter, Infant",0.720251542217273,-1.01116090286843
"Casino Owner, Customer, Dealer",0.670427845344238,-0.726579677273662
"Lender, Debt Collector, Borrower",-1.7743566519093,-2.47835029744554
"Cheater, Mistress, Spouse",0.71419350099946,-0.141455805806338
"King, Prime Minister, Citizen",-0.0784066807018777,0.426127003170621
"Athlete, Coach, Referee",0.680903423704289,0.19742523201185
"police officer, prosecutor, judge",0.764794915730271,-0.000313713923505043
"Reseller, Organizer, Audience",-0.327796135559188,0.894539960480872
"parent, home tutor, child",0.602109247014663,0.334357595419213
