"","full_feature","full_feature_p","favee","favee_p","hpp","hpp_p"
"Climates",0.16460828188313,0.1806,0.17976216318209,0.1901,0.129442250817763,0.1757
"Demographics",-0.0519891807928034,0.5899,-0.00842304143746747,0.4801,-0.314383560127295,0.9951
"Disease",0.0044102374520089,0.479,-0.0359533327859632,0.6467,0.00767164750481847,0.4534
"Gene",-0.0563397297474107,0.5643,-0.167842899340023,0.7536,-0.034203539836033,0.5329
"Geography",-0.210844415511139,0.924,-0.203245958655518,0.908,-0.18951879129619,0.9176
"Hofstede6D",-0.150628995763188,0.8088,-0.199993365441446,0.8799,-0.0723598195629421,0.685
"Language",0.0155996393655483,0.4706,0.00292903468021118,0.5,0.0373985876218235,0.385
"Modernization",0.351449910822869,0.0169,0.270251478608471,0.0457,0.26284300231392,0.0345
"Personality",0.13113426700917,0.2108,0.165056230516347,0.1928,0.0660370991581236,0.2893
"Political",-0.124271351724973,0.8144,-0.130257723938421,0.8308,-0.0609555015258049,0.681
"Religion",0.557395327195212,0.002,0.533411907350749,0.0031,0.400962240377122,0.0105
"Subsistence",-0.0788401267181758,0.6973,-0.0284688158188224,0.5625,-0.00349645996206819,0.4906
