"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.27208861844542e-16,0.0508512216414009,2.50158910127291e-15,0.999999999999998
"scale(x)Lexical",0.00380973243119551,0.0677040751808626,0.0562703562675999,0.955198903882069
"scale(x)personality_all",0.18551338319106,0.0593278465673763,3.12691921120683,0.00211006966680867
"scale(x)Coordinate",-0.126629638534141,0.062320193012795,-2.0319198707896,0.0438695873236431
"scale(x)Climatic_demands",0.193687984266123,0.0583035929957903,3.32205914445286,0.00111462864488999
"scale(x)subsistence",-0.00456875482902512,0.0596306742832887,-0.0766175275382639,0.939026622314412
"scale(x)disease",-0.0326726201629937,0.0596882324483342,-0.547387966150195,0.584899528204511
"scale(x)urban",0.332115229227464,0.0631655224331047,5.2578561283838,4.76241665261665e-07
"scale(x)wealth",-0.0848675641816377,0.0630733342962659,-1.34553793815625,0.1804166058785
"scale(x)edu",0.122597695081552,0.0572026414323593,2.14321737618568,0.0336560616470985
"scale(x)Hofstede_6D",-0.132338695587831,0.0658062889996912,-2.0110341670908,0.0460554009791173
"scale(x)new_gendist_weighted",-0.236024729436349,0.0681767733414421,-3.46195218501018,0.00069320361959857
"scale(x)religion_per",0.382747839570958,0.0799725529559572,4.7859900106196,3.93673163872766e-06
"scale(x)idealogy",-0.0857014889131779,0.0568845772558755,-1.50658566956874,0.13395220710285
"scale(x)demographics",0.0628586428736037,0.0611918350719243,1.02723905566356,0.305908303145624
"scale(x)check_size",0.0513154153215825,0.054651297806022,0.938960598954487,0.34921185753519
