"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.74008873764787e-16,0.0610654687903332,2.8495461872608e-15,0.999999999999998
"scale(x)Lexical",0.0289625859191618,0.0813034762289626,0.356228137621065,0.722154134093072
"scale(x)personality_all",0.070167617786083,0.0712447537348483,0.984881189248346,0.326217302019674
"scale(x)Coordinate",-0.154607511261322,0.0748381588207905,-2.06589143422875,0.0405032631272516
"scale(x)Climatic_demands",0.154329063079209,0.0700147631369794,2.20423602344086,0.02898181365319
"scale(x)subsistence",0.0125741558040451,0.0716084090382608,0.175596078350611,0.860840473434029
"scale(x)disease",-0.0286544418300564,0.0716775286428202,-0.399768830937877,0.689877142318763
"scale(x)urban",0.368228533158997,0.0758532856096314,4.85448362848822,2.92089460062445e-06
"scale(x)wealth",0.0931828711768978,0.0757425800727483,1.23025742042849,0.220464594162468
"scale(x)edu",0.0503891652749719,0.0686926685802259,0.73354502476669,0.464334128039308
"scale(x)Hofstede_6D",-0.097246502931684,0.0790244906102042,-1.23058690009609,0.220341622496166
"scale(x)new_gendist_weighted",-0.046351748864517,0.0818711230590755,-0.566155038951538,0.57210716839804
"scale(x)religion_per",0.343677553740707,0.0960362657765393,3.57862262721031,0.000461393665159814
"scale(x)idealogy",-0.0679223430945205,0.0683107163396413,-0.994314607342283,0.3216194305734
"scale(x)demographics",-0.255797496713064,0.0734831528956926,-3.48103594678581,0.000648989921502975
"scale(x)check_size",-0.0570050076999699,0.0656288484878356,-0.868596798716282,0.386410624001632
