"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.6027853656405e-16,0.0611238299590842,-2.62219394091207e-15,0.999999999999998
"scale(x)Lexical",0.082433332158816,0.0803883660193056,1.02543858322757,0.306743731825968
"scale(x)personality_all",0.0309026437728655,0.0712463119689293,0.433743767485709,0.665073747639009
"scale(x)Coordinate",-0.201354488160998,0.0748908192416149,-2.68864047956776,0.00795411376756108
"scale(x)Climatic_demands",0.116053031760735,0.0700754059631835,1.65611643865049,0.099708351817905
"scale(x)subsistence",-0.0625567287418231,0.0716763188194547,-0.872767041781221,0.384131458077039
"scale(x)disease",-0.141799726445948,0.0710551174909278,-1.99563003275665,0.0477150145295904
"scale(x)urban",0.139962932238632,0.0757893332946991,1.84673655452807,0.0666799342736515
"scale(x)wealth",-0.154234941872994,0.0751213270618418,-2.05314453172564,0.0417287176198799
"scale(x)edu",0.164422896474981,0.0686108400666213,2.39645654120145,0.0177381772320062
"scale(x)Hofstede_6D",-0.0727889022668083,0.079074609690592,-0.920509156499427,0.358728018198139
"scale(x)new_gendist_weighted",-0.117886326328792,0.0808429379765348,-1.45821427671282,0.146791820738428
"scale(x)religion_per",0.39870301479367,0.0960661573811918,4.15029627147062,5.44405374383356e-05
"scale(x)idealogy",-0.0802412821701216,0.0681631531001548,-1.17719440079628,0.240910865029192
"scale(x)demographics",-0.00992342075324011,0.0733162658578642,-0.135350875240677,0.892508951206335
