id,study
0,
0.1,
0.1.2,
0.1.2.3,
0.1.2.3.4,
0.1.2.3.5,
0.1.6,
0.1.2.3.4.7,
0.1.2.8,
0.1.2.3.5.9,
0.1.6.10,
0.1.6.11,
0.1.6.11.12,
0.13,
0.1.2.3.4.7.14,
0.1.6.11.15,
0.1.2.3.5.9.16,
0.13.17,
0.1.6.10.India,2.0
0.1.2.3.4.7.Qatar,1.0
0.1.6.10.Egypt,2.0
0.1.2.8.Russia,1.0
0.1.2.3.4.7.14.Brazil,1.0
0.1.2.3.4.7.14.Portugal,1.0
0.1.2.3.5.9.16.Chile,1.0
0.1.2.3.4.Mexico,1.0
0.1.2.3.5.9.Spain,1.0
0.1.2.3.5.9.16.France,1.0
0.13.17.HK(region),1.0
0.13.17.CHN,1.0
0.1.2.8.Israel,1.0
0.13.Japan,1.0
0.1.2.3.5.Germany,1.0
0.1.6.11.15.South Africa,1.0
0.1.6.11.15.Australia,1.0
0.1.6.11.12.UK,1.0
0.1.6.11.12.USA,1.0
