,exchange
USA,0.48123278869608155
UK,0.6406075669913031
Australia,0.6113902167839584
South Africa,0.6431440906972741
Germany,0.5970724572766527
Japan,0.6640852243189695
Israel,0.69592416966591
CHN,0.6538471940315685
HK(region),0.6492281352707483
France,0.12567889587207992
Spain,0.5572200849647628
Mexico,0.2979816650481733
Chile,0.6529337083966222
Portugal,0.5140341374043881
Brazil,0.5745217634058729
Russia,0.48414406257482234
Egypt,0.3263838430611181
Qatar,0.3281127350101047
India,0.08769187159004117
