"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",1,0.570297423401527,0.669280939302899,0.671217802878879,0.641380183745353,0.700718763816246,0.714543956793315,0.651974173961528,0.500252812548489,0.622317341305138,0.57942130060154,0.627771212588078,0.724148291872235,0.716507728377053,0.630871884305808,0.557632078850576,0.554448288894467,0.650489783038326,0.376074740246371
"UK",0.570297423401527,1,0.715504123701354,0.548910565758298,0.717911706552209,0.459674101553479,0.481062153146342,0.426172164449808,0.40153459692104,0.429164592274295,0.518036895848461,0.587554769017083,0.427631202361266,0.454040314009876,0.427389184197808,0.425935798835959,0.341444533353616,0.420841787185274,0.375373503994371
"Australia",0.669280939302899,0.715504123701354,1,0.62656136060576,0.718599844796673,0.619662529788593,0.578961012367714,0.512404861880453,0.441315887549083,0.481166833988046,0.556255438364448,0.652189792591634,0.576785914614924,0.514822982422672,0.512036406179402,0.461474794354226,0.43684192243492,0.463780305538428,0.360781127742249
"South Africa",0.671217802878879,0.548910565758298,0.62656136060576,1,0.609461431223473,0.530667192906921,0.542375627913521,0.505713653849883,0.417518420804974,0.482386935270414,0.52778813129359,0.55196463823304,0.580183230363334,0.511069547110631,0.545928035568377,0.546746897790456,0.516029215607516,0.559717863160889,0.358967684599529
"Germany",0.641380183745353,0.717911706552209,0.718599844796673,0.609461431223473,1,0.574465263416651,0.592723828673223,0.4642399152736,0.41120915330363,0.473545624524921,0.664308434439563,0.619058296140622,0.553873292868901,0.507387712286516,0.522071870732657,0.510450342780621,0.403830925493741,0.495365311816989,0.325222362492569
"Japan",0.700718763816246,0.459674101553479,0.619662529788593,0.530667192906921,0.574465263416651,1,0.79696937500858,0.763751518248883,0.515313447121564,0.69019392949916,0.477646290933844,0.556798185213618,0.68115375522834,0.732703751261616,0.589385462188624,0.468225767758923,0.51022560434973,0.59306253866786,0.283618008286377
"Israel",0.714543956793315,0.481062153146342,0.578961012367714,0.542375627913521,0.592723828673223,0.79696937500858,1,0.74140347366855,0.570792833569503,0.742235824787609,0.469216337514417,0.601197091367421,0.716245901244762,0.715696105806245,0.633114908566393,0.472286210458887,0.537266931432374,0.6697272696936,0.325691534932081
"CHN",0.651974173961528,0.426172164449808,0.512404861880453,0.505713653849883,0.4642399152736,0.763751518248883,0.74140347366855,1,0.584845968093822,0.630681149141468,0.423977463276098,0.555601445731227,0.634835904938307,0.64995714621663,0.586781714600626,0.465063042764427,0.577530798538864,0.610447968690832,0.323085934851808
"HK(region)",0.500252812548489,0.40153459692104,0.441315887549083,0.417518420804974,0.41120915330363,0.515313447121564,0.570792833569503,0.584845968093822,1,0.510651270121542,0.363622707495045,0.467685679162289,0.488198965298075,0.475206520132349,0.556526564017035,0.412450468012653,0.427745532491587,0.485721620493503,0.333181107110646
"France",0.622317341305138,0.429164592274295,0.481166833988046,0.482386935270414,0.473545624524921,0.69019392949916,0.742235824787609,0.630681149141468,0.510651270121542,1,0.427031505663472,0.484489211282547,0.601916337745064,0.678131540199514,0.563423221923078,0.450811368503089,0.467702204145536,0.562666609665087,0.273352990274608
