"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",1,0.687450973572581,0.751840851617038,0.706900097819674,0.704487696522927,0.673840087119351,0.687091232172622,0.658676863547696,0.610883311487225,0.513019389666317,0.615786947018513,0.679205251920824,0.68939853038971,0.603160958255058,0.552832970286507,0.407415026100886,0.417097658287498,0.377416476980249,0.397348464527155
"UK",0.687450973572581,1,0.757772124623972,0.668364078614463,0.692715509064843,0.654664744218139,0.663019016828398,0.662590538686706,0.577352101320798,0.569649910581544,0.61024494041342,0.638599611908665,0.628163797904808,0.564121087644192,0.494994086882394,0.378502859055414,0.384159179833684,0.438311074558775,0.345358199700388
"Australia",0.751840851617038,0.757772124623972,1,0.760609785362391,0.760559650396699,0.738493301858883,0.743414077338339,0.742253943047333,0.688730733439162,0.607564176411927,0.666398059647808,0.703986918244842,0.720485585573676,0.652475509806198,0.562187744636966,0.401330104804882,0.45405713713477,0.415016501926433,0.322108816705911
"South Africa",0.706900097819674,0.668364078614463,0.760609785362391,1,0.673199510866925,0.692783378257255,0.68353756396615,0.660122317251492,0.646185900619708,0.529931792556598,0.652134137255461,0.687287666688821,0.716739234269178,0.600988534869721,0.531150590256666,0.402066976355795,0.430686176251777,0.373556275545793,0.368230444823885
"Germany",0.704487696522927,0.692715509064843,0.760559650396699,0.673199510866925,1,0.730330298625137,0.751663808372195,0.687895397540864,0.625929509031152,0.617616970344843,0.676180021381816,0.689565190677354,0.722594218665268,0.653820644588231,0.507280012490308,0.398501188809836,0.402435843826047,0.444603076469063,0.312368007798868
"Japan",0.673840087119351,0.654664744218139,0.738493301858883,0.692783378257255,0.730330298625137,1,0.72483008857006,0.74798147465113,0.694424846743955,0.559965057479566,0.623396002087475,0.724940944165345,0.727729604945439,0.636940359690197,0.514334962166309,0.408259385250835,0.440753202565044,0.460566470601061,0.327150982825399
"Israel",0.687091232172622,0.663019016828398,0.743414077338339,0.68353756396615,0.751663808372195,0.72483008857006,1,0.735802042078817,0.693803170339304,0.603090949034992,0.682863976469007,0.663898231207382,0.725142259669763,0.61599089747391,0.51359528036835,0.440272531522648,0.477031863907589,0.4464825417328,0.373566684357512
"CHN",0.658676863547696,0.662590538686706,0.742253943047333,0.660122317251492,0.687895397540864,0.74798147465113,0.735802042078817,1,0.764454984508857,0.585908959019554,0.642083112516459,0.683648077742884,0.704397743943655,0.603013283782982,0.485449592283171,0.42747542427436,0.454366467688595,0.448841449349802,0.310923821656807
"HK(region)",0.610883311487225,0.577352101320798,0.688730733439162,0.646185900619708,0.625929509031152,0.694424846743955,0.693803170339304,0.764454984508857,1,0.560451711663538,0.613564732962497,0.685941366588479,0.72519295768877,0.581682712611001,0.502648292589464,0.420432388197629,0.435791891358177,0.401680215226654,0.291613683079847
"France",0.513019389666317,0.569649910581544,0.607564176411927,0.529931792556598,0.617616970344843,0.559965057479566,0.603090949034992,0.585908959019554,0.560451711663538,1,0.603889969275068,0.601177875995556,0.63404954198023,0.560190620133796,0.451109888623163,0.315300929249299,0.354552419650171,0.397492373812164,0.304859791999615
"Spain",0.615786947018513,0.61024494041342,0.666398059647808,0.652134137255461,0.676180021381816,0.623396002087475,0.682863976469007,0.642083112516459,0.613564732962497,0.603889969275068,1,0.671492174975527,0.738881504592456,0.581956056167806,0.439139374618749,0.380756427402334,0.379476949132042,0.412461854244424,0.34443313005378
"Mexico",0.679205251920824,0.638599611908665,0.703986918244842,0.687287666688821,0.689565190677354,0.724940944165345,0.663898231207382,0.683648077742884,0.685941366588479,0.601177875995556,0.671492174975527,1,0.793740321858507,0.66082793791747,0.582434114486845,0.371247498329071,0.402193504700658,0.439929266984165,0.37110648762032
"Chile",0.68939853038971,0.628163797904808,0.720485585573676,0.716739234269178,0.722594218665268,0.727729604945439,0.725142259669763,0.704397743943655,0.72519295768877,0.63404954198023,0.738881504592456,0.793740321858507,1,0.656644884100072,0.53524877626749,0.399340137922696,0.430669621832797,0.451305857491588,0.399689591373247
"Portugal",0.603160958255058,0.564121087644192,0.652475509806198,0.600988534869721,0.653820644588231,0.636940359690197,0.61599089747391,0.603013283782982,0.581682712611001,0.560190620133796,0.581956056167806,0.66082793791747,0.656644884100072,1,0.532671670186984,0.370229618197848,0.35417721656313,0.398197161938383,0.343824343562296
"Brazil",0.552832970286507,0.494994086882394,0.562187744636966,0.531150590256666,0.507280012490308,0.514334962166309,0.51359528036835,0.485449592283171,0.502648292589464,0.451109888623163,0.439139374618749,0.582434114486845,0.53524877626749,0.532671670186984,1,0.346921544105147,0.367055761831257,0.352454740761405,0.358487830756688
