"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2.98152628122672e-17,0.0548168311926964,-5.43907084075295e-16,1
"scale(x)Lexical",-0.190073033755602,0.087048749359194,-2.18352400413351,0.0304722207243837
"scale(x)personality_all",0.268474797950581,0.0616085646183942,4.35775122523183,2.35702777873645e-05
"scale(x)Coordinate",-0.17940361337418,0.0637007825764489,-2.81634865566797,0.00547700662419954
"scale(x)Climatic_demands",0.0762548793978125,0.0612683487553062,1.24460477468325,0.215120057339143
"scale(x)subsistence",-0.0247119492239622,0.0638022105065413,-0.387321207647322,0.699039660302173
"scale(x)disease",-0.000610320487840948,0.0639214870593154,-0.0095479707359531,0.992393982327913
"scale(x)modern",0.263730575307125,0.0568715563884444,4.63730187909384,7.35479625543101e-06
"scale(x)Hofstede_6D",-0.154244992680989,0.064531049725977,-2.39024459288932,0.0180147109593404
"scale(x)new_gendist_weighted",-0.125080575130218,0.0715525580475646,-1.74809368865709,0.082390238643323
"scale(x)religion_per",0.584476426005347,0.0873040829723564,6.69472040832745,3.57214469323898e-10
"scale(x)idealogy",-0.111466291355855,0.0602572767280163,-1.84983951164905,0.0662046153535618
"scale(x)demographics",0.0767899525638238,0.0633863312977896,1.21145917410907,0.227528225533322
