"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-3.40718652788381e-16,0.0598805841287646,-5.68996875607817e-15,0.999999999999995
"scale(x)Lexical",-0.346531437689073,0.0950899540504899,-3.64424866064269,0.000363352429173811
"scale(x)personality_all",0.0215746152830122,0.0672997098959583,0.320575160225288,0.748955954779747
"scale(x)Coordinate",-0.233881053357735,0.0695851983258276,-3.3610747541827,0.000973676061770242
"scale(x)Climatic_demands",0.0822546175801699,0.0669280662936499,1.2290003601669,0.220898918573618
"scale(x)subsistence",-0.0690814020907625,0.0696959957500631,-0.991181793836413,0.323112325568942
"scale(x)disease",-0.117517665539152,0.0698262905791799,-1.68300026486287,0.0943500005209349
"scale(x)modern",0.126713632795742,0.062125116369473,2.0396522405229,0.0430507369561848
"scale(x)Hofstede_6D",-0.0576533230933187,0.0704921621326535,-0.817868559412684,0.414663922229091
"scale(x)new_gendist_weighted",-0.0356086854400883,0.0781622884535939,-0.455573731841663,0.649322005371143
"scale(x)religion_per",0.74700765375024,0.0953688743304697,7.83282448277338,6.53718700624246e-13
"scale(x)idealogy",-0.0791157600505135,0.0658235955996481,-1.2019361648323,0.231186629424751
"scale(x)demographics",-0.0490041102500173,0.0692416993340678,-0.707725412884352,0.480158449709588
