"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.72424795828653e-16,0.0648602625156398,8.82550846430237e-15,0.999999999999993
"scale(x)Lexical",-0.131893519554261,0.107492236325243,-1.227005075559,0.221681133920977
"scale(x)personality_all",0.131135251545726,0.0745894632220525,1.75809351456702,0.0807054304052212
"scale(x)Coordinate",-0.113109434355058,0.0786020244160852,-1.43901426452206,0.152162806759501
"scale(x)Climatic_demands",0.047805643973481,0.0740516738826131,0.645571416106847,0.519511479157762
"scale(x)subsistence",-0.0250259572886649,0.0759405266545665,-0.329546796567549,0.742187340911366
"scale(x)disease",-0.0560467373538635,0.0770166609291597,-0.727722244481821,0.467881474078464
"scale(x)urban",0.275142969728985,0.0786629972674044,3.49774327557941,0.000612469605612132
"scale(x)wealth",-0.099437238020522,0.0817811668108375,-1.21589409760469,0.22587381329205
"scale(x)edu",0.138425953698371,0.0729429941551866,1.8977278805401,0.0595911899320936
"scale(x)Hofstede_6D",-0.00966333672090736,0.080272252249247,-0.120382030529086,0.904336428646582
"scale(x)new_gendist_weighted",-0.0121085002264971,0.0879367197179348,-0.13769560958535,0.890659700155934
"scale(x)religion_per",0.41425871858787,0.121666768602865,3.40486332747161,0.000842934326218072
"scale(x)idealogy",-0.0924926682259662,0.0727168395967853,-1.27195665734152,0.205293568627235
"scale(x)demographics",0.023073677769547,0.0780510259228212,0.29562299145642,0.76791367017623
"scale(x)check_size",0.00412741415776632,0.0694529103885908,0.0594275190870092,0.952688144890996
