"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3.33699705339275e-16,0.0640421376216385,5.21062721720464e-15,0.999999999999996
"scale(x)Lexical",0.238072638367494,0.106136366474602,2.24308261414303,0.0263092495686567
"scale(x)personality_all",0.0499867982644054,0.073648617559002,0.678720116156417,0.498327346944217
"scale(x)Coordinate",-0.163910942215738,0.0776105656954518,-2.11196685331394,0.0362926163024519
"scale(x)Climatic_demands",0.181650735179427,0.0731176117080848,2.48436362917119,0.0140415117865955
"scale(x)subsistence",0.022851482091939,0.0749826391451737,0.304756972446599,0.760960068951246
"scale(x)disease",-0.0520541412408714,0.0760451994346304,-0.684515809385416,0.494671749393867
"scale(x)urban",0.306846059293376,0.0776707694563359,3.95059893755624,0.00011808510771585
"scale(x)wealth",0.0799850459497818,0.0807496074887905,0.990531699623248,0.323458073514243
"scale(x)edu",0.0321482350379359,0.0720229164828682,0.446361194573158,0.655959318658497
"scale(x)Hofstede_6D",-0.0895580689878988,0.0792597258530298,-1.12993160175655,0.260250571392481
"scale(x)new_gendist_weighted",-0.0654034836668037,0.0868275163828309,-0.753257566166392,0.452437763822166
"scale(x)religion_per",0.177005816926425,0.120132106109899,1.4734264024681,0.142664010819408
"scale(x)idealogy",-0.062855358508048,0.0717996145597623,-0.875427519958765,0.382695895406262
"scale(x)demographics",-0.278301552517144,0.0770665173064028,-3.61118631338518,0.000411115211611748
"scale(x)check_size",-0.0977967154586928,0.0685768554244894,-1.4260892374451,0.155853532962132
