,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Teach Assistant and Student,0.8614162898300558,-0.7590252762202904,0.7039826120149759,-0.6542104856571741,-0.05656127193169556,0.26243742033370104,0.7032835839315879,0.1567963954285746,-0.01484664152279018,-0.2959754805123452,0.011225776898015327,-0.7101774835738682,0.02602848564895381,0.9624623513647411,-0.24474224802597774,0.39736124478801926,0.9779757350864212,0.4741745548731164,-0.583847962182131,-0.276217080932117,0.860367085266642,-0.470546055791918,0.992723974958245,0.8078846700132812,0.8568139370256975,1.0171050252993918,0.3734909564349888,0.20013039634857413,0.7738509200443155,0.8364294231258576
Senior student and Junior student,0.538283553180101,-0.005426111690680703,0.13726009376906348,0.8102590524316081,-1.2385753865258193,0.6185381734939673,0.8587283683112786,0.7920346169839259,0.49293943418421454,-0.5545715622181692,-0.7631571056858004,-0.7768544416713796,0.396657237960746,0.4632380320280187,-1.2515400549579547,-1.1831468697887186,-0.4631787956555039,0.03220587354045025,-0.1410580184266658,-0.8038823731712009,0.39816070037129137,-0.8074701607983376,-0.2729509866772077,-0.7857020339125566,0.5253426022930555,-0.4438392839951043,-0.13083711908517964,0.4484671746026458,-1.4916846229690501,0.7344334572051688
President of student union and Member of student union,0.3318311731876112,-1.1138116543944019,-0.10257378304213308,-0.005670812489733589,0.7677915936391921,0.12087139853910991,0.6824091333251844,0.24737813985988402,0.16193054931365441,-0.39960232564036197,0.5246306139938983,-0.501532684631534,-0.10786684183100877,0.7134703808339999,-0.7280473318035251,-0.8581624468490868,-0.17683586487490305,-0.2361460642065931,-0.2474919260475047,-0.6802347519334082,1.4757047049304453,-0.06124566156189705,-0.16056041653468037,-0.3558666637177774,0.5382805453788044,0.45985391115467206,0.7302565435758216,0.021414044368042617,0.7975154166516109,0.6345347895167973
Club president and Club member,0.4500487511426856,-0.7671003485567369,0.6605013772401235,-0.17147067447479178,0.5761972231515823,0.030554661032713832,0.9780725994366927,0.5015252511725216,0.7988115541134762,0.12806556975149985,-0.783827250355915,-0.7195199097319233,0.09169768911257767,0.7956817589506263,-0.49641131289584783,-0.24371254760070674,0.14302852172585515,0.03536593561170371,-0.3829743892417168,-0.32605034251594833,0.5789525240555279,0.26100210327925955,-0.06667721544297855,-0.2745865742611702,0.920785848462669,0.28515576507000934,0.709737759593864,0.16854999680181348,0.7073649533857238,0.6936251779207032
Teacher and Parent,0.5579324796842312,0.27160241767447535,0.019276224409469887,-0.818418740500081,0.46774921251117796,0.26839841671675974,0.6193054071196348,-0.09570726481968876,-0.044224107053097775,-0.3531774990230106,-0.27920834539944006,-1.2760446882104948,0.1830500735358918,0.8368745015844902,-0.5820149046739496,-0.48393292591417253,0.5566079141259718,-0.07226648157930518,-0.27499742234882024,-0.43874819820998967,0.7444117985552478,-0.4292049542800191,1.0583136085976532,0.6165676575691418,0.756869414519821,0.8836650447806508,0.9786016604483547,0.2427639357367007,-0.007708521239291496,-0.062256728991143595
Examer and Examinee,-0.21676738300465576,-0.7138048711361903,-0.9876261128776931,-1.2987558124895366,1.429646756817695,-0.9748361596976489,0.6856756791522954,-0.3807128689644148,-1.2867777445030564,0.12682204760996382,-0.3295982503166344,-0.8267384599966419,-1.0738838994298077,-1.9401345584889467,-1.0121523472673537,-0.6529542998480121,-0.4712081161851607,-1.048462760809754,-0.6670274328292799,-0.5597083327851131,-1.7954549622962455,-0.3071361883539621,0.9244014399171949,-0.2708938492093148,-1.2718181603199614,0.8259577407857547,-2.1950333098518997,-1.3770521759249155,0.7247015809368557,0.4487755022139095
Parent and Head teacher,0.5284590899280359,0.32360442196963657,-0.6671141434901966,-0.1472500798326441,0.7608194549751596,-0.26349700099282947,0.7217561626062918,0.11060942252307467,-0.12889644206243173,-0.16566472276386385,-0.13755930392714263,-0.41768464773940145,-0.12919530107560465,0.7663484889280432,-0.49242169651392487,-0.12676234160325642,0.497762690030626,-0.16009596824843916,-0.5560705821097937,-0.37891870406267053,0.00631180045002896,-0.5734513950531379,0.617656817077722,0.6479827314261773,0.8033000424149446,0.49441818177661495,0.7110327091464443,-0.21759216129266795,-0.12335487107919037,-0.4551064058952755
Private Teacher and Student,0.5311198820588033,-0.46498844869187883,0.745896881536622,-0.5869632955786502,0.820082633619435,0.35958637677144906,0.44113018018631883,-0.7476175176835598,0.6528441022513836,0.7312392569303231,1.1679588728601873,-0.5867251365485938,0.3850575495996501,1.1905809066296495,1.2081245806114393,1.0454783704426247,1.5677088327271047,0.4436771816374782,-0.6590518614110547,-0.7769778936214583,0.7039213391266738,-0.3869634310495847,0.5609255534988082,0.4506556505499063,0.5461129324486529,1.0426123480043554,0.39713412249325025,-0.1370621424484286,0.961194851518737,0.9822966673822
Graduate advisor and College student,0.5667178170154046,-0.9062223090960859,0.6148361793392993,-0.7711762862298003,0.46876431315958084,0.4220340067847415,0.9556111479562693,0.572067227627967,0.2925919512362439,0.04358629136197594,0.2937968590875127,-0.5941151549918822,-0.1489156622025523,0.7697381112417637,-0.06031148433015375,-0.19307060610820315,0.7412703446548999,-0.19908482341377362,-0.441356363643118,-0.525085343028404,0.028610894048373817,-0.40196820976251424,0.4024172722035725,0.23130186782269496,0.945022430829157,0.9656375871787265,0.33910825591976773,0.4335104751105582,-0.051142392713463256,0.7437437905530325
Head teacher and Student,0.8414199522076372,-0.9888783029841728,0.8565377548235305,-0.5522570087492155,1.0536492788645198,0.6582543733270765,1.4656377350528873,0.5497908140104582,-0.7035090893030266,-0.7100683536439006,-0.13201024876940912,-0.2733435066054566,0.9600372634018789,1.1291921502376912,-0.5576931750215741,-0.28979765391253043,0.8835177825164041,0.8059410715690282,-0.7088991827749628,-0.47446138340860633,0.10114163006825397,-0.2164705360833732,1.2262628220076521,0.8114089483008098,0.7338766115685617,0.8453784680917291,0.5371961748540888,0.4655623495639087,1.531406965756869,1.1960567124710444
