"","V1","V2","V3","V4","V5"
"Parent.and.Child",-2.05446618875902,-0.645301359414369,-1.27494871805138,2.32685798923217,-0.0872767767978014
"Parent.and.Teenager",-1.65290640463993,-0.551128198186155,-1.15645870842182,1.82667942505939,-0.598944003850111
"Wife.and.Husband",-2.13626963490229,0.129412411748219,-1.48920118460879,-1.08847556085098,-0.454263683318574
"Fiance.and.Fiancee",-1.20435428593766,-0.0261725517722058,-1.53790430533457,-1.18151982326365,0.21499603728067
"Between.Siblings",-1.31011039919697,-0.993271088607594,-0.489960008235783,-0.770308499160135,-0.26660271765376
"Between.divorced.spouses",1.49275059133698,-0.046845936932725,-0.159063495082387,-1.27406707671697,-1.07368642516765
"Between.a.person.and.their.in.laws",0.936168620976973,-0.984787069515108,-0.251924039708681,0.700066572413334,0.562910304081161
"Between.cousins",0.669522378758148,-1.31857696768914,-0.276575391492792,-0.735045556360842,1.07000447855822
"Employer.and.Employee",-1.15781922405545,1.35507900354161,1.21028324090882,0.530769001451702,-0.459326809262299
"Interviewer.and.Job.applicant",0.411348237447832,0.289263505678891,1.23689741515528,0.342704861864562,0.26076424724122
"Guard.and.Prisoner",0.198906704678575,-1.17825578623169,0.764885471034002,1.35759114309161,-2.32410027191538
"Nurse.and.Patient",-0.355969070532647,-0.0863493970504656,0.775502243379938,0.743968859149872,0.737720543321266
"Therapist.and.Patient",-0.834856936081058,0.403420146174303,0.40555796237744,0.749840828574635,0.438521104991924
"Salesperson.and.Customer",0.76955981781519,2.29437809188147,0.442291871601326,-0.638158657603469,0.659106483494727
"Between.Business.Partners",-0.99106444312764,1.63262419739551,0.376016065617489,-1.51564872640703,-0.274285007908403
"Between.opposing.negotiators",0.507611643864286,0.602645926036698,0.702997277299459,-1.25830454474834,-1.60093454015041
"Between.political.opponents",-0.369288967834345,-0.744051089580638,1.58917849471445,-1.33728835179656,-2.62499740708107
"Between.business.rivals",0.0678009615168247,0.444321406119466,0.856316984651828,-1.08242482755473,-2.28571157380191
"Between.enemies",1.04073930383405,-1.07035181364303,-0.222768709024602,-0.694054473353146,-2.62303223022641
"Teacher.and.Student",-0.953817143604073,-0.405856455254601,1.08286992102331,1.32618633149419,0.491375968237893
"Professor.and.Graduate.student",-0.749489970915357,-0.273079835574355,1.02885304571003,1.01348169378262,0.600248322608998
