,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Parent and Child,89.018198005698,30.8741053699387,91.1835944919278,86.3153802987136,27.4903856945524,79.6584844168177,60.7841448674782,90.8213772338772,41.7547094880428,25.5197466114133,47.7198351031684,82.8266451141451,98.4090511340511,88.1304131054131,37.6807373182373,36.839744977245,46.7923046089713,97.0751406001406,54.5562328103995,30.3838622796956,43.9207158582159,31.1378109544776,84.0758346319621,93.5661110675816,83.8030570645767,29.7595164095164,81.8430186643422,92.2563943590904,74.8463813782441,91.3747461960697,91.9718765983472,95.1220247254561,81.8869978605273,0
Parent and Teenager,71.1363032029699,31.8425677717344,81.1221412846413,81.2871320037987,26.6527097902098,65.6959412501079,59.2771184062851,85.8565257273591,42.322741301908,28.4718455926789,48.7174997841664,77.5400024358358,87.0840167548501,75.7051857093524,41.2621091871092,38.2493511118511,42.757068702902,83.4715281631948,53.3040336207003,48.1456568123235,52.6183998100665,36.1624868958202,80.028435190445,89.7518470998863,78.8502272418939,30.8923960571019,77.7930071743797,86.4416165443126,67.2308115994391,84.660347686083,89.2542897008583,84.1526812784166,77.0270384571855,0
Wife and Husband,87.1785396702063,86.5326437451438,91.2170551670552,86.6876284209618,28.3940408357075,92.1408529741863,55.951367305534,90.9458171458171,69.6012259345593,30.3102747561081,49.7667605542606,87.7419919586586,95.1336715753382,84.7620575412242,48.3355135605136,41.1889821598155,43.9958037333037,90.5808324391658,90.394077373244,40.5836186961187,57.2582099998767,23.3612657404324,78.3364822722666,92.5607035847232,85.6932833143618,36.6732487465331,83.5593926679711,85.644200924348,81.740520554246,88.5433732570987,90.2310772107341,92.4504155702685,28.6183088697795,0
Fiance and Fiancee,85.9805836139169,85.3447196322196,86.5625248208582,84.0145428645429,29.4989974531641,85.4433782267116,54.6546544504878,84.6980618147285,66.3639676681343,32.190484977985,46.3690483898817,81.5235218485219,92.0668354793355,78.3396424563091,40.6993188909856,39.1012448970782,38.4611979070312,84.5281144781145,82.3492112825446,30.2487702112702,54.7128380878381,17.9053821178821,60.5342210077504,83.8803980061333,77.5988921935,32.6106505876114,77.7782493378082,71.5120209855504,74.5212102621416,78.6005885091669,87.1780912533363,86.5523776695345,28.5576070806463,0
Between Siblings,74.415149356816,74.5417012000345,77.4594826469826,82.5947174738841,25.5906187947855,62.4499762583096,60.8554282137616,76.8748985582319,56.8555167055167,36.0999050332384,48.1163882413882,81.6638512721846,84.4831053206053,72.4546166796167,29.6957221790555,36.2324289907623,28.7380408172075,79.8331393914727,17.958021299688,47.7153613361947,49.3365167240167,28.3675244508578,71.5539751098575,86.0341547069488,78.2492684784351,27.6431110737483,72.3233574250731,90.8031371497058,70.96926449549,73.6487858455996,88.1231966925594,83.4600258311043,34.6554096865371,0
Between divorced spouses,30.4214549339549,62.1808005266339,33.1039745748079,34.2364305447639,65.6655335405335,23.0349283432617,48.4094923594924,28.3290490373824,50.363468013468,66.6816768108435,57.9850492100492,55.7714792923126,29.8301699843367,36.2897816689483,47.450203037703,35.8400132275132,23.898392656726,27.0475174516841,28.1806099764433,74.3288922497256,61.5161255411255,39.8695182903516,50.3790195189705,51.0262908569281,34.7809711802359,25.4629141464926,36.2269364531619,36.0695471376844,39.5534273370058,24.8930056417802,52.8562867415809,29.0007329090662,27.6992298551122,2
Between a person and their in-laws,61.446573642407,48.4775673400673,50.8843024259691,53.7144014935682,53.7700984200984,36.8183026849694,57.1663137788138,56.7635014676681,49.6595085470085,44.6830085038418,47.9977790727791,66.0092480050813,52.0674097507431,49.3925583675584,27.8631286922954,30.5351370851371,29.819764957265,44.2977730602731,17.3753282211616,45.5175333925334,40.590038356705,24.4285703494037,51.8855733591028,60.9889290448114,46.7326156505078,29.9550709457572,48.9562883648668,58.2443956007682,46.2887963706591,38.5691191705898,73.1096572454416,53.6352371303352,74.6063204859773,2
Between cousins,73.0191314857981,72.551498963999,60.3819466027799,69.6765000431667,36.7907817491151,45.33990330657,62.1165652248986,62.9787198912199,53.661408961409,34.1031252697919,43.7374622291289,66.1473554223554,65.4794158002491,58.9331548081548,23.8278787570454,29.7559045892379,23.7962048753715,52.3645334603668,15.9842796092796,27.6107586857587,36.9809170767504,18.4297640630974,52.0401929497518,61.7790847043298,56.7250994920113,26.7735810576497,54.8116026765537,71.3786233283782,56.0533174160625,43.3155991883933,77.0443032004306,66.4787999219372,36.5660370765763,0
Employer and Employee,77.0004618837952,31.292217967218,62.5115813199147,28.6969595219595,85.417665359332,23.3600186850187,77.7308330558331,38.2653688903689,68.1707101540435,76.0172944339611,76.3884048050715,46.2440616482283,25.4975749559083,77.0935425685426,83.5526535193202,47.3780303030303,73.7589045214045,39.8087522045855,16.543740981241,43.5555816097483,59.4711199294533,37.1118406285073,81.1831642213995,73.6905241454261,69.977814723403,91.7465559313599,72.1957415405945,68.8305632366907,74.4567596528381,69.5287591856219,76.2698877919466,66.8887703708782,59.6739156903373,1
Interviewer and Job applicant,64.1161767245101,32.9429259012592,33.1914733414733,27.6459497292831,86.7747992747993,19.9426379176379,64.0483997483997,33.6907450574117,53.0282535365869,76.8560655393989,58.2005306421973,39.7304212762546,18.9492624659291,68.1056457431457,50.2421977713644,33.3779501362835,46.2201599326599,21.5680034471701,16.0510782427449,28.0385141093474,54.926917989418,23.9921897546898,68.2199504471563,62.7889789676554,48.9148732803145,84.6730504517269,62.0362568622373,23.9606179314513,60.8089559496422,59.4969926134142,71.1161728522023,50.396399769439,54.9523985455358,1
