"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Parent.and.Child",89.2329415954416,30.2608575066908,91.607383665717,86.6533432616766,27.3746449538116,82.0434559267892,59.871751705085,91.1319185444185,40.1792109125442,24.7597751014418,46.2518863852197,82.9241198616199,98.3348087098087,90.619301994302,36.2812423687424,37.250351037851,46.4539207705874,96.9165547415547,57.0739095780762,29.7919430877764,42.5727360602361,31.3721543888211,85.1313901875176,95.6170369935076,83.0623163238359,28.4632201132201,81.0004260717496,92.4138017664978,72.9574924893552,92.1432647145883,91.8098395613101,94.9090617624931,82.1231089716384
"Parent.and.Teenager",71.349622291289,32.1527529569196,80.6684375809376,81.5677587844255,26.4126813001813,67.2867532159199,58.6798961840629,85.8714829923163,41.5303623845291,28.0298940257274,47.2947789864457,77.7945478903812,87.4173500881834,77.5021554063221,39.4080687830688,38.6225834350834,42.1439373897707,83.2902150318817,55.2222154388821,47.4648487315154,50.9461775878442,36.1326889160223,80.4775092645191,90.5620322850715,77.3409679826347,29.5868405015464,76.2883775447501,85.311986914683,65.156737525365,84.4196069453422,89.0228082193768,83.6711997969351,77.2168532720003
"Wife.and.Husband",87.6785396702063,86.2783702408703,91.2751036001036,86.8596369679703,28.2003086419753,95.9442717776051,54.7775781317448,91.1694638694639,69.0385478718812,30.6599898558232,48.248242035742,87.6248202414869,95.2377119793786,86.4539767331434,47.4678367928368,41.5834266042599,44.1917633292633,90.0399233482567,92.4789258580925,40.7593762718763,56.8784120200787,23.6006596798263,78.2022230130073,95.0607035847232,85.1516166476951,35.4463968946812,83.8325408161192,85.843274998422,81.291446480172,89.2748547385802,90.5412623959192,92.68189705175,26.9747903512609
"Fiance.and.Fiancee",86.3798001381335,85.5274119399119,87.3353168436502,84.617106967107,29.5616755158422,88.7788483121817,53.1058652766986,85.250768367435,66.2517881809548,32.3446872571873,45.5129230337564,80.6356430606431,91.9183506308506,79.718430335097,40.0169956586623,39.8320529778863,38.6450362908696,84.1685185185185,84.3350698684032,30.3149318274318,54.4138481888482,17.9462912087912,58.9555173040467,86.0563239320592,76.9785218231297,31.3560209579817,78.3291752637341,71.9425765411059,74.141580632512,79.5635514721299,88.1642023644475,87.4181184102753,26.8724218954611
"Between.Siblings",75.332528274195,75.1902054735388,77.4242262367262,82.8432929724596,25.2134820426487,63.8167853751187,60.0395450228784,76.753103686437,56.0841491841492,36.3940645773979,46.9005762755763,81.407790666124,83.7179538054538,72.8500712250712,28.310873694207,37.478893637227,28.6072327363994,79.2376848460182,17.2691324107991,47.1800078008411,48.1481328856329,28.3947971781305,70.1234195543019,88.1498954476896,76.9576018117685,26.4532962589335,70.6011352028509,91.437396408965,69.1266719028974,74.9450821418959,88.5259744703372,83.4692850903635,34.132261538389
"Between.divorced.spouses",30.4089905464905,62.5547321505655,32.9066811275145,34.3596499179832,64.9137529137529,20.0844297677631,47.2207459207459,28.632111715445,51.0230121730122,67.2415058706725,58.3789238539239,55.6962267670601,29.4458265499932,34.6327109618776,45.7133343508343,37.0844576719577,24.5377865961199,26.8283255324922,27.4114180572514,74.4293973002306,61.0853174603175,39.6654778863112,49.6567972967483,49.8411056717429,34.2115267357914,23.4906919242704,35.5093438605694,37.1575101006474,39.6830569666354,24.2587463825209,51.3609163712105,28.0840662423996,28.1112668921492
"Between.a.person.and.their.in.laws",62.1620294828628,48.7147468272468,49.9484049900717,53.6082761374428,53.9036454286454,35.3649551066218,56.547724035224,56.5448404990072,50.2784544159544,43.879589700423,47.2516964516964,64.8935914394248,51.5234703568037,48.0253866503867,26.7873711165378,32.2785714285714,30.6530982905983,43.9750457875458,16.0657322615656,45.6594525844526,40.6450888617555,24.901802672636,49.6726103961398,61.3037438596262,46.82983787273,28.3115524272387,48.5072142907927,60.1934696748422,46.5712037780665,39.0043043557749,72.929101689886,53.9361630562611,75.0415056711625
"Between.cousins",73.6327354744021,73.6950174825175,60.1013198221532,69.5404601571268,36.1650694984028,45.2729517396184,61.2497561080894,62.56418997669,53.3693861693862,34.2943645860313,43.4116075282742,65.4488705738706,64.1319410527744,58.1907305657306,22.4849494641161,31.4387328720662,24.3714574006241,51.3620082078415,14.4620573870574,27.6001526251526,36.886977682811,18.8277438610772,50.0726003571592,63.3207513709965,56.2621365290483,25.1763588354275,54.2282693432203,73.6425122172671,54.4514655642107,44.5100436328377,78.0674513485788,67.3723184404557,36.9364074469467
"Employer.and.Employee",77.4449063282397,31.2875883375883,63.1504702088036,29.0117743367743,85.8945172111839,22.7627964627965,77.7724997224997,36.5431466681467,68.4207101540435,76.8784055450722,77.15692332359,46.3403579445246,24.7247354497355,78.7126783710117,84.9958633958634,49.2144500561167,74.282361311528,38.7840608465608,14.114728635562,43.5864458072791,58.8013668430335,37.257519640853,83.314645702881,73.7683019232039,71.5543579332795,93.0372966721006,72.5951242566439,67.8404397799006,75.1172534799986,69.431845605375,76.5032211252799,66.9727209881622,59.4183601347817
"Interviewer.and.Job.applicant",64.9356211689545,34.3040370123703,32.8257326007326,27.9700238033571,86.9229474229474,18.9565268065268,63.9974738224738,33.2231524648191,53.2967720551054,76.8653247986581,57.1218269384936,40.008816337983,18.3566698733365,69.2426827801828,49.5804693763027,36.9489377906045,47.2411475869809,20.9396083854417,13.2856461439795,27.4446869488536,54.3330908289242,24.4798440756774,68.6397035335761,62.0334234120999,49.628453527228,85.3316924270355,62.8337877264348,24.1100006475006,63.7256226163089,60.3124247121796,71.6581481608442,50.8692392756118,54.5369664467704
"Guard.and.Prisoner",30.3040798707465,20.3428941428941,50.1810954477621,28.5179225095892,77.2611622944956,18.4565382148715,62.6629891713225,25.7813359480026,31.5584989084989,50.9044643627977,49.3597149763816,41.7970819304153,14.8125741542408,30.4533068783069,16.9163339746673,30.5449675324675,38.6569925444925,23.0625721500722,11.8703202661536,71.2224446849447,23.6679934263268,75.7838744588745,70.4744463234659,51.3399056553468,25.6474474508788,64.2059283762715,45.2868835412953,51.6171135690744,52.395282830822,70.6808382340245,56.4624596264302,29.2560774918618,47.4028523038327
"Nurse.and.Patient",83.8919074752408,57.5431577681578,56.8548417631751,45.6803421886755,72.1056178389512,36.6666275082942,63.3096385096385,46.4024897941565,47.7937630270964,45.9936276686277,60.4525070608404,44.2654741863075,44.2352974186308,67.3008577841911,33.9118065576399,39.2117003367003,78.3582431457431,48.8135702260702,14.9939093314093,23.2470538720539,33.8770803270803,27.6791265832933,84.2497618213305,74.6688025935575,66.9186638252815,77.2322024290162,68.0392897679662,40.8309461507991,67.3851045015261,76.3781713566027,81.781920829715,77.8839307479013,50.4070245567795
