"","Activeness","Exchange","Formality","Equality","Valence"
"Parent and Child",2.02307107935871,-0.666554507412049,-1.30457790829587,-2.31592093673659,-0.0346398959912769
"Parent and Teenager",1.60945489825759,-0.572093503479394,-1.16575285228075,-1.77269121637659,-0.535920577509373
"Wife and Husband",2.11468117146394,0.118097689990726,-1.51265575466058,1.13655397738185,-0.402876940339403
"Fiance and Fiancee",1.17362816006592,-0.0496484692788029,-1.55523005761279,1.22305695960493,0.256280796083634
"Between Siblings",1.30104958295944,-1.00072546052213,-0.467401654882513,0.80308953675658,-0.250611870113248
"Between divorced spouses",-1.50619704332289,-0.0230818452927964,-0.163556399258371,1.28192610844957,-1.06739346392477
"Between a person and their in-laws",-0.978391730014663,-0.981804627087577,-0.248217932012632,-0.691464437049404,0.576723083776271
"Between cousins",-0.702682316044045,-1.30787333854616,-0.260630353199205,0.775404173945319,1.06812260788348
"Employer and Employee",1.15890546405817,1.3436050316795,1.17773993905986,-0.506564678026642,-0.460133471992765
"Interviewer and Job applicant",-0.376381321268058,0.286684643372876,1.25670635582244,-0.318504565999775,0.255633890930116
"Guard and Prisoner",-0.208255401679117,-1.20803089826814,0.788669149471417,-1.34973179675184,-2.32154718379416
"Nurse and Patient",0.315699836969779,-0.110917584435528,0.777167728737622,-0.775533723131845,0.743325360809073
"Therapist and Patient",0.833437341089339,0.349182253080146,0.413859457913997,-0.80166277635475,0.428007806976674
"Salesperson and Customer",-0.737744968449149,2.30405205222642,0.430785353102819,0.630591782609352,0.629400304592589
"Between Business Partners",0.982877171824726,1.60953688931767,0.362327910006146,1.44120680355148,-0.289499002100679
"Between opposing negotiators",-0.433376920645331,0.616266844473774,0.704415686036547,1.22309429026213,-1.62965361191401
"Between political opponents",0.361073153042056,-0.702046178738938,1.55081745808124,1.3231316430853,-2.58362899624738
"Between business rivals",-0.0877505901549408,0.447722946546809,0.825455611181402,1.06758555977894,-2.24572342240885
"Between enemies",-1.04244825079673,-1.07271419334534,-0.214324073682355,0.674351335267443,-2.60967228152706
"Teacher and Student",0.958103040022008,-0.370128989360022,1.06934441675718,-1.30153949087089,0.495980801827698
"Professor and Graduate student",0.735182086025806,-0.227049735080888,0.999982228713976,-1.01642214833931,0.606294630017123
"Master and Servant",-0.650803939471595,1.13342896715784,-0.733402743916711,-1.3771869067007,-0.441203908392124
"Between Close Friends",1.26338673523198,-0.451803574372199,-0.964822776580424,1.30062983038631,0.641432706880755
"Between casual acquaintances",-1.74394985560318,-0.780840649584104,-0.371965809396585,0.722060999062003,1.17769684440696
"Between teammates in sports",1.32516893603399,0.0979337673385384,1.4256322382053,2.33392723053962,-0.175025327867705
"Between second cousins",-1.15600181413696,-1.01785749437729,-0.340871097072257,1.09664326510444,1.15696531239419
"Parent and Infant",1.98889665204717,-0.644512454648511,-1.31822888221835,-1.85585802087339,0.176981181835986
"Grandparent and Grandchild",1.123278309677,-0.759596289640733,-1.22444493998233,-1.99696606053368,0.827698986957962
"Step-parent and Step-child",0.525850072953928,-0.774831053614959,-0.804583338872388,-1.40957584576591,-0.0250397288501951
"Foster-parent and Foster-child",0.744198313428128,-0.757307242818799,-0.767339334784743,-1.52996039548931,0.143370586122501
"Godparent and Godchild",-0.479390805324776,-0.878109968167671,-0.763454104531925,-1.15230226965232,1.1668520766825
"Step-grandparent and Step-grandchild",-0.446468349929576,-0.974655652746178,-0.835650019485334,-1.71517856666456,0.864299374118736
"Ancestor and Descendant",-0.699656059667619,-1.34931159949087,-0.483437307880038,-2.03085678718288,1.2401956453913
"Bride and Groom",1.9979781576757,0.360175508020645,-1.49443414986284,1.35591753724094,-0.229822344531931
"Man and His Mistress",-0.409128867101176,1.69794459049547,-3.07749529647705,0.336655504483269,-0.739921061292964
"Man Wife and Man Mistress",-1.42104505553705,-0.126804720141262,-1.595300212957,0.0206226499758884,-1.278226734883
"Brother and Sister",1.41048248986731,-0.835625924431222,-0.28423350961795,0.774438834440738,0.0483397614706025
"Between step-siblings",-0.171860766900456,-1.03408124542465,-0.260171980967457,0.457812322183403,0.0880324918793745
"Between distant relatives",-1.72528937039913,-1.1046660842739,-0.166128212038777,-0.125321632710973,1.09218474767693
"Between close relatives",0.902399241322352,-0.712201509338914,-0.40859786149422,0.193961626007245,0.428048997961319
"Between twins",1.36183536284757,-1.14494369214567,-0.890707622628651,1.48001653038836,0.130886748224558
"Between a person and their family friends",0.614067168282595,-0.958982251851116,-0.53959968286052,0.511764913597039,0.692082045691532
"Between a person and their deceased spouse",-0.910369300899361,-1.39981550082894,-1.75666857205718,0.177689963816563,1.17340391145809
"Manager and Staff",0.158788588332463,1.29081458380078,0.975871776152102,-0.360743179190432,-0.33401411624494
"Foreman and Laborer",-0.0418868034966566,1.26182678072248,0.834797057049459,-0.394189579840244,-0.471592495345494
"Owner and Manager",0.11101164905594,1.45437438306329,0.763842076216645,-0.25708288910841,-0.350642589720559
"Union leader and union member",-0.347623008464807,0.454382408606028,0.972573824884577,0.0235397768819857,0.243706274540009
"Manager and Assistant",0.156731144219269,1.3362654876917,0.716905171656851,-0.349072912167331,-0.221743850859382
"Chief and Deputy",1.13447345841811,0.712877046933737,1.21863574814951,-0.13056188864896,-0.196789776709523
"Supervisor and Subordinate",0.892686171732779,0.779437117730834,1.16912097548018,-0.620863594470295,-0.354731579962629
"Boss and Secretary",0.80496892551546,1.04191381488041,0.638663894000649,-0.843714073704005,-0.0105721310573022
"Entrepreneur and Investor",0.329606733457592,1.98749638946452,0.702351215417951,0.849748707964546,0.20882384793907
"Intern and Employee",-0.0626683101337035,0.272951591782916,0.973798373826942,-0.393503154259517,0.469289856178112
"Lawyer and Client",0.72368852810335,1.67494534012909,0.767090179482509,0.186321386444335,0.271129828703616
"Judge and Lawyer",0.422586488555845,-0.116495409356077,1.68712997543675,0.00184452599877616,-0.465727959203688
"Victim and Criminal",-1.39638826027524,-0.928221608919624,-0.619295468197112,-0.940399613210699,-2.90615926380462
"Drug dealer and Addict",-0.850143586886117,3.29479114535761,-2.08181521990545,-0.185614045132016,-1.00020157756439
"Victim and Witness",-0.783015712887237,-1.37149538792283,0.394132907788725,-0.0930997956996981,-0.00461759673363887
"Criminal and Police officer",-0.17335562186222,-1.28858279858172,1.10916363748564,-0.956348124106681,-2.42338070568784
"Criminal and Prosecutor",-0.357641469304113,-1.13195811936871,1.17189297284122,-0.9760866310639,-1.7581045297536
"Criminal and Hostage",-0.790103001602426,-0.0846362349540673,-0.8617466002233,-0.889433373122905,-3.1478166115373
"Defendant and Plaintiff",-0.407545309056975,-0.89074671366171,0.699912437549718,-0.104662122188792,-1.83887089442025
"Police officer and Offender",-0.334710796125442,-0.818450498906924,1.06305009151849,-0.784677549949286,-1.74831139132123
"Police officer and Civilian",-0.467495093929392,-1.15675158631659,1.38305496440828,-0.451425421330365,0.940503883647689
"Parole officer and Parolee",0.159371221633564,-0.67472967566495,0.991224185748582,-1.02231065308962,-1.56342002970998
"Consultant and Client",-0.194959787349997,1.79719122074492,0.547261115875634,0.233825097553289,0.420295984872726
"Chef and Customer",-1.58967765122121,1.48035239541589,0.197177734434449,-0.288926135683632,1.54733458813165
"Customer and Server",-0.901403881237967,1.67479632606881,0.402939474930309,-0.0845957028643641,1.07782150668733
"Customer and Businessman",-0.52456448333271,2.33288561010263,0.251106405373182,0.305144634985834,0.572945631360625
"Doctor and Patient",0.724844837403682,0.523394341531754,0.536607021743142,-1.15374071824225,0.510991001523463
"Doctor and Nurse",0.81326055316789,-0.348917917513405,0.906572443147335,-0.53992781592537,0.460195627085295
"Patient and Caretaker",0.618287187868584,0.301842474475079,0.109183826442755,-0.905841380526845,0.553543382214698
"Driver and Passenger",-1.08063510459248,1.43537834038248,0.478934466952245,-0.0108817170904646,1.20952675019603
"Coach and athlete",1.26487124147839,0.554757477417389,0.434903012077417,-0.766272447206923,0.0426359510930812
"Team Captain and Team Members",0.997640371412275,0.0652567029920689,0.699382008754479,0.436487458488079,-0.0814024778276755
"Club Member and Club President",-0.421603200289389,0.211523678105644,0.520361036448208,-0.252880473647772,0.645074843471497
"Politician and Supporter",-0.603458912722623,-0.395619298885541,1.08733819185644,-0.506989639992544,0.47766509704776
"Leader and Follower",-0.215791894459888,-0.809888946182599,0.714361468909088,-0.891795167304734,0.399138905207095
"Representative and Citizen",-0.536655403111014,-0.752313879347251,1.29411454308315,-0.254776378799372,0.60781177550631
"Officer and Soldier",1.02442153502919,-0.576686133685933,1.13562143106136,-1.25207275761908,-0.784822872171126
"Babysitter and Infant",0.58289877897373,0.37445937008777,-0.540299564485119,-2.33927604943477,0.673199460493745
"Religious leader and Congregant",0.0866964900001598,-0.58532971390028,0.502270147039726,-1.04835683140339,0.516118018532945
"Between religious followers",-0.657563763181603,-1.20570501051337,0.308501215055743,0.714615458412826,0.86007271400928
"Prostitute and Customer",-1.86310379971315,3.30495648439888,-2.46791975773895,-0.596099521981838,-0.692274908383561
"Guide and Tourist",-0.645060434443523,1.52321763465651,0.878243061739522,0.0449389630536718,1.26765825210781
"Athlete and Referee",-0.163041530985488,-0.513445894928787,1.44702199019435,-0.230836320839256,-0.260982791552684
"Slave and Master",-1.35340785675362,0.460467944909669,-1.32291118459383,-1.90504038984206,-2.34327827321095
"Reader and Writer",-1.33335591663411,0.200070227685927,0.240559046044794,-0.315625921769145,2.01374876349258
"Reviewer and Writer",-0.634662715435608,-0.486264873136796,1.20607623123757,0.152284049137492,0.301145456696632
"Performer and Audience",-0.169271429454172,-0.206483250446105,0.743259499732301,-0.337134461146292,0.889858989102159
"Dealer and Buyer",0.159223436571117,2.65512812532398,0.455101683161385,0.68087067462318,-0.227450796429135
"Sugar-daddy and Sugar-baby",-0.767097591727476,2.46301325089507,-3.10342248166961,-1.17265517206803,-0.65221650678504
"Director and Performer",0.764207472358095,0.486814400485314,0.740012392127643,0.0204743366510949,-0.128674497012128
"Psychologist and Client",1.02136589481869,1.04959364070361,-0.141809906149879,-0.817055839705802,-0.0502283017474019
"Judge and Contestant",-0.10393638952325,-0.681460869558955,1.36386165142283,-0.373892012807726,-0.645765474663961
"Man and God",-0.558473814721024,-1.20752523988043,-1.11004655782877,-1.93492772905645,0.696480820214924
"Between Co-workers",1.24451714880014,0.409091401977792,1.41823968422416,1.42082460345369,-0.14557169372268
"Between sports rivals",-0.31968933863164,-1.26235240653718,1.22026920040999,1.42119301558502,-1.60450607236725
"Between romantic rivals",-0.748963015283713,-0.944206412870348,-1.02191174115028,0.886248169801352,-2.00267863457277
"Between criminal and their accomplice",-0.20211611481784,1.61588880702775,-1.09663361451809,0.398226072559109,-1.36504303432599
"Between diplomats",0.311671059709706,0.385442216506973,1.39242259278541,1.29953526752854,-0.743285838873811
"Principal and Teacher",0.525836241020788,0.0311743951851463,1.17011367556438,-0.517002209306876,0.332481249682779
"Professor and Teaching Assistant",0.457742894722167,0.000776225628670956,1.05981528162234,-0.540871637818495,0.529111155278825
"University student and Administrator",-0.502662386190129,-0.0457169334999151,0.900830377818612,-1.01679334391622,0.877609702635563
"Student and Dorm Resident assistant",-0.825926844397464,0.409799799863595,0.555116984147164,-0.614854116720878,0.65715974933741
"Mentor and Mentee",0.94601630888354,0.26834892718888,0.900631318694456,-1.12232075958371,0.324551076884455
"Athletic trainer and Trainee",0.917941944642326,0.863494854875001,0.712992055428702,-0.797734976578739,0.15233519119233
"Researcher and Research Subject",-0.197805546632465,0.688563749252275,0.961748911879806,-0.396911301955168,0.725680532015007
"Between peers",0.00736399119835263,-0.654903621758776,-0.0154425311627462,1.67900043917857,0.16543101161631
"Between classmates",0.595423806373039,-0.626505222296198,0.278417822868959,2.03866666579821,-0.118248164768773
"Between roommates",0.577222591982797,-0.0530759143973132,-0.59864741860058,1.50679115928191,-0.0161449196522848
"Between sorority sisters",-0.213430871923552,-0.417217594184654,-0.302272288472919,1.30047176084019,0.491958792366111
"Between fraternity brothers",0.683197980999243,-0.721288859945057,0.00199798877549645,1.40123381063252,0.36131315255581
"Bride and Bridesmaid",0.751237000205409,-0.720005387937027,-0.603948919086118,0.658133953043378,0.491058539862169
"Groom and Groomsman",0.671905403947306,-0.751757831222835,-0.587276532997374,0.605021612593534,0.635262538361464
"Predecessor and Successor",-0.559812661266143,0.0721699484495764,0.673263670438949,-0.479599347410305,0.263835156996696
"Landlord and Tenant",-0.705764148977619,1.83515851902992,0.158911583296918,-0.490984879119654,0.0743956667446389
"Landlord and Housekeeper",-0.645078499336968,1.64008445837328,-0.0985651183628657,-0.873964886243004,0.189838928198356
"Guest and Host",-0.393009888711768,-0.164707651768305,-0.00190074599230056,0.190996349657256,0.872981570711896
"Television host and Guest",-0.898214489145052,0.104301054927535,1.01218746529936,0.263673364045824,0.790361759112105
"Volunteer and Organizer",0.794935471095355,0.452903645387197,1.20411502535096,0.126933280438777,0.696569784627631
"Celebrity and Fans",-1.39353893209304,-0.223058970588312,-0.269766563968455,-0.560127186230159,1.49056256022071
"Celebrity and Haters",-2.3279982257601,-1.21828492692979,-0.47959035343393,-0.390056837794542,-1.01053839247109
"Native and Tourist",-1.26575218381848,0.577213895660397,0.144609377951027,0.086206369365887,1.03560637345793
"Bully and Victim",-0.951898721396031,-0.821087575220013,-1.18779482618953,-0.565056011995346,-3.24581652992477
"Between friends",1.37712277306375,-0.215917593247513,-0.695820964959399,1.34404733161127,0.48847503743639
"Between Facebook Friends",-1.19218450416032,-0.719751035699345,-0.411335438091119,0.953687501030953,1.16379006896628
"Between a person and their social media follower",-1.81298872667124,-0.203333722256103,-0.28679907402849,-0.0498957900388911,1.36062356162849
"Between childhood friends",0.675280432170243,-0.954552456325544,-0.230890114158386,1.54966410962014,0.856760055538344
"Between pen-friends",-1.3011505910394,-0.638032577672185,-0.390450741414773,0.914340503514012,1.45862271159455
"Between friends with benefits",-0.917221459411046,1.16925809242584,-1.9216272082048,0.96530574268095,-0.195228656236406
"Between political allies",0.0810439519976947,0.862565432434259,1.03900081802323,0.517988998276815,-0.748273999384869
"Between romantic lovers",1.35469386232076,0.263238406571592,-1.75477070849878,1.08988930216174,-0.2447176418725
"Between ex-lovers",-1.94547331187551,-0.656311556479443,-1.09344892260633,0.541485135059378,-0.460057253300886
"Between life-partners",2.06147895205444,0.321146361310896,-1.42969677405097,0.981548409904901,-0.25673617302017
"Between soul-mates",1.47954892838549,-0.110147605695378,-1.38139728232433,1.09447602223658,0.169284406998879
"Between strangers",-3.2267614687266,-0.336426012745854,0.0671482900668563,0.515208983239534,1.13451334237683
"Between neighbors",-0.563199344304467,-0.422196490408921,0.180503267832406,0.878842636123701,0.485436474807728
"Between church members",-0.506556263261423,-0.719529793823646,0.107093900852471,0.394431417055681,0.961439695196743
"Between fans of the same sports team",-0.543923676297445,-0.808975404599933,0.118145953931829,1.16623498921309,1.17476455369731
"Between fans of opposing sports teams",-1.91250778359496,-1.23559999443267,0.206558105849776,0.704739368416606,-0.789866719450093
"Superior and Subordinate",0.603483963951435,1.15844412182269,0.683222658770372,-0.662631022119024,-0.867180363211999
"Aunt and Niece/Nephew",0.748419799075112,-0.868693631245678,-0.939901021788685,-1.01111448668559,0.748703256624205
"Uncle and Niece/Nephew",0.796362275653772,-0.839354246677043,-0.898458229907263,-0.982244523563112,0.740669913166969
"Between frenemies",-1.29392698934361,-0.563038620444498,-0.365196086280887,1.23753132416421,-1.45136285834906
"Between half-siblings",0.60511160101673,-0.981639505216926,-0.673500326445699,0.844794167031018,-0.313431042920766
"Between adoptive parents and adopted kids",1.21164687139559,-0.827599252398706,-1.01265802351705,-1.3504796996153,0.0790228223968269
"Mother and Infant",1.84355613615411,-0.984355108037796,-1.30628194772921,-1.9848510217945,0.339280510824645
"Between alumni",-1.18465896793278,-0.489164251210095,0.518380200553391,1.40169612301275,0.691982960049404
"Between a monarch and their minister",0.150367853848862,0.679818171906283,0.989982532660255,-0.36018867401618,-0.673273244041891
"Between confidants",0.486263209204353,-0.390059282211026,-0.617183699752776,0.941712741244551,0.50763250672886
"Between a person and their significant other",1.72143495424507,-0.0467439714138614,-1.5326367163095,0.998049496332278,-0.150445668147011
"Between companions",0.620944348036643,0.0856440342192783,-0.15328711894997,1.17604478093143,0.47812357413141
"Between playmates",0.59652928722783,-0.161127178246977,-0.0690940774329134,1.36583354473314,0.370935999258708
"Between competitors in sports",-0.21761222318108,-0.585351659485193,1.20271715191331,0.945673327407748,-1.49496898182311
"Between a person and their crush",-0.85655859201726,-0.24680019459324,-1.931024881752,-0.0110707278470621,0.627648733494357
"Between cohabitants",0.90252578389782,0.508667086955576,-1.01757403327498,0.813321385655814,-0.130276999946818
"Between long-distance lovers",-0.125682384319095,-0.119066356649144,-1.63390596988629,1.31933181075376,0.788866218806996
"Between brothers-in-arms",0.392401456887438,-0.246738416477759,0.138519203619256,0.624121387475735,0.242347897797727
