,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Mother and Infant,0.593149893,-0.468833774,1.779314409,1.634104551,-0.806189875,1.738228716,0.651654878,1.754546352,-0.91334001,-1.612245972,0.322759786,2.074835725,1.713744501,1.085614761,-1.008082257,-1.520261236,0.239803177,1.75104328,2.655089646,-1.002418467,-0.854288126,-1.208367868,1.017032068,1.811529957,1.013843807,-1.208547779,1.203840935,1.546524893,0.171428987,1.567322543,1.281252042,1.165084816,2.086996038
Wife and Husband,0.86296693,1.446067788,1.822700184,1.478521231,-0.512446457,1.742930211,-0.078413534,1.244763002,-0.77697795,-1.408676708,-0.554595671,1.921770157,1.621375711,1.283852887,-0.621877122,-1.069933368,0.042392901,1.651169398,2.972505514,-0.754097783,1.847521521,-0.601412063,0.93226008,1.588114347,1.000112008,-0.848445294,1.405098607,1.505942229,1.462365289,1.532496993,0.972405051,1.178259716,-1.29763868
Parent and Child,1.038138636,-1.04451833,1.776560028,1.509209438,-1.231580211,1.688863023,0.263303716,1.60081162,-1.301906946,-1.811188662,-0.281782052,1.698824122,1.565439232,0.73072714,-1.223304727,-1.344179392,-0.338983494,1.804515299,1.999397343,-0.638181488,-0.848979108,-0.731299981,1.021460455,1.661603405,0.661939554,-1.239022504,1.32033182,1.563556374,0.233500926,1.458976387,1.210712914,1.262955506,2.078406373
Between twins,0.76075212,1.539628665,1.565667729,1.429967509,-1.526116968,1.760169024,0.464638278,1.635455608,-0.35751267,-1.528250089,0.269190908,1.746827191,1.506643652,0.73944561,-1.134498744,-1.115764059,-0.778095216,1.436280403,0.464599697,-0.736467657,0.495501009,-1.099242858,-0.304167684,1.482310618,0.848005927,-1.202144085,1.142291811,1.521711786,0.723560603,1.393968694,0.823700944,1.182356114,-1.339740181
Bride and Groom,0.952526112,1.665324921,1.669891927,1.280583186,-0.002804278,1.772623861,0.558995367,1.551963054,-0.456016912,-1.326683532,-0.177928212,1.852433941,1.567720852,0.952635148,-1.001767824,-1.025267812,-1.183751906,1.741887113,2.998076828,-0.939361728,1.080783703,-0.978359516,0.347712945,1.607039712,0.876276148,-1.134286755,1.687117554,1.477656315,1.695988326,1.361159168,0.813896277,1.281354884,-1.055134035
Between romantic lovers,0.910526881,1.274721166,1.53097533,1.549971245,-0.764029578,1.69550644,-0.937999079,1.305908664,0.09718634,-1.297400255,-0.028817341,1.627881681,1.612339189,0.961078298,-0.458527167,-0.34779467,-0.181705595,1.748285658,2.604284349,-0.31212676,0.924972724,-0.919042829,-0.001497033,1.523341618,0.711403772,-1.153172976,1.501208828,1.071810855,1.520207648,1.344298313,0.598445019,1.093984638,-1.209319087
Between a person and their significant other,0.852444818,1.373383037,1.617199425,1.413235149,-1.655744699,1.656643958,-0.759872151,1.517223145,-0.072496299,-1.405943602,0.255260467,1.879191446,1.630740756,1.359866365,-0.76310124,-1.016989861,-0.513011998,1.737931649,2.481800947,-0.878645345,0.941970286,-1.0390575,-0.598871222,1.484213265,0.780403224,-1.165297828,1.674042043,1.296366758,1.520207648,1.343765323,0.621840165,1.117489485,-0.926664313
Between teammates in sports,0.596271839,1.311889837,1.285886762,0.198463807,0.451662198,1.141138905,0.812533116,1.463419069,0.865110671,0.360326059,-0.512521147,0.69380763,0.380423091,1.264264139,-1.091790039,-1.100523509,-0.812421112,1.166195073,-0.610847667,-0.734611854,1.240502167,-0.606962829,0.179806357,1.263160256,1.219820792,0.655427574,1.03044407,0.019245698,1.920654754,1.327521436,0.775866056,1.05365005,-1.156177637
Between roommates,0.422691664,1.354113106,1.095159944,0.903371739,-0.535651262,0.967855248,-0.244666737,1.192818566,0.247945265,-1.224813223,-0.422898729,0.232058675,0.807513746,1.0741562,-0.94383013,-1.069933368,-1.246355991,0.973640459,-0.760589597,-0.583015967,0.907435558,-0.726051984,-0.599329331,0.646810672,0.452504509,-0.910675933,0.544937579,0.306246865,1.561037549,1.311231629,0.637291237,0.52718305,-1.323621321
Between cohabitants,0.599237687,1.244318184,1.096684917,1.040849615,-0.857147196,1.230039893,-1.050343032,1.024767211,0.620616281,-0.614833688,0.075372039,1.088354259,1.082496432,0.844505261,-0.552655302,-0.50685437,-0.044751223,1.013686125,1.787686891,-0.317450594,0.932055042,-0.664575452,-1.140895059,0.80820272,0.61422349,-1.101886245,0.663854504,0.467614493,0.219881353,1.307418861,-0.190232289,0.945761471,-0.587073995
Between life-partners,0.911490781,1.511612029,1.672287041,1.527031587,-1.088485359,1.827557113,-0.061716243,1.506304888,0.053661797,-1.537878076,0.647286294,1.73610678,1.583366243,1.171793119,-0.674139275,-0.912398433,-0.182531004,1.654471351,2.834457952,-0.146786334,1.313856323,-1.118510865,0.449214395,1.412388334,1.14492007,-1.299080009,1.455971778,1.55922962,1.234000647,1.291532328,1.181268654,1.347872722,-1.078229716
Parent and Infant,0.964450475,-1.147421364,1.711680307,1.503425273,-0.917869142,1.81564666,-0.128534935,1.796183404,-0.97294971,-1.537321173,0.132569398,2.05567712,1.719805053,0.719091588,-1.363684547,-1.490797342,-0.335231636,1.737858399,2.590605999,-1.374399852,-0.713125583,-0.858098352,1.248067364,1.580984015,1.024524095,-1.088078279,1.195742638,1.635346049,-0.06362133,1.277946603,1.149706101,1.378097494,2.164115122
