,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals involved,Affiliation/Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,1.36929217,-1.188595609,2.229312153,1.868379621,-1.444984606,2.1259364,-0.069987722,2.168813651,-1.284270215,-1.755690161,-0.619801825,1.917229372,2.162864752,1.482550392,-0.41435282,-0.403556438,-0.208364313,2.143101085,1.675945634,-0.570127161,-0.445205501,-0.07671791,1.8271113,2.212924472,1.195597603,-1.013910075,1.373606048,1.944619811,0.722836715,1.868359654,1.268161712,1.519092897,2.224107915
Parent and Teenager,0.394720319,-1.079612575,1.535801157,1.610853225,-1.493054974,1.367207556,-0.177378341,1.904419628,-1.14846861,-1.505886039,-0.529974644,1.592432545,1.71331382,0.733061615,-0.244153754,-0.28885827,-0.398767853,1.524037948,1.596289021,0.418139518,0.210337488,0.311436529,1.478272748,1.851071882,0.8474143,-0.969856104,0.996694368,1.57672769,0.065969608,1.384151187,1.096013792,0.971879958,1.853070496
Wife and Husband,1.26520601,1.863635936,2.203809807,1.902563148,-1.404497287,2.809598709,-0.474794522,2.1603598,1.217995664,-1.389958694,-0.465865494,2.2235704,2.045086486,1.240223874,0.139444567,0.017976757,-0.2779891,1.840166317,3.625689498,0.031752335,0.679497733,-0.586275741,1.377861632,2.143978532,1.323485722,-0.759554039,1.643600324,1.601964945,1.445111278,1.70780503,1.194539989,1.411468181,-1.380454338
Fiance and Fiancee,1.202269642,1.781791925,1.914511368,1.769291787,-1.346375811,2.446813522,-0.556377767,1.855741967,0.965808892,-1.350855131,-0.763143222,1.781238765,1.913390081,0.842248887,-0.237325082,-0.179083141,-0.566843011,1.591158016,3.17195381,-0.55848971,0.507169718,-0.98958559,-0.00371194,1.464942173,0.906586453,-0.902006703,1.232884504,0.861067373,0.890059641,1.114194443,1.044680729,1.155517864,-1.394695196
Between Siblings,0.508522118,1.225387865,1.369861753,1.65868076,-1.545276243,1.192268987,-0.065959668,1.46873313,0.159861926,-1.089832912,-0.578844553,1.811104277,1.567104026,0.534721043,-0.792790231,-0.387991067,-1.021362857,1.351828519,-0.459749995,0.386190954,0.050345117,-0.231284672,0.792335968,1.661613122,0.906563115,-1.086124794,0.627094428,1.911606627,0.484339748,0.854778375,1.055346121,0.99428805,-0.95535911
Between divorced spouses,-1.877263832,0.590476402,-1.470853566,-0.797121139,0.516996795,-1.030933649,-0.931316648,-1.17973822,-0.24799768,0.816413101,0.488505318,0.146221339,-0.558764753,-1.660722091,0.118018394,-0.28449582,-1.245017289,-0.95853409,0.133321302,1.891212467,1.081312462,0.643922174,-0.615439085,-1.189155959,-1.550739461,-1.157112213,-2.074489632,-0.944019365,-1.953141845,-2.256246656,-1.077720022,-1.664094995,-1.330606213
Between a person and their in-laws,-0.188494875,-0.136072224,-0.383248403,0.19544651,-0.065725141,-0.260059974,-0.322269535,0.35232111,-0.440884755,-0.523976638,-0.488686874,0.68602653,0.283224995,-0.851113541,-0.876893709,-0.800950496,-0.990453508,-0.218000841,-0.486329171,0.240856784,-0.615894192,-0.493969231,-0.596068132,-0.293401208,-0.805572678,-0.973715692,-1.099972238,0.219251917,-1.445045929,-1.389756473,0.147420163,-0.492545843,1.656842624
Between cousins,0.472888999,1.236782911,0.237600467,1.018141883,-0.986861322,0.212352735,0.006628468,0.70627706,-0.054996708,-1.199520415,-0.890667528,0.772385049,0.807122599,-0.304063597,-1.108959528,-0.849855571,-1.276414262,0.133345833,-0.551893127,-0.699572349,-0.861294728,-0.901600437,-0.567113437,-0.14955341,-0.201986195,-1.097407768,-0.638808041,0.954312679,-0.746310995,-1.026497235,0.449639671,0.156942745,-0.730857628
Employer and Employee,0.567292618,-1.097186941,0.29479505,-1.079365452,1.474891567,-0.976026132,1.158678567,-0.708135022,1.213822691,1.240813342,1.985201181,-0.602638227,-0.787211289,0.807544148,2.008031373,0.85192349,1.346971133,-0.452446599,-0.567320327,0.201799896,0.973415309,0.408825839,1.644918204,0.572006277,0.495907121,1.572309999,0.690726985,0.629734694,0.990185083,0.504344997,0.363695836,0.154912525,0.735573212
Interviewer and Job applicant,-0.06417608,-0.972408205,-1.474480365,-1.145658297,1.530796888,-1.203853716,0.234376303,-0.917819043,-0.136785693,1.262798132,0.447249041,-1.078817686,-1.037862028,0.266603229,0.280055702,-0.298926138,-0.078187819,-1.222544323,-0.597022911,-0.707491431,0.573404116,-0.513668498,0.667375562,-0.28107931,-0.734812801,1.276928792,-0.028302645,-1.617163688,0.015112828,-0.073717628,0.066105748,-0.595034918,0.421571206
