,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,10.777615,11.0918865,0,4
nurse and patient,-17.163204,1.7026557,1,1
man wife and man mistress,12.007842,8.811701,0,3
parent and infant,11.211128,7.286125,0,3
a person and their crush,12.069247,8.915379,0,3
volunteer and organizer,18.599392,9.055613,0,0
doctor and patient,-17.427912,1.9035993,1,1
prostitute and customer,18.733105,9.344881,0,0
distant relatives,-17.244816,1.6046999,1,1
landlord and tenant,14.035872,8.939646,0,5
ancestor and descendant,10.645543,7.0175085,0,3
representative and citizen,10.427464,11.10088,0,4
a person and their deceased spouse,10.645561,10.640826,0,4
television host and guest,-17.510921,1.849323,1,1
guest and host,14.331097,9.176838,0,5
neighbors,-17.394543,1.2781502,1,1
dealer and buyer,18.998829,9.594093,0,0
friends,19.863726,-6.0994735,2,2
judge and lawyer,10.533817,10.82377,0,4
officer and soldier,19.154997,8.50601,0,0
teammates in sports,19.834259,-5.466995,2,2
patient and caretaker,19.56199,8.750946,0,0
frenemies,14.011943,9.018017,0,5
enemies,-17.159805,1.6831474,1,1
slave and master,10.958612,11.183654,0,4
therapist and patient,-17.662634,1.9263707,1,1
godparent and godchild,11.165295,6.8324413,0,3
step parent and step child,10.708213,6.8911734,0,3
wife and husband,11.682019,8.398342,0,3
romantic rivals,11.756479,8.706246,0,3
romantic lovers,12.06328,8.907906,0,3
brothers in arms,19.55655,-5.675744,2,2
driver and passenger,14.285461,8.996955,0,5
employer and employee,19.463362,9.451367,0,0
university student and administrator,17.37156,8.71138,0,0
athletic trainer and trainee,17.278656,8.424695,0,0
native and tourist,19.445091,8.568006,0,0
co workers,14.4051485,9.2393265,0,5
bride and bridesmaid,20.055838,-6.0290136,2,2
alumni,14.029714,9.271712,0,5
sports rivals,-17.66637,1.7272651,1,1
classmates,14.356194,9.233778,0,5
psychologist and client,19.320606,8.725624,0,0
reader and writer,19.404667,8.670642,0,0
aunt and niece/nephew,11.163685,6.942357,0,3
guard and prisoner,10.879134,10.998125,0,4
criminal and police officer,10.447098,11.014029,0,4
church members,14.128897,8.903039,0,5
friends with benefits,11.818974,8.636709,0,3
parent and child,11.120176,6.85659,0,3
predecessor and successor,19.648384,9.164663,0,0
defendant and plaintiff,10.785296,10.700249,0,4
roommates,19.432798,9.180842,0,0
mentor and mentee,17.119787,8.668807,0,0
customer and businessman,18.774595,8.593715,0,0
superior and subordinate,10.623024,11.01609,0,4
victim and witness,19.946428,-5.944796,2,2
leader and follower,19.356018,8.705065,0,0
bride and groom,11.718595,8.918628,0,3
