"","V1","V2"
"opposing negotiators",0.130882811670146,-0.142756595006669
"nurse and patient",0.363773275337986,0.513296568179619
"man wife and man mistress",0.130882811670144,-0.14275659500667
"parent and infant",0.125847286308819,-0.132196436455655
"a person and their crush",0.363773275337988,0.513296568179615
"volunteer and organizer",-0.544432033178321,0.0966954975173598
"doctor and patient",0.363773275337988,0.513296568179617
"prostitute and customer",0.148737051078275,-0.187750412867109
"distant relatives",0.172231879559827,-0.274159659068546
"landlord and tenant",-0.544432033178321,0.0966954975173596
"ancestor and descendant",0.363773275337988,0.513296568179617
"representative and citizen",-0.544432033178321,0.0966954975173595
"a person and their deceased spouse",0.181804631385002,-0.323840538388186
"television host and guest",0.363773275337988,0.513296568179617
"guest and host",0.363773275337988,0.513296568179617
"neighbors",0.121184874924875,-0.123091004097768
"dealer and buyer",-0.544432033178321,0.0966954975173595
"friends",0.172231879559827,-0.274159659068546
"judge and lawyer",-0.544432033178321,0.0966954975173596
"officer and soldier",-0.544432033178321,0.0966954975173595
"teammates in sports",0.172231879559827,-0.274159659068546
"patient and caretaker",0.363773275337988,0.513296568179617
"frenemies",0.130882811670145,-0.142756595006669
"enemies",0.130882811670146,-0.142756595006669
"slave and master",0.148737051078276,-0.187750412867109
"therapist and patient",0.363773275337988,0.513296568179617
"godparent and godchild",0.125847286308819,-0.132196436455657
"step parent and step child",0.125847286308819,-0.132196436455657
"wife and husband",0.172231879559827,-0.274159659068546
"romantic rivals",0.130882811670146,-0.142756595006669
"romantic lovers",0.0908818279835336,-0.0759866781966057
"brothers in arms",0.181804631385002,-0.323840538388186
"driver and passenger",-0.544432033178321,0.0966954975173595
"employer and employee",-0.544432033178321,0.0966954975173595
"university student and administrator",-0.544432033178321,0.0966954975173595
"athletic trainer and trainee",-0.544432033178321,0.0966954975173595
"native and tourist",-0.544432033178321,0.0966954975173594
"co workers",0.121184874924875,-0.123091004097768
"bride and bridesmaid",0.181804631385002,-0.323840538388186
"alumni",0.172231879559827,-0.274159659068546
"sports rivals",0.130882811670146,-0.142756595006669
"classmates",0.121184874924875,-0.123091004097767
"psychologist and client",0.363773275337988,0.513296568179617
"reader and writer",-0.544432033178321,0.0966954975173595
"aunt and niece/nephew",0.125847286308819,-0.132196436455657
"guard and prisoner",0.148737051078276,-0.187750412867109
"criminal and police officer",0.148737051078276,-0.187750412867109
"church members",0.172231879559827,-0.274159659068546
"friends with benefits",0.172231879559827,-0.274159659068546
"parent and child",0.125847286308819,-0.132196436455657
"predecessor and successor",-0.544432033178321,0.0966954975173595
"defendant and plaintiff",0.130882811670146,-0.142756595006669
"roommates",0.121184874924875,-0.123091004097768
