"","V1","V2"
"wife and husband",-0.00547754338561953,0.00382602259439195
"nurse and patient",0.00151472310927886,0.00283796373433507
"officer and soldier",0.00353360816462948,0.00559219120044143
"neighbors",-0.00471676758034085,-0.000958045702452107
"athletic trainer and trainee",-0.0041446872584442,-0.00130126138994951
"police officer and offender",0.00320198102432344,-0.00546464765594199
"principal and teacher",0.00503402950801373,0.00434722045682851
"doctor and nurse",0.00320208773969327,0.00590035444374563
"victim and criminal",0.00440392231569035,-0.00829854305980051
"coach and athlete",-0.00631160710625586,-0.00160192321813724
"man and god",-0.00261761058573269,-0.00127281302412325
"half siblings",-0.00306779360034009,0.00106617415768584
"parent and teenager",-0.00108123877198881,0.00297599828530485
"prostitute and customer",0.00518442921428884,-0.000189482765750647
"church members",-0.00144760885527922,-0.00199627479866601
"foreman and laborer",0.00511333851680776,0.00417646605924896
"a person and their family friends",-0.00360835049699091,0.00157068533019685
"a person and their social media follower",-0.00260418843824162,-0.00609340134536897
"guide and tourist",-0.00631694131983401,-0.00395760976307059
"bride and bridesmaid",-0.0039176458382836,0.00247006560978112
"teammates in sports",-0.00166784256933317,0.00164485996111923
"twins",-0.00519546707436407,0.00258897055937102
"celebrity and haters",-0.000722357376932808,-0.00907828072165408
"employer and employee",0.0044643673765982,0.000365624870170899
"teacher and student",0.000327700466469529,0.000281909265599611
"guest and host",0.00103117683151614,0.00700505097302062
"man wife and man mistress",0.0065787427055156,-0.00263233983126933
"religious followers",0.00423138514013865,0.00405705605094266
"intern and employee",0.00556985421828724,0.00263862247940999
"criminal and police officer",0.00412349247068176,-0.00697910554956437
"step grandparent and step grandchild",-0.00601267835105982,0.000229671426300793
"chef and customer",0.00262742536660934,0.00046851396353103
"union leader and union member",0.00134855986195205,-0.000441553393710393
"professor and graduate student",-0.000702357320158928,0.00230415309417703
"second cousins",-0.00337556851268575,-0.00172491063314251
"fans of the same sports team",-0.00410138381174248,-0.00554217838134456
"master and servant",0.00261588606604917,0.00249703721726958
"siblings",-0.00332052806528225,0.00437867181864819
"landlord and housekeeper",0.0062688518359517,0.000887008552421213
"close friends",-0.00782810937109684,0.00110500017335394
"entrepreneur and investor",0.00328908954705734,-0.00175385916959214
"fraternity brothers",-0.00727032859499886,-0.00118486921030989
"psychologist and client",0.000109256136932829,0.0018123053851876
"chief and deputy",0.0034238407792178,0.000998598192986511
"sugar daddy and sugar baby",0.0023627130240265,0.00552650172234833
"uncle and niece/nephew",-0.00189644168553221,0.00390283944517477
"childhood friends",-0.00304917121309932,0.00631751738492443
"ex lovers",-0.000299502955021533,-0.00343378788720459
"man and his mistress",-0.00122737512600777,0.00574905741376815
"step siblings",-0.00225063824238651,0.00334864547813614
"confidants",-0.00180570966761378,0.00228876708412139
"parole officer and parolee",0.00383241855821726,-0.00282396118016809
"grandparent and grandchild",-0.00547711915504026,0.00466179476625759
"judge and contestant",-0.00492958601957093,-0.00668147102739362
"romantic lovers",-0.00390695166453169,0.00394311048190388
"researcher and research subject",0.00582519813285312,0.00154495801708813
"brother and sister",-0.00356177390712818,0.00297860169689844
"therapist and patient",0.00127011416033935,0.0028147505819791
"parent and infant",-0.0045613085101706,0.00459746295100207
"slave and master",0.00771669535800355,-0.0041662829836058
"reader and writer",-0.0023511216740869,-0.00912253308251076
"representative and citizen",0.00226679611989318,-0.000541586672149794
"criminal and hostage",0.00482673011300512,-0.00810059768435003
"ancestor and descendant",-0.00512651521436907,-0.00533434542321082
"peers",-0.000933253500133197,-0.00217075596845268
"groom and groomsman",-0.00317327310879453,0.00269157100769246
"opposing negotiators",0.0067884042652418,-0.00488152439522211
"adoptive parents and adopted kids",-0.00546083130769371,0.00280135411329872
"driver and passenger",-0.00278187216240148,-0.00295878927459168
"a person and their significant other",-0.00452953385138245,0.00357408204189797
"romantic rivals",0.000866944108818071,-0.00735093120893587
"strangers",0.00562101214296349,0.00420562198996932
"predecessor and successor",-0.00481934695252227,-0.00483621354915501
"a person and their crush",-0.00658871246053549,-0.000965591727891669
"brothers in arms",0.00366156759483035,0.00550206401449249
"playmates",-0.00425276809731176,0.00569796726709493
"volunteer and organizer",0.00691704457800959,0.000252966032030622
"a monarch and their minister",0.000668107067527306,-0.00195891897950122
"roommates",-0.00621348978716757,0.00131038192024716
"criminal and prosecutor",0.00588619883608709,-0.005738469967263
"friends",-0.00661511138431616,-0.00064855430238465
"television host and guest",-0.00392312981382904,-0.00791538016086019
"university student and administrator",-0.00481678686054971,-0.00319385579322799
"life partners",-0.00403310221341763,0.00436980778041292
"political allies",0.00311268332390678,-0.000317205037554479
"criminal and their accomplice",-0.0028495660808925,-0.00052569053149753
"consultant and client",0.00498556217989194,0.00265080261764976
"diplomats",0.00218346224686576,0.00181944646261484
"bully and victim",0.00619085059923912,-0.00650197484457105
"close relatives",-0.00801339433462097,0.00136209498535987
"godparent and godchild",-0.00279990580547431,-7.74640161929412e-05
"guard and prisoner",0.00508074318943985,-0.00759915101505712
"fans of opposing sports teams",0.00714461466490836,-0.00306850375190439
"pen friends",-0.0066962974594308,-0.00159222383129768
"mentor and mentee",-0.000180898679964908,0.00137001711321584
"casual acquaintances",-0.00523473175838867,-0.00173473711233742
"judge and lawyer",0.00606897448783484,0.00200061795237471
"student and dorm resident assistant",0.00116032638508637,-0.000141432182190567
"superior and subordinate",0.00342204962095809,0.00160183736158853
"step parent and step child",-0.00498517979274013,0.000890078337306526
"boss and secretary",0.00379978602975322,0.00150115979229212
"dealer and buyer",0.00581219795228845,0.00351093396949985
"salesperson and customer",0.00653625959114021,0.000795575676483684
"sports rivals",0.00759431068634218,-0.0032140928069613
"professor and teaching assistant",-0.00128273302350041,-0.00210897993112938
"cohabitants",0.000780798101969793,0.00408959959342825
"celebrity and fans",-0.00440446958037313,-0.00589529313209413
"athlete and referee",8.34736641633116e-05,-0.000419258537339817
"soul mates",-0.00424597129643615,0.00413711171520162
"enemies",0.00773576402484659,-0.00578842378409008
"long distance lovers",-0.00600130541530358,-0.000179796816791535
"team captain and team members",-0.00244424256762423,-0.000598562501655148
"alumni",-0.0056187536071826,-0.00482020312617753
"politician and supporter",0.000783106090332558,-0.00155551078906038
"patient and caretaker",0.00287346613318425,0.0031409800816009
"babysitter and infant",0.00116645397011204,0.00661851595645736
"co workers",-0.000111615939414565,0.00114113377518853
"competitors in sports",0.00445984559489836,-0.00373929316057868
"manager and staff",0.00534608362411765,0.0035668240848009
"interviewer and job applicant",0.00675803400401025,-0.00103251423517249
"reviewer and writer",-0.00324780183244797,-0.00838206031244892
"performer and audience",-0.00503025711854953,-0.00737028328939188
"frenemies",-0.000731973490446745,-0.00168753183581959
"religious leader and congregant",0.00346953429584897,0.00225899573114897
"a person and their deceased spouse",-0.00692415218944589,-0.00310130761887056
"distant relatives",-0.00646929990803024,-0.00337123644088843
"divorced spouses",-0.00293598448347916,-0.00133580023594466
"defendant and plaintiff",0.00640204035232224,-0.00561764567710963
"a person and their in laws",0.00229272609611547,0.00658595307446289
"lawyer and client",0.00359261696167525,0.00399239893600654
"customer and businessman",0.00632880239288103,0.0022544964042209
"fiance and fiancee",-0.00387320022530299,0.00355695602116355
"facebook friends",-0.00692348560706407,-0.00209708010862403
"drug dealer and addict",0.00730666386816978,-0.000567511964350354
"police officer and civilian",-0.00212256361130613,-0.00353791579476006
"cousins",-0.00513882336019916,0.00127666575062088
"mother and infant",-0.00637978136088678,0.00256178856683315
"landlord and tenant",0.00538868193714619,0.00239621758806027
"director and performer",0.00220052676819255,0.000267652660808877
"native and tourist",0.00744925604935657,0.000282170086658792
"owner and manager",0.00242687254848267,0.00417886743616554
"customer and server",0.00678211795813303,0.000558570591817282
"companions",-0.00361233502206641,0.000570399808811205
"doctor and patient",0.00409017011511954,0.00472280490367489
"aunt and niece/nephew",-0.00179690947153684,0.00398218732776459
"parent and child",-0.00415909227150781,0.00219567974562845
"leader and follower",0.00134012119721634,-0.00328394536900639
"supervisor and subordinate",0.0040612996437093,0.00187554692408389
"bride and groom",-0.00567933197849264,0.0032756981078577
"sorority sisters",-0.00662899491934692,-0.000944083366107361
"classmates",-0.000221293891545818,0.000601062455690896
"club member and club president",-0.00111327023077677,-0.00111751982494675
"political opponents",0.00729366943692016,-0.00189388907506058
"friends with benefits",-0.00621491666550026,0.00165273111709948
"foster parent and foster child",0.00189364064848358,0.00441640978393459
"business rivals",0.00729331318433807,-0.00177951626485662
"manager and assistant",0.0059063909105882,0.0012451757411613
"victim and witness",0.00281118393671787,-0.00359911004990928
"business partners",0.00104939687667353,0.00288022196872929
