,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,75,84,100,100,59,7,69,61,55,0,72,87,61,84,4,5,0,0,85,79,5,87,64,100,38,94,85,90,93,0,81,88,46,90,81,44,55,62,64,72,56,0,2,62,67,70,56,43,55,66,55,83,41,15,54,72,71,66,57,55,99,61,44,58,8,46,91,90,90,100,100,62,94,0,43,57,93,92,89,99,0,87,96,0,57,56,71,8,36,54,63,46,0,0,0,0,18,58,60,51,52,62,87,81,12,91,85,86,68,14,75,62,0,47,42,0,18,32,81,42,0,69,65,82,71,79,90,85,89,98,50,7,54,6,0,2,95,52,86,100,0,50,55,93,94,22,92,93,95,62,93,100,93,91,0,72,66,98,91
Equality,0,1,100,100,98,96,89,7,10,0,13,13,43,96,96,95,96,94,3,1,0,99,100,100,100,6,7,15,9,45,95,99,100,100,85,7,37,5,28,40,44,0,0,8,4,3,100,40,34,30,5,12,2,0,1,39,12,38,96,100,76,38,63,41,0,55,100,95,96,92,100,100,98,100,0,14,98,0,0,100,52,100,98,49,9,1,2,4,5,44,1,2,0,0,54,0,0,1,26,3,9,4,41,12,8,15,44,39,5,0,1,11,7,22,1,0,44,13,69,89,95,48,86,14,13,11,94,84,82,36,48,0,2,9,45,46,98,100,61,100,99,100,93,25,27,93,95,0,0,97,96,98,96,98,93,60,97,97,60
Activity Intensity,99,96,100,100,97,42,30,13,60,70,29,83,1,35,57,68,13,83,73,59,3,90,12,93,17,97,89,78,85,0,91,70,30,100,62,19,0,25,7,9,1,71,57,0,0,86,0,0,10,64,36,86,2,0,2,36,58,3,27,17,90,32,1,10,85,33,73,79,85,100,100,46,17,12,36,77,90,100,93,98,0,99,93,4,41,17,36,5,39,32,20,39,0,0,6,3,0,39,37,12,2,89,39,91,0,71,89,56,2,5,57,66,1,1,23,4,2,3,75,45,53,67,56,55,39,67,83,70,80,96,4,6,6,6,2,0,96,0,56,100,83,0,37,74,78,88,96,90,100,4,86,100,72,89,57,39,80,90,73
Socioemotional,93,100,100,100,100,38,93,5,10,1,14,21,0,41,0,0,0,64,34,12,0,100,65,92,99,97,71,88,89,99,96,100,98,100,90,11,15,3,0,7,34,3,0,1,3,7,71,3,0,23,14,35,64,100,5,43,38,0,43,45,67,44,12,24,81,95,98,83,87,100,100,58,95,65,3,10,89,100,91,100,96,93,94,96,0,6,5,0,0,3,0,0,49,0,0,0,6,1,0,0,0,31,6,57,4,59,63,70,8,8,45,70,6,5,4,0,7,9,13,43,89,46,2,7,0,68,93,77,81,93,48,0,0,60,56,0,93,81,4,100,65,49,54,95,98,88,96,95,94,43,100,100,92,92,29,97,28,100,70
Formality and Regulation,1,1,0,1,0,65,5,98,81,99,98,93,83,85,95,94,89,0,87,75,97,4,9,42,5,5,11,3,1,1,16,1,1,0,1,89,99,81,83,55,11,95,99,95,59,100,8,3,91,59,70,97,95,0,88,57,72,97,8,6,57,62,87,92,1,4,3,10,12,1,0,2,5,2,83,99,1,0,7,80,3,0,1,6,99,97,99,89,90,72,100,93,3,70,95,86,41,99,75,83,91,100,84,36,94,75,57,78,95,63,60,67,87,98,77,94,82,99,78,72,5,3,98,89,87,56,8,43,17,69,53,90,91,41,0,6,6,8,93,1,2,49,7,6,1,8,2,3,1,10,1,3,2,6,65,2,23,1,58
Intimacy,0,0,100,100,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,100,0,0,0,0,0,53,100,99,100,0,83,82,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,66,0,44,7,13,0,0,55,8,0,0,0,0,0,0,15,0,0,8,0,0,1,0,31,17,45,45,0,0,0,0,0,0,84,0,0,100,0,0,2,82,81,62,81,83,100,0,92,100,81,73,0,58,67,47,8
Visibility,98,87,96,100,94,39,79,93,85,54,89,24,87,100,81,88,75,37,100,94,42,88,80,100,78,99,83,95,79,7,0,78,39,100,78,88,70,83,96,11,65,66,82,96,79,88,38,1,0,12,90,12,93,0,74,61,85,93,86,96,100,62,100,81,7,12,86,56,44,93,66,35,74,32,93,94,10,10,23,0,0,28,8,0,97,96,87,92,88,88,53,88,0,0,99,84,100,100,14,98,100,2,59,5,93,40,56,80,100,96,5,48,3,100,92,92,100,93,68,88,7,5,88,87,89,62,16,50,32,41,54,100,100,100,100,98,9,98,93,0,17,100,95,7,9,20,7,7,1,98,1,6,8,31,87,6,46,0,10
Communal Sharing,100,99,100,100,100,5,73,0,1,0,3,17,0,69,0,1,0,0,74,36,2,92,66,65,56,100,100,99,98,57,73,79,57,100,86,9,5,59,0,0,61,0,10,2,6,5,35,88,12,8,32,17,5,100,15,59,61,9,70,67,70,69,55,64,0,100,90,92,86,100,100,65,43,11,17,3,95,98,95,99,1,96,98,52,0,12,60,6,2,1,1,10,1,0,1,0,1,27,2,1,2,6,64,28,3,60,72,55,13,34,8,41,4,1,60,0,32,0,61,56,11,55,3,38,11,82,78,77,78,78,51,0,1,53,42,1,99,52,35,98,11,0,77,99,100,40,90,92,77,82,94,99,99,80,41,64,57,91,91
Expected Reciprocity,63,61,96,72,96,34,21,39,73,1,9,38,56,72,38,57,18,44,62,62,1,60,61,88,12,62,63,62,63,6,64,64,43,56,85,0,24,42,80,32,24,5,17,20,2,41,10,4,12,93,2,40,1,0,10,24,34,14,59,53,65,22,2,39,0,2,62,96,92,79,96,13,7,6,0,3,95,4,94,100,0,96,98,0,7,12,25,3,29,17,1,11,0,0,0,3,1,3,56,37,1,1,67,0,14,43,92,76,5,7,21,70,13,7,7,0,33,0,75,46,4,77,84,67,14,34,91,90,96,87,46,1,0,21,0,0,99,51,73,100,54,0,97,70,76,92,83,75,0,47,97,99,84,90,76,32,98,99,95
Strategic,0,0,0,0,0,40,0,70,90,32,2,41,96,57,100,57,75,0,1,63,38,0,1,32,2,0,2,0,1,0,20,0,1,0,1,59,57,56,100,74,0,0,58,96,54,0,0,0,1,74,55,14,38,0,36,34,46,0,0,0,0,6,1,1,1,0,1,0,53,1,7,1,0,1,77,78,3,0,6,1,4,1,3,0,11,38,15,57,11,23,91,44,0,90,42,1,0,16,80,6,0,17,20,1,3,60,5,6,100,91,24,31,40,0,8,0,20,94,18,36,81,68,82,0,6,21,6,25,25,0,0,92,21,0,0,0,2,0,99,0,1,0,1,0,0,41,2,6,0,0,0,0,0,0,66,0,26,1,12
