,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
parent and child,0.8945183510320506,-1.4506939662418792,1.5338442181630503,0.5581149998351588,-1.3474628027728923,1.4612071750489828,-0.07235524289058037,1.6006789736478193,0.41000127139308873,-1.4156496646047303,-0.77600585794129,1.3035438906899177,1.6791800696247827,0.5262032576070025,-0.7715383742833073,0.26649878000151805,0.5065400509567007,1.719874997263334,-0.4880220759488854,-0.531363739711883,-0.5201621615194286,2.1289208024576984,2.1968742543933044,0.06582571805504785,-1.1021608702610508,-1.0976809036732686,0.7598674107606195,1.6969787851511775,-1.8951649022546715,0.24979134967720154
parent and teenager,0.8648812562593695,-1.4506939662418792,0.6845984489242503,0.652720847355191,-1.3474628027728923,0.9661546867968525,0.97717659609068,1.0809435162183294,-0.21855439673433258,0.43020925779740044,-0.77600585794129,1.0215047974840026,1.6791800696247827,0.5653728821198832,-0.7715383742833073,0.36469879395341004,-1.210667902286585,1.719874997263334,-0.4880220759488854,-0.6669222388922912,-0.7138525214294735,-0.47924036798035513,2.0312336026252202,0.3296817475698201,-1.3210101720050498,-0.7439491167173511,0.04916789128451078,-0.48779552123778774,-1.6758554266662486,-0.305947800490826
wife and husband,0.8945183510320506,1.1653924648850211,1.6446154054550677,1.0311442374353201,-1.3474628027728923,3.2129313642488286,0.29094423983370205,1.6656459058265054,1.5473877184808034,-1.4156496646047303,-0.77600585794129,1.5503280972450935,1.6791800696247827,1.3095957478646185,-0.7715383742833073,0.7083988427850318,-0.6476489012232125,1.719874997263334,3.0246764335971887,0.34976650496077016,-0.32647180160938377,-0.42809995287372665,0.7723646491877825,1.6929379000628102,1.1410444726149376,-1.0976809036732686,0.6102464592919651,1.6969787851511775,-1.748958585195723,0.509136286422281
fiance and fiancee,0.8945183510320506,1.1653924648850211,1.6446154054550677,1.3464970625020942,-1.3474628027728923,3.2129313642488286,-0.1934550704653412,1.6656459058265054,1.5773189407725854,-1.0961740818812846,-0.77600585794129,1.5503280972450935,1.6791800696247827,0.6437121311456449,-0.7715383742833073,0.413798800929356,-0.7039508013295498,1.719874997263334,3.0246764335971887,-0.5991429893020871,-0.24899565764536583,-0.32581912266046964,0.7723646491877825,1.6929379000628102,1.1410444726149376,-1.0976809036732686,0.011762653417347163,1.6969787851511775,-0.17724067681202732,1.0648754365903086
siblings,0.005405507851621078,1.1653924648850211,0.5738272616322329,0.5581149998351588,-1.3474628027728923,0.9280737261620732,-0.07235524289058037,1.6656459058265054,1.5773189407725854,-1.3801523776354585,-0.658300223395461,1.3740536639913965,1.6791800696247827,1.5054438704290227,-0.7715383742833073,0.07009875209773414,-0.7039508013295498,1.719874997263334,-0.4880220759488854,-0.2602467413510667,-0.7138525214294735,-0.42809995287372665,0.7392365188341657,1.561009885305424,1.1410444726149376,-1.0976809036732686,0.04916789128451078,1.6969787851511775,-1.3468912132836148,0.7314319464894921
divorced spouses,-1.3579008516917042,0.5898534500371031,-1.272359193234724,-0.7348315829386154,0.4578223711514313,-0.5951646992290973,-1.646653001362471,-0.6406801865168554,-0.8770412871535358,-1.4156496646047303,-0.3346097283944317,0.17538751786625703,-0.4690457321807184,-0.9230728493695873,-0.7715383742833073,0.2173987730255721,-0.42244130079786363,-1.1144150714933612,-0.4880220759488854,2.3831439926668927,1.6104317974910651,-0.3769595377670981,-1.0496825202611406,-1.473334454114457,0.37507191651094157,-0.979770308021296,-2.008120191409488,0.9800997158672983,-1.2737880547541405,-2.1213623577063827
a person and their in laws,0.5981474033052407,-0.5089028510361951,1.3123018435790155,0.5581149998351588,-0.6486427354473477,-0.5951646992290973,-0.27418828884851504,0.2363733978954086,-0.03896706298364078,-0.9896822209734694,-0.77600585794129,0.06962285791403884,0.8082777175414714,0.6045425066327641,-0.7715383742833073,0.36469879395341004,-0.5631960510637067,0.31901898626864555,-0.4880220759488854,-0.19246749176086259,-0.3652098735913928,-0.2746787075538411,0.4079552152979979,0.37365775248894884,-0.3361883141570548,-0.838277593238929,-0.21266877378563454,1.4580190953898844,-1.4930975303425633,-0.305947800490826
employer and employee,-1.3282637569190232,-1.4506939662418792,0.20458997065884146,-0.4825493228851961,1.5642874777502103,-0.5951646992290973,0.97717659609068,-0.9979983134996296,-0.06889828527542274,0.43020925779740044,2.1666350057044315,0.9157401375317844,-0.14971486975017095,0.6045425066327641,2.1555578202059755,1.9358990171836814,1.6044271030302766,-0.8863687441221327,-0.4880220759488854,0.6208835033215865,-0.5589002335014377,-0.32581912266046964,0.7392365188341657,0.2857057426506914,-1.3210101720050498,1.2605310093661815,-1.2974206719333794,0.1949464495087639,0.1882751158353438,-0.305947800490826
interviewer and job applicant,-1.0022557144195323,-0.9797984086390372,-1.7154439424027936,-0.703296300431938,0.9528199188403588,-0.5951646992290973,0.16984441225894126,-1.0304817795889727,0.38007004910130676,0.43020925779740044,1.5192540157023726,-1.0232786282588824,-0.06262463454183982,-0.7663943513180641,1.1310741521347267,0.9047988706888158,0.36578530069085763,-1.5379296794684993,-0.4880220759488854,0.9258901264775049,1.9590744453291458,-0.3769595377670981,0.47421147600523145,-1.0775504098422986,-0.8285992430810523,0.7888886267582914,-1.8584992399408338,-1.6484568715069254,-0.2503438353415015,-0.3429970771686945
guard and prisoner,-2.069191126236048,-1.4506939662418792,-1.272359193234724,-1.2078608205387766,0.6616448907880486,-0.5951646992290973,-2.1310523116615143,-1.1279321778570022,-0.8770412871535358,1.2466468580906507,1.6663860588846586,-1.1995530615125793,-0.9335269866251511,-0.7272247268051834,1.6286805051979047,0.36469879395341004,0.42208720079719486,-1.2447272585626346,-0.4880220759488854,1.7731307463550559,-0.6751144494474646,-0.2746787075538411,1.169902213431184,-0.1980303114597244,-1.2936540092870499,0.9303813415406584,-0.17526353591847094,0.29735774512074664,0.07862037804113245,0.17569279632146453
nurse and patient,0.8056070667140076,-1.058281001572844,0.38920861614553715,-0.6086904529119057,0.9528199188403588,-0.5951646992290973,0.008377975492593505,-0.44577938998079675,-0.15869195215076864,0.7496848405208462,1.2544163379742577,-0.9880237416081431,0.4018566199025928,0.4870336330941217,1.4823256954734407,0.26649878000151805,1.6044271030302766,0.28644093950132726,-0.4880220759488854,0.5869938785264844,-0.5201621615194286,-0.3769595377670981,2.2300023847469213,0.06582571805504785,-0.855955405799052,1.189784651974998,-0.025642584449816454,-0.8291665066110635,0.261378274364818,0.4720870097444126
therapist and patient,0.5685103085325598,-0.4565811224136571,0.05689505426948491,-0.7979021479519702,0.7489973992037416,-0.5951646992290973,-2.817284667918492,0.26885686398475167,0.49979493826843463,0.8916739883979331,1.695812467521116,0.06962285791403884,0.34379646309703876,1.8188008665320692,1.5701385813081192,2.132299045087465,0.8725024016478927,-1.5379296794684993,-0.4880220759488854,-0.02301936778535236,-0.40394794557340175,-0.2746787075538411,2.2300023847469213,-0.06610229670233828,-0.9927362193890514,1.048291937192631,-0.06304782231698007,0.3656319421954018,0.04206879877639534,0.3238899030329386
salesperson and customer,-1.0911669987375752,-0.3257768008573121,-0.7554269858719761,-0.3564081928584864,1.0692899300612828,-0.5951646992290973,0.97717659609068,-1.5827007031078055,0.3202076045177428,1.9210953105068138,2.1666350057044315,0.7747205909288267,-0.2658351833612791,0.44786400858124087,2.1555578202059755,2.9669991636785467,0.8162005015415554,-1.016680931191406,-0.4880220759488854,-0.02301936778535236,2.695097812987316,-0.2746787075538411,0.44108334565161467,0.8134178016802359,-1.2115855211330502,1.2605310093661815,-1.4844468612691974,-1.5460455758949427,0.15172353657060667,0.17569279632146453
