,V1,V2,V3,V4,V5,cl_k3
parent and child,-1.10174774228833,-0.923106072016516,-1.19117532807158,0.78150893129401,-0.857907225198314,0
parent and teenager,-0.90113232957333,-0.505251134905931,0.202402342446029,0.22522919421215,-0.855710795409958,0
wife and husband,-1.5077645064639,-0.639986547510067,-1.74470054215158,-0.363051123539547,-1.33038658186551,0
fiance and fiancee,-1.49679986309938,-0.536705650145286,-1.15316310322819,-0.455997783572668,-1.19958476102624,0
siblings,-1.2800563116689,-0.757689246410826,-0.020434524126625,0.338289109789934,-0.924276152145333,0
divorced spouses,-0.888874717045656,1.1050017415274,0.339894421797482,-1.59695550990512,-0.608740082523631,0
a person and their in laws,-1.03878070803293,-0.136745733631722,0.20564190107433,-0.169252836379562,-0.87001991036529,0
employer and employee,1.79448460909056,0.538516552999298,0.826009416923177,-0.324436525093294,-0.592747316789191,2
interviewer and job applicant,1.10122503364344,0.894511033068048,0.47293924558117,-0.819938380699526,-0.195916665999571,2
guard and prisoner,-0.0118404913863494,1.41467955165238,0.0645073897440564,0.488155865470869,0.245994799120901,1
nurse and patient,1.49207658804344,-0.917536232056736,-0.208934018991076,-0.221880359476272,-0.163357074602271,2
therapist and patient,1.69844598429497,-0.648767702018667,0.886958750465262,0.230626077565107,-0.703865939270613,2
salesperson and customer,1.07484690116152,0.58701975245371,0.291204082940509,-2.69264384956906,0.978296216653557,2
business partners,0.691622231429128,0.0793589319541858,0.0282767792548581,-1.06907475406757,0.0777601662421561,2
opposing negotiators,0.89602156647685,2.04486969848516,0.101318855613389,-1.70448820018723,-0.857470929800129,1
political opponents,-0.621449267709384,2.14768015520823,-0.479895644015371,-1.25102668641408,1.020347002324,1
business rivals,-0.365796053240885,2.10446612849045,0.241603043783041,0.237762815881955,0.155409195956617,1
enemies,-1.1121643989905,2.19519803012816,0.995335180148144,-0.314675076524398,0.476999633988951,1
teacher and student,1.63364003142338,-0.809702945561601,0.102483558420591,0.201484269171125,-1.21803062629605,2
professor and graduate student,1.13370869657605,-0.895330324814355,0.770761506476387,0.207374957241922,-0.954889251182851,2
master and servant,0.572199373700508,1.64615034118926,0.376037924832777,1.3335775852002,-0.785594627560377,1
close friends,-1.30600992632201,-1.0868819232013,0.120985919541348,0.404447780308345,-0.681471489719087,0
casual acquaintances,-1.29195599738759,-0.210389167104045,0.953344172161992,0.318865216533283,1.49986348108788,0
teammates in sports,-0.699102692539938,-0.785353678979095,-0.0455516051062742,-0.0226950296661286,0.286300452568125,0
second cousins,-1.29385700445272,-0.385954120616357,1.27752621223562,0.371096956667307,0.253459615214605,0
grandparent and grandchild,-0.891382070153631,-0.98587914085432,0.629828346403108,0.969247330287664,-1.0409411593291,0
foster parent and foster child,-0.885773082456144,-0.866704827976066,0.446938610205152,0.417318602044276,-0.737102626994828,0
godparent and godchild,-0.986646075444478,-0.779120359369308,0.703513946218324,0.763400645306782,-0.77228058438023,0
step grandparent and step grandchild,-1.04507314322988,-0.62713412505313,0.527538128464925,0.591946589628516,-0.675856499152697,0
ancestor and descendant,-0.942094510977628,-0.450045688535017,2.82164180651922,0.915633274491606,0.689457970801941,0
man and his mistress,-0.662156628121234,0.183895739969656,0.389646133467406,0.221414163752316,-0.479507267897634,0
step siblings,-1.26144742851362,-0.638102409737657,0.291510090993085,0.401837987006938,-0.582347813120431,0
distant relatives,-1.26373821380419,-0.282335259678978,1.36566631351061,0.328746413330199,0.717746288081926,0
twins,-1.2187800491293,-0.792827011779345,0.257767363262324,0.79222197813265,-1.17120298182646,0
a person and their family friends,-1.27850187759769,-0.495518095101057,0.951107263286925,0.656389553329146,0.170877819808457,0
manager and staff,1.25924879432097,0.458374107223161,-0.0967458072654199,-0.162508577311875,0.137393487592774,2
union leader and union member,1.14437753298462,-0.830707633557154,0.229257527203864,0.027043204624495,0.461322546016269,2
manager and assistant,1.71603815815883,0.297953524640102,1.42505601262864,-0.413982154510406,-0.698976598137208,2
entrepreneur and investor,1.68097067062983,0.476406694001861,0.520873568217626,-1.17975374632871,-0.715132468445689,2
drug dealer and addict,1.35173761865767,1.45336815695374,0.967204190754424,-1.18148667720642,-1.46498491135144,2
victim and witness,-0.0737245612806482,-0.383064382980648,-0.349023798750894,0.769364360893051,0.0193872662218011,0
criminal and police officer,0.171892231576543,1.89547735124054,-0.393387471889711,1.27667978349707,-0.195591089758651,1
criminal and prosecutor,-0.295006751459217,2.54006481291796,-0.604476595924504,0.252215409166666,-0.353462325373487,1
customer and businessman,1.12653862949923,0.481855805735235,0.540068137374836,-2.77007887056066,0.82678829241586,2
representative and citizen,1.03263959587639,0.802787848447136,0.29571101558455,-1.22246765992068,0.250407315703515,2
officer and soldier,0.677744398035685,-0.476028075514683,0.854995197152061,0.977403487662493,-0.0024007390581961,2
religious followers,-0.721192021651169,-0.457678577111032,1.02701171572038,0.373916006850385,0.33019706574577,0
