"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.25751711548267,0.215089611602911,-0.769121240976359,0.0650685675522934,-0.259314986186384
"Equality",-0.493142064738611,-0.0638610581004828,-0.0671652879533225,-0.510907231189192,0.154907496860447
"Activity.Intensity",-0.680656044848373,0.351147206935146,0.223785913997725,0.129707608212494,0.0579583376263422
"Socioemotional",0.252517741371835,0.156380106018454,-0.21507046886683,0.263111744375664,0.00229904593076349
"Formality.and.Regulation",0.391039116763777,0.353228097417062,-0.00815535299806103,0.0580013308907418,0.0987538015639131
"Intimacy",-0.645408260302173,0.526841791311505,0.148784174310331,-0.0241675848690733,-0.0633385245038815
"Visibility",0.0939979439024483,-0.345821419326244,-0.252633819897948,-0.0878117903694507,0.626628315823122
"Communal.Sharing",-0.661585732806741,-0.101434845006242,-0.222068334831452,-0.0532536687124366,0.228732307819802
"Expected.Reciprocity",-0.416545370381452,0.128036325332676,-0.188496051106413,-0.583544410488021,0.351884002687682
"Strategic",0.613191199563393,0.465034375732992,0.111852029506073,-0.167057230188391,-0.0364318477103489
"Concreteness",0.807852584596556,0.0801302355664156,-0.188627596794523,0.0888024271019841,-0.0485446289393928
"Uniqueness",-0.525865627742504,0.362442616134161,0.352425722116871,0.0884048087413791,-0.13863367013545
"Love.Expression",-0.851651185637861,0.174416103152517,0.0132685946328369,-0.0627703424419608,-0.0819291137574085
"Information.Exchange",0.0376822393994794,0.624978137384901,-0.298528898663693,-0.0659766297076768,0.106478945645112
"Money.Exchange",0.683450954586427,0.315377025362371,-0.0966906637920849,-0.230810412433949,-0.0283271396568182
"Goods.Exchange",0.206402084559138,0.110017408136202,-0.0530836829587515,-0.663895972797144,-0.20839054178513
"Service.Exchange",0.731477848447484,0.354728741467102,-0.177894089324402,-0.0289578390324753,-0.165135020291224
"Attachment",-0.751689281209756,0.378329494036775,0.0534328183176195,0.0255567060126784,0.0855676503196594
"Mating",-0.521660258968891,0.380046535559536,0.21817236550663,-0.122314389904301,-0.231411922830687
"Conflict",0.31469896602918,0.0483941978493293,0.772394853417885,0.131932836951658,0.11559066725413
"Negotiation",0.432772242934853,0.382324082757633,0.126947394638058,-0.439232891113479,-0.0160365210900294
"Coercion",0.461998721688714,0.0446572570041699,0.669435037394371,-0.0945876092493071,-0.0314843981968362
"Importance.for.society",0.467599356292751,0.191773727314444,-0.275154553401946,-0.0148976416464871,-0.0189730218254962
"Importance.for.individuals",-0.600156629470051,0.483744706682563,0.0554876570718519,0.0113965653058531,-0.181252874347163
"Affiliation.Coalition",-0.365625611593718,0.149357830074195,-0.729104719589688,0.169672091639735,-0.178585634828227
"Occupational",0.838657697242406,0.232036342928676,-0.107938469082758,0.0391714611005051,0.0605381261968092
"Activeness",0.297583812262025,0.66689720342424,0.0770462656088462,0.0598118878978602,-0.0339680704616059
"Endurance",-0.751001891959419,-0.129657162493928,0.13945933263409,0.00864177066886245,-0.118680955051584
"Synchronicity",-0.18132128083344,0.513764782698289,0.0471151187293058,0.137198175755966,0.506252836422584
"Spatial.Distance",0.0794786921617143,0.645811297111089,-0.0659400675488671,0.311135799503996,0.396688268910681
