"","PC1","PC2","PC3","PC4","PC5"
"parent and child",-3.63804167578652,-2.46733169390827,-2.22164992845891,-0.777517119991599,2.75529244665549
"parent and teenager",-2.60096493316254,-1.51268694467264,-1.67722593482729,0.582808166933042,1.96585091205792
"wife and husband",-6.40387108296535,-1.43940479698806,-1.84477682649935,-1.43282434902585,-0.645597335468676
"fiance and fiancee",-6.42104129675735,-0.661265835518837,-1.64630598760463,-1.90854237292753,-1.24749444791253
"siblings",-4.9489627911923,-1.36678508239462,-1.32689626359859,0.609583049260916,0.588478775813936
"divorced spouses",1.54077286315274,-2.67062799528783,3.11413793003986,0.788138095676263,-0.463565479707992
"a person and their in laws",-2.11972333517127,-1.35368488762073,-0.584562464702295,1.04323914477667,1.01052873386451
"employer and employee",3.535572264634,-1.49607468677507,-3.16426279423135,-0.328976427548527,0.0907257790781405
"interviewer and job applicant",4.4963986831114,-1.65987754496813,0.0474179775269873,0.417104160369828,-1.42982875647039
"guard and prisoner",4.50504491804974,-1.55262073451911,-0.375008926001563,-1.58634123467252,0.141504532077591
"nurse and patient",2.43807631126599,-0.156639768765641,-3.04748851261364,0.0105152223737473,0.245998082881014
"therapist and patient",2.23623115022939,-1.65491739544246,-3.74580263066151,-0.2692271420651,-1.07726872919177
"salesperson and customer",4.50616378781002,-1.11028627570345,-2.32828054577389,-0.660610510747156,-1.97569942363776
"business partners",2.78646445418988,-1.40067571988509,-1.96519119756214,1.57944945588296,-2.68308807725922
"opposing negotiators",4.23492045644601,-3.43910144287504,2.3738226330896,-1.34567099829165,0.353929695647251
"political opponents",3.76599989883061,-3.69284208529158,1.33105583681836,-1.01937413606331,1.48241638558765
"business rivals",4.37093048185922,-2.67716296785063,2.11509746847557,-0.69209764611426,-0.515893444904312
"enemies",1.80149865317966,-3.53483229921402,4.27196834104035,-1.17826193978873,0.746455977545481
"teacher and student",2.70178667867206,-1.52943461507079,-2.51709361512906,0.247131319693941,1.32191693011275
"professor and graduate student",2.97164691087317,-0.801773674872965,-1.5882303742003,1.66157254425112,-0.243516129073048
"master and servant",4.46527900742221,-1.64357414605954,0.40858598879604,-3.85161623209688,1.12521391630073
"close friends",-4.67780777665733,-1.21233726403803,-1.24400732685847,1.15081279648399,0.0367306859779429
"casual acquaintances",-2.21547150090756,-1.2888165337483,0.398992024829423,2.6858085900703,-0.676700730982339
"teammates in sports",-0.605969007566714,0.174513230712267,-0.355686020078681,2.17335946165746,-0.734285762038246
"second cousins",-3.0944564054283,-1.86105604607535,0.0102664483718334,2.20847986460448,-0.499288536081893
"grandparent and grandchild",-3.41524328947355,-1.51447130089825,-1.54800245720688,0.502979423346806,2.14415794652467
"foster parent and foster child",-3.01357155712339,-1.05255837911455,-1.18862277136771,0.520786018559253,1.39708913205347
"godparent and godchild",-2.85952887324577,-2.25434715227406,-2.02865862116515,0.400489157878043,2.2221752076031
"step grandparent and step grandchild",-3.06531196947041,-1.80674655776577,-0.883017377813751,1.12036813199421,1.45938144254352
"ancestor and descendant",-2.27100716745925,-2.3411599093523,-0.408029935783613,1.52490899796418,1.5633591449861
"man and his mistress",-1.73088989634881,-1.09577877026264,0.51280158092904,-3.08883562006565,-3.79569954756499
"step siblings",-3.43449735734033,-1.18843682772188,-0.93801594141151,1.62886411337242,0.296289113612039
"distant relatives",-1.98439089934215,-2.83289146950262,0.756305837705576,2.95765305980971,0.226731411929234
"twins",-5.33751405546308,-1.49748585234353,-1.14590595473493,1.05684164748148,0.55354474686967
"a person and their family friends",-3.58236953607166,-1.14641408689954,-0.30355799562012,1.74906520504228,-0.0396916193119594
"manager and staff",2.96904291505126,-1.06633503258818,-3.05935757622857,-0.956525023489779,1.11815398045797
"union leader and union member",2.18775578098057,-1.11660875906535,-2.43804059230993,0.720520831677628,-0.312561208430942
"manager and assistant",3.43167473954861,-1.6003868811793,-2.7021584353742,-0.600823337832992,-0.0101533074265935
"entrepreneur and investor",4.11927874225583,-1.25790494090573,-2.37345021097734,-0.149297439736207,-2.17717942606296
"drug dealer and addict",3.40851910857466,-2.62291126625853,-1.17590833377799,-2.65098207153722,-3.02369801317583
"victim and witness",2.2145547097009,-0.922125786794537,0.111880309973658,-0.29291915321506,-0.13960226916589
"criminal and police officer",5.21746463721864,-3.00227589494157,0.537425482336407,-1.78681132407993,2.18205129611821
"criminal and prosecutor",5.1479626381148,-2.33765116066796,-0.462135780949937,-2.45430167247455,1.40031457738161
"customer and businessman",4.38255993037351,-1.80390851995437,-1.76670800426389,0.0940690867021383,-0.878299930888833
"representative and citizen",3.36429253368867,-1.53224950004874,-1.41588127173416,1.22720660894513,0.63462614327049
"officer and soldier",2.21780161128049,-1.64063755278823,-1.87483486535006,-0.0795091170573165,1.67557342900554
"religious followers",-1.16498577329647,-0.541394930470513,0.244129583078514,2.25033221450556,-0.0892584957389566
"reader and writer",1.89181834012948,-2.32951223311515,-0.994493794133157,2.45678518894445,0.0528527649416628
"reviewer and writer",3.18761093944519,-2.53090298791652,-0.611408049903682,1.37448168250184,-0.764219796631381
"sugar daddy and sugar baby",0.366025537805655,-1.58289759258084,-1.82780171658641,-4.17129238861886,-4.22479281435627
"director and performer",1.7857267728387,-0.409263714001408,-2.49306985331179,-0.111550870897123,0.193224996573082
"psychologist and client",1.80066602161972,-1.39571426916619,-3.17626102050369,0.469761964790415,0.708619794829281
"judge and contestant",3.67208521092954,-0.450794304522743,-0.0786138837941768,0.426950049200749,0.379550197653902
"man and god",-2.6613872964644,-1.90143511450347,-2.59192769561487,-0.654986457248543,1.7026492030076
"university student and administrator",4.55142308938387,-1.72819735423944,-0.857225603830201,0.525959839360381,-0.433804172361233
"student and dorm resident assistant",2.97703434479249,-1.51589910990979,-1.84134245116539,0.0434390932322018,0.572720549779894
"athletic trainer and trainee",1.89085154730357,-1.08848433952658,-2.39906804159194,0.235080087271352,0.0148204000783095
"researcher and research subject",4.07925739746517,-1.78855748586517,-2.68117628631378,0.285591065056566,-1.89554793201907
"peers",-3.93263056976666,-0.996192215999685,-0.756522717224589,1.56510951550859,-0.379131208461671
"classmates",-0.857768974342707,-0.382898212300198,-0.0110319176077258,2.3475071705734,-1.25801296511569
"bride and bridesmaid",-2.42461147467886,0.0250398803863843,-1.05827809833054,0.713002003266593,0.137303737388738
"guest and host",0.645677891675723,-0.95670782411813,-0.24886395683942,0.390718088511932,-1.75801371869144
"television host and guest",3.43474277364988,0.424984234962659,-0.84038317069434,-0.0228354071022699,-0.917688588229679
"volunteer and organizer",1.67643720310538,-0.275638070107982,-0.682193509621828,1.18067936223616,0.570021709964504
"bully and victim",2.80457688087518,-2.18183021831036,3.67988421817528,-2.69624739273621,1.31175487709928
"a person and their social media follower",1.65817854199582,-2.39327880747244,1.02848426718839,2.11032913585734,-1.46696573813073
"childhood friends",-3.55418761477369,-1.53862415673267,-0.152381527555268,1.06081163763273,0.930096169022266
"pen friends",-1.73709305689701,-2.44157903651159,0.783904537109824,3.25275485443926,-0.548709160955331
"friends with benefits",-2.78518011446555,-1.21451264401096,0.861786432569303,-2.4436378502383,-1.41071030448468
"life partners",-6.47400613620885,-0.654416042387477,-1.63641619031148,-1.03813716623308,-0.233847084237573
"soul mates",-6.68561354317703,-0.0540663486695593,-1.63735643431291,-2.15393957242727,-0.725330976140106
"church members",-1.52624754870713,-0.223579298093844,-0.396524095949531,2.13761514578999,-0.698464892228914
"fans of the same sports team",-0.846121064689635,-0.418553184371393,1.07004506598389,2.54631860566986,-0.930353890164658
"fans of opposing sports teams",2.0701295248257,-2.35974020204024,3.38951259712566,1.09603675384755,-0.493612053498394
"superior and subordinate",3.49970671866126,-1.39125706282531,-0.838241810891249,-1.04357912899545,0.535253873033668
"a monarch and their minister",3.1071758274903,-1.07824970107956,0.623831594742201,-0.534345127924895,2.40614768134721
"cousins",-4.78709799521561,-0.198497350309547,0.730515565951335,0.609866421997597,0.234996597888686
"parent and infant",-5.43356580168641,0.863756058703984,-0.658909242582065,-3.04750698917701,0.166868986096618
"step parent and step child",-5.46177747585187,0.607779075052677,-0.177513457620386,-0.876674331748681,-0.0867966042189879
"bride and groom",-5.81901073649397,1.17965546322925,-0.245689104769365,-1.9994734658149,-1.17085806139548
"man wife and man mistress",-3.28515208282306,0.4307793988187,1.54589951707079,-2.09514849042486,-1.73336150125762
"brother and sister",-5.52848383607743,0.595762051177773,-0.41625440788059,-0.534634754141093,0.0875415653729721
"close relatives",-4.96404427178987,0.405760753047034,-0.148110735047171,0.123031383754181,0.217761399860117
"a person and their deceased spouse",-4.71149851494008,-1.19919999603929,1.27121863863166,-0.296142689783915,-0.0464341344514774
