"","clustering_exp","clustering_imp","clustering_dim_umap","hybrid_3k","dimension_exp","dimension_imp","dimension_dim"
"sub-301",0.282907093864398,0.29823617866773,0.645516256164927,0.677295536248246,0.479417285397592,0.446154508945711,0.655312082396297
"sub-693",0.373123347858284,0.170449568860974,0.512716352555312,0.668793703590014,0.321493484542907,0.483503178369028,0.729101067766506
"sub-700",0.429190375670416,0.396489883778763,0.685840774644851,0.810915458821223,0.551985068692107,0.575690881573368,0.687071546105246
"sub-701",0.340841286003793,0.314787770413451,0.622465525500754,0.683286248392234,0.19709129829129,0.18721798406523,0.579762577277578
"sub-706",0.212066005635033,0.228992750761167,0.609823388190945,0.7744043980018,0.328231785639394,0.392976506476868,0.672174537763127
"sub-716",0.343536567490756,0.135979804318217,0.515518176988979,0.645692723285847,0.160929974144668,0.40448667819392,0.546831256967177
"sub-720",0.441005883071644,0.185458606579364,0.6467019542753,0.712673574427381,0.386497672174393,0.269759761665155,0.692477231745073
"sub-722",0.328516928834479,0.253710705781236,0.636091405194972,0.412081548742621,0.398936419937282,0.172831169975134,0.703282304524616
"sub-754",0.428904513854056,0.52468016759074,0.609203412280196,0.810266161827089,0.363963657677264,0.603618082805131,0.703679745471705
"sub-759",0.313001190541944,0.23170264214715,0.613956653302231,0.745107669405895,0.108083689473265,0.447840363224795,0.682869710020615
"sub-762",0.320842768942739,0.280038794992632,0.679471072555461,0.769901496754425,0.16264966941601,0.464726220486339,0.671410749519651
"sub-765",0.38393543463283,0.362948778043789,0.526211273918298,0.618424393584086,0.324063467027553,0.381832178165536,0.711965230696857
"sub-766",0.347355715579103,0.303616151461915,0.624268216761057,0.746179419562735,0.432317280071327,0.430529138035528,0.604987721744223
"sub-767",0.3900407903129,0.503068808498734,0.68012782658634,0.192164175691038,0.399192229204894,0.469565640868122,0.628243907105261
