,United States
United States,0.0
Australia,0.9922082676509666
United Kingdom,1.4096328468587858
"Hong Kong SAR, China",1.4696978998177397
Germany,1.7202052951351663
France,1.9080538428279488
Japan,2.0714537258908408
Israel,2.1341472540962405
Spain,2.1439826773851256
Portugal,2.7244947319796
Chile,2.7504145596935614
Russian Federation,3.015904668086608
Brazil,3.349235427435271
Mexico,3.529211129520603
Qatar,3.807239045621428
China,3.8198662569799775
South Africa,4.278096578557305
"Egypt, Arab Rep.",4.527792836857209
India,5.123057489503092
