"","query","layer","position","r_value"
"1","q4.3_bert_embedding_data","hidden","CLS",0.352087340867867
"2","q4.3_bert_embedding_data","layer0","CLS",0.321187051525382
"3","q4.3_bert_embedding_data","layer1","CLS",0.310083048856366
"4","q4.3_bert_embedding_data","layer10","CLS",0.0607435472835505
"5","q4.3_bert_embedding_data","layer11","CLS",0.352087340867867
"6","q4.3_bert_embedding_data","layer2","CLS",0.15924208812703
"7","q4.3_bert_embedding_data","layer3","CLS",0.142366508894152
"8","q4.3_bert_embedding_data","layer4","CLS",0.294491745725233
"9","q4.3_bert_embedding_data","layer5","CLS",0.141159936012308
"10","q4.3_bert_embedding_data","layer6","CLS",0.11851307059371
"11","q4.3_bert_embedding_data","layer7","CLS",0.142009918467169
"12","q4.3_bert_embedding_data","layer8","CLS",0.20761504834364
"13","q4.3_bert_embedding_data","layer9","CLS",0.146154612412175
"14","q4.3_bert_embedding_data","hidden","MASK",0.27809714356884
"15","q4.3_bert_embedding_data","layer0","MASK",0.0236541947170777
"16","q4.3_bert_embedding_data","layer1","MASK",0.0275570589875908
"17","q4.3_bert_embedding_data","layer10","MASK",0.1884154914926
"18","q4.3_bert_embedding_data","layer11","MASK",0.27809714356884
"19","q4.3_bert_embedding_data","layer2","MASK",0.0205270355040545
"20","q4.3_bert_embedding_data","layer3","MASK",0.0245956382432493
"21","q4.3_bert_embedding_data","layer4","MASK",0.0287993541834469
"22","q4.3_bert_embedding_data","layer5","MASK",0.0283391509466464
"23","q4.3_bert_embedding_data","layer6","MASK",0.0257028816896083
"24","q4.3_bert_embedding_data","layer7","MASK",0.0306097355473016
"25","q4.3_bert_embedding_data","layer8","MASK",0.0556040570482408
"26","q4.3_bert_embedding_data","layer9","MASK",0.0971548208608577
