"","query","layer","position","r_value"
"1","q2.1_bert_embedding_data","hidden","CLS",0.495916466154966
"2","q2.1_bert_embedding_data","layer0","CLS",0.260472629468066
"3","q2.1_bert_embedding_data","layer1","CLS",0.355533142713656
"4","q2.1_bert_embedding_data","layer10","CLS",0.31557039992267
"5","q2.1_bert_embedding_data","layer11","CLS",0.495916466154966
"6","q2.1_bert_embedding_data","layer2","CLS",0.238633617325885
"7","q2.1_bert_embedding_data","layer3","CLS",0.151713003445162
"8","q2.1_bert_embedding_data","layer4","CLS",0.135535919377988
"9","q2.1_bert_embedding_data","layer5","CLS",0.134836517965342
"10","q2.1_bert_embedding_data","layer6","CLS",0.135737681565341
"11","q2.1_bert_embedding_data","layer7","CLS",0.151801937151354
"12","q2.1_bert_embedding_data","layer8","CLS",0.132028511851996
"13","q2.1_bert_embedding_data","layer9","CLS",0.188370511114843
"14","q2.1_bert_embedding_data","hidden","MASK",0.451502379296324
"15","q2.1_bert_embedding_data","layer0","MASK",0.0271226985546959
"16","q2.1_bert_embedding_data","layer1","MASK",0.0615020092447585
"17","q2.1_bert_embedding_data","layer10","MASK",0.351104270165581
"18","q2.1_bert_embedding_data","layer11","MASK",0.451502379296324
"19","q2.1_bert_embedding_data","layer2","MASK",0.0761085706743143
"20","q2.1_bert_embedding_data","layer3","MASK",0.071495431988997
"21","q2.1_bert_embedding_data","layer4","MASK",0.0761972693161085
"22","q2.1_bert_embedding_data","layer5","MASK",0.0952380322953918
"23","q2.1_bert_embedding_data","layer6","MASK",0.103727079191225
"24","q2.1_bert_embedding_data","layer7","MASK",0.153274670310986
"25","q2.1_bert_embedding_data","layer8","MASK",0.196656545946187
"26","q2.1_bert_embedding_data","layer9","MASK",0.28837874787635
"27","q2.1_bert_embedding_data","hidden","关系",0.501784495188355
"28","q2.1_bert_embedding_data","layer0","关系",0.111977061309006
"29","q2.1_bert_embedding_data","layer1","关系",0.22503859108171
"30","q2.1_bert_embedding_data","layer10","关系",0.450657484891514
"31","q2.1_bert_embedding_data","layer11","关系",0.501784495188355
"32","q2.1_bert_embedding_data","layer2","关系",0.25581744618222
"33","q2.1_bert_embedding_data","layer3","关系",0.227296728915329
"34","q2.1_bert_embedding_data","layer4","关系",0.242625641046364
"35","q2.1_bert_embedding_data","layer5","关系",0.285810380769909
"36","q2.1_bert_embedding_data","layer6","关系",0.2994274443912
"37","q2.1_bert_embedding_data","layer7","关系",0.309189969923095
"38","q2.1_bert_embedding_data","layer8","关系",0.330121127473185
"39","q2.1_bert_embedding_data","layer9","关系",0.420598313256688
