"","Activeness.human","Exchange.human","Formality.human","Equality.human","Valence.human"
"助教-学生",0.573442086678885,0.244584978870549,0.860056938217134,-0.560091675491134,0.39794642743554
"学长学姐-学弟学妹",-0.534668009878061,-0.742934170844608,-0.0079506056777541,-0.121802052256802,1.19936773373144
"学生会主席-学生会成员",0.384399455440222,0.0030362726757199,0.65867165372496,0.100828308184036,0.203870441697958
"社团社长-社团社员",0.50008662365267,-0.0706785144409616,0.785770164666796,0.314728568093816,0.0521531951278904
"老师-家长",0.0851426884960618,-0.225486174847442,1.1337962099415,0.379196604168426,0.679237339676772
"考官-考生",-1.25555303212694,-0.990489291419005,1.7361901937251,-0.985704837896978,0.129984514464698
"家长-班主任",-0.256789113580721,-0.219633602272443,0.907056907367905,0.284771343150105,0.768084729877965
"家教-学生",0.704303245777194,1.26757161845181,0.420731218921962,-0.753478196232247,0.321886185511875
"辅导员-大学生",0.312442428694477,0.125874084645008,0.854618517785369,-0.791016687747244,0.464251229066626
"班主任-学生",0.861055018774375,-0.353680891646291,1.41875718252399,-1.1828315291434,0.29349932262506
"班委-班级成员",0.434753630571534,-0.356608610214795,0.780275948053541,0.99257833522339,0.467743137787989
"债主-欠债人",-0.106524389530296,1.32531468084382,-1.18622668362319,-0.561671104516801,-1.79262825663892
"原配-第三者",-1.149557576736,-0.418717732799868,-2.3085191067361,-0.264352852458624,-1.75758094163291
"义父义母-义子义女",0.731588852945259,-0.993366918891006,-0.774290349965671,-1.68045655717351,0.549779271578436
"网友之间",-1.73762852187378,-0.519684628871377,-1.20749369094076,1.05829675125951,0.88463761364973
"外地人-本地人",-2.18810654436555,-0.232478254746852,-0.517550943225175,0.326007478358802,0.790863219532321
"师父-徒弟",1.18686246476855,-0.273587183182528,0.184586503118683,-1.45561577104276,0.0524172851431514
"球友之间",0.418938623278276,-0.35357838532056,0.197989140510974,1.6628253263937,0.62772141993575
"青梅竹马之间",1.2268820748447,-1.00008865016402,-0.892824003101805,1.10591913934871,0.511062173648893
"乞丐-路人",-3.18800921027172,-0.340582236544716,-1.096392281115,-0.493667605354417,1.62108058663847
"旅伴之间",0.76670818794597,-0.0522021194718708,-0.92109247074605,1.54123281748048,0.281619379992048
"老乡之间",-0.38062736387255,-0.376104437704888,-0.827432626881792,0.413756317298028,1.13323560853568
"老朋友之间",1.13998168340323,-0.884456661516469,-0.509399742018462,1.24468398074157,0.621865698215744
"干爹干妈-干儿女",0.478390942383933,-0.897962266853821,-1.0279992363731,-1.65789261609276,0.818152155917502
"搭讪的人-被搭讪的人",-1.81733942793787,-0.448060426236817,-1.4319335911773,0.708135994429938,0.264178531800875
"报案人-受害者",-0.70785641954215,-0.820323569039807,-0.0395295095606569,-0.250633967395652,-0.972362587335945
