"","暧昧对象之间","暗恋对象-暗恋者","报案人-受害者","报案人-罪犯","编辑-作者","表兄弟姐妹之间","厨师-顾客","敌人之间","恩人-受助者","青梅竹马之间","情敌之间","人 - 上帝","认识但不熟的人之间","商家-客户","上级-下级","生意伙伴之间","生意竞争对手之间","师父-徒弟","收银员-顾客","首领-反贼","叔叔婶婶-侄子侄女","双胞胎之间","谈判中对立的双方","堂兄弟姐妹之间","同父异母(或同母异父)的子女之间","继子女之间","同事之间","同学之间","搭讪的人-被搭讪的人","施害者-受害者","受害者-旁观者","房东-租户","夫妻之间","服务员-顾客","子女-父母","义父义母-义子义女","公公婆婆-媳妇","雇主-保镖","雇主-雇员","官员-行贿者","冠军-亚军","黑帮老大-小弟","继父继母-儿女","继祖父母 - 继孙","寄养父母 - 寄养子女","老师-学生","家教-学生","假朋友之间（表面朋友，实则讨厌对方）","教徒之间","童年玩伴之间","外地人-本地人","外公外婆-外孙/外孙女","未婚夫-未婚妻","校友之间","校长-老师","亲兄弟姐妹之间","演员-编剧","演员-观众","演奏家 - 听众","爷爷奶奶-孙子女","主治医生-病人","姨父姨妈-侄子侄女","见义勇为者-受助者","金主 - 援交男/女","经理-老板","经理-员工","捐款人-受惠者","军官-部下","考官-考生","老师-家长","老乡之间","邻居之间","旅伴之间","卖家-买家","陌生人之间","玩伴之间","朋友之间","老朋友之间","挚友之间","知己之间","乞丐-路人","前任官员-现任官员","狱警-囚犯","原告-被告","原配-第三者","出轨者-小三","远房亲戚之间","岳父岳母-女婿","战友之间","政府官员-老百姓","政治对手之间","政治盟友之间","中介-客户","忠臣-反贼","主人-客人","主人-仆人","保姆-雇主","保姆-小孩","主职-副职","宗教领袖 - 信徒","祖先-后代","居委会-居民","远房表兄弟姐妹之间","君臣之间","债主-欠债人","亲家之间","律师-法官","律师-委托人","警察-老百姓","嫌疑人-警察","罪犯 - 人质","罪犯-被害人亲属","罪犯-旁观者","小偷-失主","罪犯-受害人","法官-检察官","犯罪同伙之间","赌徒之间","作家-读者","作家-评论家"
"暧昧对象之间",1,0.619259133303552,-0.220994055550987,-0.404580637931245,-0.37919942721359,0.588350552741125,-0.455340270112113,-0.180941918513001,0.366291894091925,0.773337793923983,0.0485346114622629,0.0870699593838422,-0.0642535910546384,-0.579201616054234,-0.515888372028832,-0.294971619481184,-0.399215472969459,0.254748947385579,-0.584790446911739,-0.379676724795926,0.569430215935893,0.717898828864827,-0.494266040852803,0.684548819354433,0.688235609194246,0.648094301207151,0.0594035171415661,0.534785854122937,0.142793546301265,-0.164577881709466,-0.207165937748992,-0.458195998314374,0.727380788926597,-0.518495651343472,0.565682153378508,0.503347091035146,0.450901740593167,-0.186270187951929,-0.516288464265306,-0.0261936860241483,-0.509796829420486,-0.0106907692371779,0.452666249729835,0.434016937322661,0.482523307661209,-0.136541852811957,-0.229809810611913,-0.0729110688911903,0.343220994950193,0.694297282241407,-0.313550731202334,0.518641082840845,0.843837801371671,0.347513234212313,-0.385570741507763,0.705670021324976,-0.35814080171728,-0.508313359007506,-0.192954893276678,0.530443413134417,-0.309307769181767,0.506361457251588,0.0742679294450507,0.119101498944635,-0.474241343144822,-0.490333103542521,0.0369470501189683,-0.205383960900854,-0.597726215111396,-0.188931708263625,0.551953299767969,0.35744902252942,0.820899616172232,-0.435509320030799,-0.260543559262043,0.724944411579602,0.732492108490536,0.649019918566903,0.662106475924729,0.759728315883977,-0.203565370246324,-0.559119053521947,-0.520148549671679,-0.429558425091773,0.0999698426422774,0.667613842594633,0.241027167356889,0.424829722307625,0.512153791764286,-0.434045548538033,-0.351923842688964,-0.18191754385761,-0.503367862874739,-0.327931744406493,0.487976801504232,-0.131733577002981,-0.375477341038787,-0.141711702230677,-0.677020656286624,0.0927251755711663,0.384561281772209,-0.344213326625029,0.54887094531439,-0.332293634661671,-0.311066279540898,0.668976229791262,-0.765785364782902,-0.350866613455073,-0.301151552738388,-0.552331151608091,-0.304288056229673,-0.281855330111896,-0.28177403380866,-0.264193900864411,-0.203540324537542,-0.512931732629928,0.242172409497686,-0.0948183028425256,-0.277029758456944,-0.508399975978745
"暗恋对象-暗恋者",0.619259133303552,1,0.356017550160351,0.196429243191192,-0.59382872532566,0.386238136725565,-0.393856756105201,0.301092311067256,0.238172959684586,0.40114520566214,0.508874276991308,0.595203494306748,0.439650760623541,-0.575822168890882,-0.641284788721035,-0.648749288680811,-0.0378488104991318,-0.0801456466437127,-0.398302806119469,0.173548179474166,0.404227600563839,0.308027993614291,-0.344609720231868,0.467936030839692,0.617468151923145,0.540333903743752,-0.461902824939649,0.0317112389687272,0.580433524597056,0.357693528633383,0.413543481422581,-0.428523352937067,0.239044905993586,-0.438750568745221,0.283157172108828,0.30417711178158,0.190899894814985,-0.405620039114654,-0.674950999658703,0.00913379211236515,-0.0162393274327764,0.0309838461801619,0.303740876196149,0.373114641928026,0.342142446775659,-0.410214877678337,-0.601247164109517,0.34735944540292,0.172354528769007,0.327345039045831,0.180675471986261,0.286039032980004,0.394237152391214,0.191216579860623,-0.630801235100321,0.329378998346482,-0.731560902700683,-0.155505334075889,-0.193142562545476,0.252084173536322,-0.552638697437608,0.508121724350723,0.324015690737099,0.256448466650232,-0.762822420527767,-0.715844082395217,0.251723218107975,-0.268265603279847,-0.0690198888693341,-0.473307299081312,0.397841755582484,0.0847877079832787,0.274739549582216,-0.470564435940911,0.297728745913508,0.263051494215513,0.296010151503638,0.244080049426545,0.257433024618967,0.351540752469066,0.34924429515746,-0.0145636200530939,0.0839649922250941,-0.116853538860973,0.55519223205655,0.591665575360598,0.472253301482799,0.215776466386169,0.0925928504003933,-0.310653455990494,-0.00482663594284615,-0.567652823013082,-0.599556943888869,0.227360035662744,0.137015739083162,-0.110223063315864,-0.583918850151999,-0.284396592244383,-0.665805023418452,0.18413563762626,0.477836971150041,-0.53232985375661,0.618201625873638,-0.527577905444912,-0.0495930456574647,0.325741562525145,-0.506834063251259,-0.655722905201864,-0.0987637683416895,-0.00610926400146647,0.172679009614308,0.308994513370023,0.354334508784923,0.241829465444059,0.281484585455996,-0.439982129476542,-0.00658392972193337,0.184037756458175,0.0529007556312637,-0.0508203158593388
"报案人-受害者",-0.220994055550987,0.356017550160351,1,0.917985539619553,-0.492512752834247,-0.303330773410987,-0.159138048416515,0.786106338893905,-0.309519634075002,-0.349750365145228,0.772120898066926,0.345469849153936,0.5139294410491,-0.189613068917556,-0.295384774350186,-0.443286507755216,0.633568805533065,-0.541193274368662,0.0522720272068314,0.797930482642414,-0.247202413350122,-0.409002918337406,0.39788829276461,-0.278304447882092,0.0087719194892554,0.0338901520396603,-0.519177067439744,-0.53846324443446,0.585168681188909,0.884809180932009,0.865247838912185,-0.075590131042099,-0.40450290347079,-0.066444319245847,-0.26372334626216,-0.255518988014734,-0.189346796036011,-0.438714868751946,-0.291168770020211,0.228164028279448,0.544405494612776,0.185458301054763,-0.158653983566885,-0.156466948630953,-0.221980102598201,-0.478055044045689,-0.630973358090203,0.658033323110639,-0.23015173626784,-0.413289086669462,0.587889178062696,-0.316882774029524,-0.392761407232513,-0.233623317523975,-0.519077472538158,-0.372518251891733,-0.490746059906652,0.0460164226456976,-0.24008466275268,-0.319714212586669,-0.413359294661158,-0.114541364955931,0.249451850578047,0.253359381678283,-0.426898863694587,-0.396615038269708,0.0522360018353746,-0.265000315603996,0.476125502959595,-0.514626977680472,-0.323578727171428,-0.330735759724972,-0.379097978269134,-0.0473864298882977,0.627844610179986,-0.438497203446245,-0.463143123778587,-0.439863773915236,-0.451213384659716,-0.445677454590673,0.498122572332155,0.58570645435703,0.795252239774573,0.710500044848114,0.760591653129491,0.271942224336095,0.113894406810445,-0.309395730631647,-0.463834328102326,-0.224337323386408,0.645522346031155,-0.382515846846432,-0.21750206188524,0.808970628792709,-0.430234774131968,-0.0879248358176668,-0.396468847166207,-0.423592185833827,-0.118286630921112,-0.123635572852566,-0.0192244183147099,-0.445364975182673,-0.00907020779580474,-0.309911041539315,0.495859000823098,-0.35621718504927,0.219027394874951,-0.415052161809575,-0.138315901446888,0.769430984601259,0.82085859938188,0.899028918766516,0.827012553798422,0.832149188975914,0.883436202739076,-0.108591030321725,0.0849874264781588,0.596712200733831,0.000580692310833546,0.377874411278527
"报案人-罪犯",-0.404580637931245,0.196429243191192,0.917985539619553,1,-0.398095994427751,-0.420258024770018,-0.0676899576859612,0.865303148588299,-0.465599568086081,-0.508957240103579,0.788725485119803,0.270232322098849,0.509146865952393,-0.0486086061048555,-0.139672472526836,-0.326061202787767,0.744020554935754,-0.606011160315909,0.182314183024086,0.880832553094141,-0.394261461614742,-0.538530716855787,0.54718345386791,-0.408521118491363,-0.136016377851106,-0.108723487250354,-0.412851247275162,-0.593276691800146,0.583816015865312,0.903441892388686,0.849616964575465,0.0495607928278326,-0.567679000106685,0.0596471096025781,-0.420929302149513,-0.414870869090334,-0.316653335666044,-0.385802625971602,-0.140610926115228,0.227180190756267,0.711690712550788,0.223597007583501,-0.296642811179114,-0.315100657042552,-0.396070847856826,-0.510957573359799,-0.592908390576395,0.702973596811704,-0.30546306739206,-0.5271798939731,0.648149768301493,-0.46564406365575,-0.545082277080042,-0.231062373649123,-0.460358311988658,-0.530505807388071,-0.392480568163328,0.168378955120066,-0.189889043912888,-0.460510307776291,-0.381263606792151,-0.259775738368686,0.127348011026362,0.229647821944776,-0.257151981415971,-0.224708889105694,-0.116960216734581,-0.231888653961386,0.562039826941262,-0.493815232296203,-0.40030483988674,-0.361420761568737,-0.552766124060121,0.00557479601257127,0.657951932632028,-0.566887899655472,-0.585963307540117,-0.577605170706776,-0.568012251812571,-0.60591553478688,0.557608460800144,0.630684817664688,0.886093388299019,0.820615243486914,0.725313609905523,0.119995740834654,0.0474927003223774,-0.440746282900571,-0.593780817986359,-0.233224052957237,0.78705517653823,-0.318448676088639,-0.0730377200252916,0.894848899257524,-0.521568437569589,-0.0462704401542824,-0.288543947427095,-0.434211497142255,0.0626428485481351,-0.176664634536391,-0.171104827651981,-0.3648203672549,-0.150021458984095,-0.22659693583957,0.580888816533099,-0.522544941281713,0.351848661902946,-0.345464973599437,-0.150659526960627,0.89571197614785,0.874397622921275,0.937028663623275,0.873480148805642,0.874590932420868,0.913115401343294,-0.0534559411534301,0.0626538330237605,0.660737958744512,0.0111464872811724,0.475182667601689
"编辑-作者",-0.37919942721359,-0.59382872532566,-0.492512752834247,-0.398095994427751,1,-0.352140527336567,0.613917524072484,-0.350725028155507,-0.135425115241278,-0.419614809389996,-0.509711966417691,-0.444497188726137,-0.267186476539429,0.725050215181722,0.559175829002253,0.819962698599214,0.0385129948063804,-0.0329687121359152,0.456820936901539,-0.250558055508649,-0.4343961969397,-0.356101719449301,0.222198883564493,-0.32756613496594,-0.527735223856286,-0.619243288998704,0.291049796231769,-0.156201393948487,-0.471924228352586,-0.476471839351373,-0.496025486157777,0.627792458371556,-0.230292345585592,0.462555752121904,-0.412483617330983,-0.420762530352568,-0.409369807311712,0.575624374066697,0.671109148669116,0.247755573366828,-0.207453432261648,0.0097938455147989,-0.41055818359467,-0.496190777522624,-0.427182519536735,0.155945890918164,0.60520801612544,-0.252863431469445,-0.174815904540793,-0.283313615458096,-0.128157797741345,-0.383063057839748,-0.326458637425608,-0.192141476613844,0.494754085448849,-0.304336515412322,0.749657752334292,0.471423068239714,0.208519834298651,-0.400563395790101,0.616817232914853,-0.478612689864533,-0.398128748359615,0.0619775626086042,0.726103486874387,0.721727582463136,-0.0124789718032094,0.0807103341340774,-0.198076609731906,0.408261317588504,-0.235418949506958,-0.215749552550048,-0.215363885521522,0.683543465293969,-0.203066544730302,-0.321143311539963,-0.264680970405706,-0.247547752420008,-0.302246000076961,-0.202574108449296,-0.364569101057794,0.0557632529652682,-0.300958288388974,-0.16981904893958,-0.465622200388139,-0.391327041228714,-0.269989862906858,-0.303695760884531,-0.21563924427861,0.354957106431945,-0.0765541840009727,0.804792769106089,0.768185474832648,-0.241733931600837,-0.178795197700278,0.243217693074984,0.741701113835057,0.267231777412058,0.570678313285019,-0.0995127462239007,-0.432615619424218,0.388311436679898,-0.409254647408704,0.467940759910696,0.0791896483753623,-0.226759287222713,0.309449254249781,0.750596346631381,0.040191901777185,-0.228690149754733,-0.309679163535685,-0.398375027437749,-0.451022451959913,-0.356929200570206,-0.432546857117362,0.393770589400044,0.177525649128556,-0.206183817318978,0.387638430955933,0.204056341094554
"表兄弟姐妹之间",0.588350552741125,0.386238136725565,-0.303330773410987,-0.420258024770018,-0.352140527336567,1,-0.615783915411544,-0.357665808394994,0.59964838142943,0.861767780439401,-0.19091957817583,0.293490275604134,-0.0751587214711667,-0.677630349360189,-0.497077536727916,-0.380562944965076,-0.620206083210566,0.526431819827463,-0.705167985231448,-0.487535821858784,0.781277222621817,0.900293019110932,-0.587969059947258,0.957672790173684,0.865665946205766,0.780836427857991,0.118630207980806,0.741407034145429,-0.153591260581575,-0.405492393965068,-0.218254402920173,-0.642370132536747,0.760814528463798,-0.716607050983571,0.715605050143664,0.725045908335623,0.621496157288838,-0.484557939948778,-0.617913942770973,-0.590352982122736,-0.40673561440415,-0.429873910877597,0.615206104784642,0.709788221182749,0.685285906084878,0.234904832652008,-0.265013193116308,-0.395628464912256,0.392051586507843,0.90145896012052,-0.356836905285638,0.770778232314969,0.813025394481485,0.597433522739901,0.0533124112091829,0.906659585399955,-0.433762576540118,-0.429460224744963,-0.302747526431803,0.723912656719306,-0.314168309346434,0.754005935874131,0.370402801817845,-0.607227206944785,-0.476528816524321,-0.5187274233766,0.214028549055883,0.191543347050338,-0.473701460633381,0.195550568668702,0.790299721924094,0.691050073595036,0.64283810933638,-0.669082868155999,-0.343886016645906,0.852147570840095,0.869030745136416,0.921291248967713,0.891460329838922,0.875355471243808,-0.276279377480186,-0.348578907151696,-0.491690669563018,-0.504294747369747,-0.23518796451307,-0.0110795076489942,0.459145623588382,0.74679643637937,0.80637476974853,0.0605020168747026,-0.503126371867914,-0.168571586625712,-0.702160788110351,-0.472332633273032,0.35763204180742,-0.472739135472708,-0.556412333783255,-0.195860172876342,-0.627487310683472,0.305301254033476,0.623299844184346,0.033906369360192,0.788009645052144,-0.268428085038975,-0.619930453493127,0.936047431767993,-0.503024887350402,-0.436899925596477,0.280958924602357,-0.580235145596155,-0.595327669463737,-0.355561762450581,-0.385985146075633,-0.533108665460957,-0.425645421173036,-0.106859507701824,-0.393507063373582,-0.579022380442853,-0.0447203328531181,-0.24546660568141
"厨师-顾客",-0.455340270112113,-0.393856756105201,-0.159138048416515,-0.0676899576859612,0.613917524072484,-0.615783915411544,1,-0.11773533157883,-0.230037649556646,-0.528635918726093,-0.244158933019205,-0.445440618825896,0.0244638959720692,0.888346285118731,0.343700808705482,0.660872594694705,0.267191788956472,-0.44027352266805,0.906715083927352,-0.0613272056111011,-0.679080498429414,-0.518556928666436,0.336208051983608,-0.614545381406861,-0.719956766498026,-0.763253814672768,0.0345726110949919,-0.383628329569014,-0.0726600155468864,-0.126561887503018,-0.146577684838978,0.832320841930435,-0.470710265054579,0.916988910452818,-0.638767534288048,-0.704118822830232,-0.705179738949535,0.568335512674065,0.675943200970474,0.282848311189859,-0.00277206924284291,-0.00312331519250017,-0.639978317951885,-0.668281089315426,-0.600617012688334,-0.136344634100647,0.504437247943628,0.0366354686930992,-0.540219345185577,-0.534545549173048,0.215004664295839,-0.617786810495183,-0.496428800609824,-0.365067522110727,0.0794209778217831,-0.553837216929712,0.545332124329225,0.715940914282107,0.608987205791398,-0.549728479386982,0.64594445360735,-0.70444336753779,-0.201354208619812,0.320620041353864,0.523519426362225,0.504245374619575,0.123412179145604,-0.335711101600303,0.215253367956685,0.101958701787028,-0.375339606419738,-0.293171042871783,-0.33668562138438,0.868412570943772,0.179790392165265,-0.539404461191957,-0.512328704353225,-0.496227768848346,-0.52365345590767,-0.515650763443174,0.186296621793468,-0.0135409873540136,-0.0449803865559958,0.141968054002671,-0.249177725698326,-0.24791311785736,-0.342915453737345,-0.624032049398096,-0.460924118392923,0.0930180743996053,-0.0294238971716309,0.29001119567804,0.864877519650569,-0.0567251571720931,-0.0932847215691518,0.371858461773641,0.673970330912626,0.498869269890188,0.38365813018836,-0.442631638242826,-0.635362303165666,0.287395191149353,-0.551101755202421,0.0551544042779776,0.335108067215248,-0.575194378842479,0.344158186853548,0.750710551466816,-0.0435082996592812,-0.0267070199827545,0.0630191953640179,-0.143234643937304,-0.0338974389608959,0.0655526875405536,-0.141449137173313,0.103526522020942,0.142038294408288,0.228325782951907,0.318674995914356,0.103180929788125
"敌人之间",-0.180941918513001,0.301092311067256,0.786106338893905,0.865303148588299,-0.350725028155507,-0.357665808394994,-0.11773533157883,1,-0.567462628566268,-0.440416972869806,0.917968419409428,0.348582485483003,0.650044955537996,-0.143114615223547,-0.260612089864436,-0.247058010996129,0.792314828038899,-0.591706143291756,0.0351512078962756,0.919304269722102,-0.365151759767878,-0.47789209537321,0.567327162761777,-0.27121338926673,-0.0562603286078334,-0.0569359937713139,-0.300923311475288,-0.540361475482098,0.693690338281878,0.927896675565959,0.824279543278408,0.0199478752940609,-0.560828993056743,-0.0361991078759168,-0.466384702442025,-0.373710777774623,-0.323557305061911,-0.367656755702146,-0.235429309327683,0.390372712863988,0.575135372214717,0.40772392900394,-0.271718485232752,-0.324239566052222,-0.434964708284015,-0.695007409660275,-0.655964738588341,0.893124820791464,-0.169926342501051,-0.400200724089713,0.661325326205674,-0.496530069826826,-0.455367856588384,-0.15970878284353,-0.649105795577863,-0.489420859190946,-0.42887952545059,0.137928123977847,-0.287756950219882,-0.506040625267714,-0.581926155419269,-0.241042043116839,-0.0456585065972016,0.418445602284619,-0.340446843252244,-0.294468534149539,-0.244058196080562,-0.39700989187981,0.30102570537603,-0.623247788716398,-0.18366161856573,-0.23256679949759,-0.388353424159381,-0.0145560637539741,0.740655600630294,-0.466531982140617,-0.486505224082876,-0.471277635694462,-0.484428905593329,-0.497819478391218,0.592927479233339,0.558770185015291,0.734938667012897,0.78469655016358,0.867416635256369,0.350155364004209,0.208697919533614,-0.441678721328738,-0.597704690814217,-0.436022776447504,0.848964429784849,-0.252098037370453,-0.0841760323321879,0.929401928594569,-0.471801299331663,0.0688134939596159,-0.317710849099862,-0.498108492100795,-0.0559176665342402,-0.13256651315382,-0.226491461820859,-0.55060646342253,-0.0429268345035647,-0.296267321099281,0.656266436730659,-0.402327107166373,0.0556255042430669,-0.44928635631823,-0.440654895026615,0.720708225946576,0.854694385208095,0.93475523042694,0.870516338333267,0.886520988742492,0.899626226453134,-0.324394767224706,0.288788692340216,0.802046391998704,0.0356149640611129,0.430909863215623
"恩人-受助者",0.366291894091925,0.238172959684586,-0.309519634075002,-0.465599568086081,-0.135425115241278,0.59964838142943,-0.230037649556646,-0.567462628566268,1,0.579649253238322,-0.435171274741281,0.14463061319565,-0.284300707821467,-0.283885152535779,-0.218876129672978,-0.162751386286162,-0.606665116986364,0.547885966288611,-0.352993376037977,-0.520970195767261,0.622891220857601,0.630998222332297,-0.674748557849926,0.538032572786922,0.437932952236026,0.497228895837237,-0.255040351379375,0.439519281755703,-0.338708654570962,-0.436948603399153,-0.366260056308872,-0.209788540018817,0.527283059384219,-0.353523598526365,0.661557657638721,0.670231667860161,0.564759147673545,-0.0367803221478253,-0.165775724739241,-0.31000054832278,-0.463525215144673,-0.337435659921915,0.668373008213982,0.66870400161838,0.702716575387928,0.405246146302776,0.145853851691883,-0.556780521415502,0.00805777775735034,0.576484311287834,-0.384981578621555,0.674465520502473,0.552021681843655,0.12578042098757,0.150473119780132,0.717577440812877,-0.257656332782607,-0.242443841846958,0.039700181226563,0.712761633859113,0.113392031879797,0.59876793913328,0.387261586014925,-0.348854288307275,-0.16216568713807,-0.248167986565724,0.737762867258211,0.200787742369716,-0.311418410593449,0.0569423011806529,0.403750517375574,0.312577720998054,0.432178523271348,-0.310319914657808,-0.445505052737868,0.553681906191168,0.585542035096503,0.629196806824552,0.587552191419562,0.625353179576466,-0.224876037879902,-0.471282597124866,-0.505440794846534,-0.544683339585276,-0.372892427158705,-0.0283322019744836,0.250111357240411,0.710109492897882,0.58744254465184,0.191958110397891,-0.665385653961785,-0.136710394024356,-0.373878786426633,-0.574809950509691,0.52708082575198,-0.118956731033042,-0.109267021705272,0.289501392294221,-0.373972328611143,0.204163036509137,0.595106169435228,0.130208205296074,0.504669540497695,-0.0219295615194502,-0.374195370433649,0.597493615703026,-0.457176802146858,-0.100226838002642,0.265033876679117,-0.5357592166566,-0.454712656383807,-0.40979655996461,-0.48996651220842,-0.419227691870486,-0.428773616169269,-0.137086586901738,-0.267495909134465,-0.522662275491599,-0.0540324006903968,-0.424653996515004
"青梅竹马之间",0.773337793923983,0.40114520566214,-0.349750365145228,-0.508957240103579,-0.419614809389996,0.861767780439401,-0.528635918726093,-0.440416972869806,0.579649253238322,1,-0.212197809818598,0.0877093832974619,-0.258422569531901,-0.658927044669849,-0.5220296648949,-0.356372700055968,-0.597514331922124,0.488879291875897,-0.599648562737394,-0.602615281757817,0.733753734275814,0.95811883351649,-0.613887538047971,0.846017056376812,0.790092185275878,0.739253052018704,0.167067609390653,0.785303707056611,-0.143498763649932,-0.416636088449741,-0.359853552601779,-0.610266043893955,0.896519200342641,-0.576384642719399,0.775548472135627,0.691392480629584,0.611690703419076,-0.341733954530098,-0.562091296015693,-0.532569042095421,-0.477148828734217,-0.389085141183491,0.562026190531642,0.633964238202307,0.669718908671981,0.270425279835269,-0.149772836253278,-0.446916231703203,0.337504995498516,0.898329377962962,-0.485961205246288,0.75665497025421,0.949799459240292,0.464011206467789,-0.0661861959364076,0.914348892118866,-0.391510058858862,-0.555179272262051,-0.157669080954358,0.76908077422216,-0.214456182185906,0.660544680284488,0.295812297393421,-0.429030157884171,-0.468806720385767,-0.519436436699953,0.174232962951942,0.0771888042882632,-0.50922256741512,0.192371000762401,0.635355318345217,0.544770498704308,0.789137101281877,-0.572392899548074,-0.480669819581436,0.932936014474271,0.887396169966307,0.900076399581798,0.925161750046192,0.891190266236961,-0.353517348065294,-0.57283932536357,-0.568086939008472,-0.49443991649043,-0.257026161376327,0.187805683243443,0.232232417698977,0.647542110969098,0.870432448731548,-0.0798470762752793,-0.555159417668727,-0.235850865783379,-0.636420743824611,-0.546481780073928,0.536036046132755,-0.438293728037074,-0.479589419985553,-0.0994624533299608,-0.659718408617764,0.188519704283877,0.50778815965561,-0.010106098801315,0.688693192442519,-0.293905737133046,-0.600263463829783,0.869064067162858,-0.537640695738823,-0.355726572145956,0.135236821574915,-0.61114210836836,-0.572806674385759,-0.462372002686613,-0.489890522751584,-0.513548710991547,-0.445075311740186,-0.190424200275593,-0.22243880593604,-0.473687358834997,-0.285957766552526,-0.511399545424829
