,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
助教-学生,92.46428571428572,32.833333333333336,70.71428571428571,30.2,55.294117647058826,53.526315789473685,83.02941176470588,51.583333333333336,51.11764705882353,46.71428571428572,53.03846153846154,29.26923076923077,45.1,86.85714285714286,40.888888888888886,50.869565217391305,75.34615384615384,60.42857142857143,6.967741935483871,30.79310344827586,73.29166666666667,18.307692307692307,80.0,77.82142857142857,83.09375,85.38235294117646,67.28125,56.333333333333336,75.625,80.51515151515152,80.67857142857143,77.04,57.708333333333336
学长学姐-学弟学妹,84.11111111111111,52.27586206896552,58.0625,67.65714285714286,27.03846153846154,62.81578947368421,85.9375,67.4,60.833333333333336,40.77272727272727,41.08571428571429,27.823529411764707,55.526315789473685,77.03846153846153,13.483870967741936,14.04,38.85714285714285,49.54285714285714,16.59090909090909,18.58333333333333,64.65517241379311,11.6875,56.84375,49.25,74.62962962962963,39.5925925925926,57.51428571428571,62.74074074074074,39.72413793103448,78.5625,75.80952380952381,74.0,41.13793103448276
学生会主席-学生会成员,78.7741935483871,23.68,52.708333333333336,46.78787878787879,75.0,49.833333333333336,82.63888888888889,53.83870967741935,54.5,44.333333333333336,60.96296296296296,33.793103448275865,41.333333333333336,81.96,27.73333333333333,21.61290322580645,46.10714285714285,42.93333333333333,14.27777777777778,21.444444444444443,84.78947368421052,26.35,58.9,56.95652173913044,74.96,67.91666666666667,74.19047619047619,51.72222222222222,76.0,76.65,77.35714285714286,77.45454545454545,35.291666666666664
社团社长-社团社员,81.83018867924528,32.625,69.74358974358974,42.54716981132076,70.42,47.47727272727273,88.17021276595744,60.16666666666666,66.68571428571428,56.457142857142856,40.766666666666666,29.066666666666663,46.94736842105263,83.57692307692308,34.03846153846154,35.93103448275862,54.20588235294117,49.62068965517241,11.333333333333334,29.64,68.03333333333333,32.68181818181818,60.61764705882353,58.41379310344828,84.72727272727273,62.44117647058823,73.79310344827586,55.51851851851852,74.57142857142857,77.78125,78.5625,68.5945945945946,28.433333333333334
老师-家长,84.61904761904762,59.42307692307692,55.42857142857143,26.0,67.82758620689656,53.68181818181818,81.45833333333333,45.2962962962963,50.55555555555556,45.4,48.55555555555556,17.0,49.51724137931034,84.38709677419355,31.70833333333333,30.33333333333333,64.6774193548387,46.96969696969697,13.68,27.032258064516128,71.125,19.12,81.2,74.3913043478261,80.54166666666667,81.2,79.0,57.43333333333333,63.24,63.310344827586206,87.92857142857143,82.6923076923077,26.655172413793103
考官-考生,64.5925925925926,34.0,32.95,13.714285714285714,90.82142857142856,21.25,82.7,38.2,26.78125,56.42857142857143,47.77777777777778,26.741935483870968,14.157894736842104,29.76923076923077,20.0,26.394736842105264,38.65384615384615,22.925925925925927,5.16,24.23333333333333,23.666666666666668,21.51851851851852,78.75,58.48,28.73913043478261,79.3913043478261,17.53846153846154,15.64,74.84615384615384,73.09375,77.75862068965517,55.310344827586206,69.05882352941177
家长-班主任,83.85714285714286,60.76470588235294,40.10526315789474,43.16666666666666,74.83333333333333,39.80645161290322,83.375,50.43333333333333,48.935483870967744,49.708333333333336,50.74193548387097,35.611111111111114,40.73333333333333,83.0,34.14705882352941,38.65625,63.1875,44.80645161290322,7.571428571428571,28.416666666666668,57.333333333333336,16.285714285714285,73.13793103448276,74.95454545454545,81.72727272727273,69.0,73.81818181818181,45.55555555555556,61.407407407407405,55.78947368421053,81.5,77.21212121212122,27.0
家教-学生,83.92592592592592,40.41935483870968,71.65,31.92,76.25,56.06060606060606,78.125,29.06451612903226,63.892857142857146,70.3157894736842,70.89285714285714,31.945945945945947,55.2,91.34375,80.43589743589743,65.97222222222223,90.27777777777776,59.67741935483871,5.333333333333333,19.205882352941178,70.36842105263158,19.95,72.1,71.41666666666667,75.16,86.18181818181819,67.73913043478261,47.63333333333333,78.59375,83.3076923076923,77.6875,82.76,71.03225806451613
辅导员-大学生,84.84615384615384,29.035714285714285,68.72413793103448,27.20833333333333,67.85185185185185,57.689655172413794,87.75,61.92307692307692,57.0,54.516129032258064,57.4,31.785714285714285,40.17857142857143,83.06666666666666,45.90909090909091,37.11111111111112,69.3529411764706,43.84615384615385,10.064516129032258,25.03448275862069,57.75,19.655172413793103,69.2,67.48387096774194,85.34615384615384,83.76923076923077,66.61538461538461,62.354838709677416,62.55172413793103,78.74074074074075,82.92592592592592,80.25,56.53125
班主任-学生,91.94736842105264,26.90322580645161,74.12,32.80769230769231,81.83333333333333,63.851851851851855,97.29166666666669,61.36842105263158,37.94117647058823,37.2,50.82758620689656,38.74074074074074,71.375,90.13636363636364,32.370370370370374,34.857142857142854,72.95454545454545,68.6,4.25,26.205882352941178,59.10526315789474,23.3,84.27272727272727,77.88461538461539,79.95454545454545,80.0,70.45161290322581,63.18181818181818,87.62962962962963,87.4,84.55555555555556,81.96296296296296,80.82758620689656
班委-班级成员,88.41176470588235,57.05,70.05555555555556,41.285714285714285,58.19047619047619,52.73684210526316,82.05,72.08695652173913,60.22727272727273,31.43478260869565,45.96296296296296,32.90909090909091,53.578947368421055,82.44,13.0,23.074074074074076,69.5925925925926,62.0,4.8,24.23076923076923,72.74074074074075,20.071428571428573,63.57142857142857,61.8125,85.0,59.34375,69.54838709677419,51.03846153846154,81.54545454545455,80.10344827586206,80.39285714285714,70.6774193548387,10.46875
债主-欠债人,28.41935483870968,29.857142857142858,47.94736842105263,29.82857142857143,56.375,19.03846153846154,48.583333333333336,16.413793103448278,47.14705882352941,80.46666666666667,82.06060606060606,45.3,14.558823529411764,58.41666666666666,96.58823529411764,88.10344827586206,44.42307692307692,21.60606060606061,6.428571428571429,82.25925925925925,56.35294117647059,72.95652173913044,44.67857142857143,68.35714285714286,21.161290322580644,29.928571428571427,55.07407407407408,24.84,37.56,49.11111111111112,28.09375,33.34615384615385,37.77777777777778
原配-第三者,10.3,39.48148148148148,38.25,69.82352941176471,11.708333333333334,20.473684210526315,17.0,24.214285714285715,18.153846153846157,64.5,32.30769230769231,67.33333333333333,23.64516129032258,36.851851851851855,48.92307692307692,36.41666666666666,19.875,16.73076923076923,48.34782608695652,90.35714285714286,33.523809523809526,62.30434782608695,18.681818181818183,22.703703703703702,9.61111111111111,11.590909090909092,24.214285714285715,37.91666666666666,28.92,37.333333333333336,18.25,24.666666666666668,23.46153846153846
义父义母-义子义女,91.28571428571428,23.61764705882353,82.96,85.23529411764706,22.76923076923077,86.47222222222223,64.86666666666666,82.46875,31.066666666666663,12.782608695652174,38.58974358974359,78.90322580645162,81.72222222222223,82.91176470588235,22.487179487179485,20.05555555555556,29.36,76.94285714285714,24.95,24.52380952380953,59.9,16.9,60.25,79.22857142857143,76.6896551724138,19.75862068965517,81.03225806451613,87.31818181818181,59.92,72.70833333333333,78.0,77.14285714285714,90.58620689655172
