"","geo","model","value"
"2","modern","Activeness.human",0.157752941002083
"3","ancient","Activeness.human",0.124251654787133
"5","modern","Exchange.human",0.204969656462536
"6","ancient","Exchange.human",0.129880473866227
"8","modern","Formality.human",0.308839135855895
"9","ancient","Formality.human",0.137249244521117
"11","modern","Equality.human",0.190408113063309
"12","ancient","Equality.human",0.170190173590054
"14","modern","Valence.human",0.21035662871206
"15","ancient","Valence.human",0.15843544091781
