,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,cl_k3
Parent and Child,1.113284316393864,-1.2360076739767278,1.6067565551857703,1.656367070629072,1.536376506498556,-0.1784582927037449,0.8729399153062177,1.7715639295232457,1.017358118130692,-1.395769707269626,-0.2702111631350404,1.7333129060571726,1.9752081425356285,1.123866412523787,1.0340626919457356,-0.8052462825298106,-0.230427287818517,1.8916985179800812,1.4314038067507118,-0.2606321283653456,0.0501250427990726,-0.7881912450471354,0.2699517259478668,-0.7250152469760436,1.0165593759004483,1.0966150769333625,1.0228375228333475,1.468456395505519,0.3582602122354618,1.343827149230074,0.7459983745162153,1.4179508505878364,1.616679593830063,1
Parent and Teenager,0.2644402416488351,-1.3373567425514494,1.334304972721659,1.5701393881024814,1.4919729290729355,-0.0910140300267207,0.4240401810923936,1.660842396687469,1.260299533273082,-1.1204743624790088,-0.168446265230248,1.5705480087171126,1.6606966047011686,0.9936547508728248,0.5251694716550445,-0.7903356365573785,-0.2928081181598612,1.514010709807366,0.8448644018475572,0.862257380974469,0.8738843868023696,-0.2720942673298031,0.4260565802067848,-1.0291049099794485,0.3444451314949875,1.0894422134131077,0.7183845277354134,1.2335738856008045,-0.050696758769582,1.0198590200870354,0.5814473478731681,0.7953210470238533,1.2200444720511685,1
Wife and Husband,0.920518928901965,2.059372646649817,1.940109079612448,1.6619301469211103,1.6459053308150853,-1.352052344421702,0.6768186722030911,1.7805413511045245,-1.2419970426935287,-1.5318352225109657,-0.2082673122364711,1.83652967022404,2.043451212065747,1.1645575567897126,0.9266296787732567,-0.5815865929433306,-0.6943847134822628,1.8297824838534067,-0.4600210158021581,-0.2053383267690669,0.1780379844144911,-0.8914106405906019,0.3219866773675063,-0.0546357626276276,0.8577631533211364,1.150411553335272,1.3537646914180583,1.089288915230766,0.8462202344573889,1.4070404427213985,0.7700790125615392,1.2780340407981774,-0.3496179247759495,1
Fiance and Fiancee,1.0185925470995976,1.7154000502750055,1.4561068566467912,1.444970171531624,1.7850365400820287,-0.8780123941199389,1.1867339042712215,1.5501208638516932,-0.8192789803457712,-1.417919907425193,-0.8940742328992002,1.804770665865004,2.0286157621678944,1.0180694374323802,0.9662102625736432,-0.5517653009984667,-0.7450691381346048,1.817399277028072,-0.4732016765864986,-0.5668747218216587,-0.0726713811517296,-0.8779472411718888,0.5895949989542228,-0.0961025348553647,0.7875973805535329,1.1145472357339992,1.2831668954533202,0.398063243225464,0.757922706626754,0.893432433104386,0.4409769592754448,0.9947025009741176,-0.3285203119153697,1
Between Siblings,0.179894019064669,0.8216855364797356,1.141986208629345,1.5367609303502527,1.5541379374688042,0.12529546185855,1.147509655650596,1.406482118551227,-0.5423257670834476,-1.3672908784981828,-0.2436637984642247,1.6618551462493414,1.473769935988235,0.5704668505071975,1.1188782286608503,-0.8350675744746745,-0.6865871096895949,1.325166805721008,1.662065370476672,0.8707641196815888,0.372465655669928,-0.3573624636483188,0.0841126137348689,-0.6282594451113234,0.8356055408682092,1.164757280375781,0.749271063469987,1.5254992907680922,0.5720331743517344,0.7353991993760747,0.4168963212301209,0.9282420163240293,-0.7293749562663809,1
Between divorced spouses,-1.5279396771354892,1.3284308793533424,-0.8164598723773867,-0.816420341181868,-0.7193252267229457,0.7512122894414603,-0.016143053427958,-1.014429234533714,0.0212983160468958,0.91101542321727,0.8890237608238958,0.8996390416324768,-0.0424130435722245,-0.0154856269221329,-0.9732383436453242,0.019809461278093,-1.0452768841523228,-0.6592420880389144,1.1150679479265386,2.061707538678362,1.631129001165649,0.8453678844233774,-0.1463278854092476,0.3876764744682344,-1.601731828953791,0.572996039954777,-1.426023524693513,-1.2729580415252175,-1.723702549244761,-1.947214943162015,-0.779108701687635,-1.4503437501001766,-0.5521550082375131,2
Between a person and their in-laws,-0.5505853440625273,-0.0505306900421086,-0.0055157504547956,0.1765887769469348,-0.1124763352394708,0.2955816575980183,0.5024886783336446,0.3980184275875371,0.6383695105085647,0.1104439033089233,-0.1020778535532098,0.5383803670484419,0.2928681241192275,0.0577584327565335,1.3280898858914687,-0.8648888664195384,-1.5638175363647444,-0.2722668747471979,0.8448644018475572,-0.2563787590117856,-0.988528043118128,-0.7881912450471354,0.0766790492463495,-0.4969479997234897,-0.9517751970012576,0.7989412408427965,-1.1524570653301518,-0.5817323695199156,-1.059147471361565,-1.563984351370859,-0.297495940781156,-0.9851203575495598,-0.0500318221557198,0
Between cousins,0.2407672993252682,1.1380174777887142,0.3086048975626507,1.1362194373235086,0.8880842760845026,-0.1554466446308436,0.7509089195976058,1.0084830951145187,0.0553101141668305,-1.212239477409215,-0.9781408876901156,0.7170247665680194,0.9248582897677166,0.5541903928008267,1.4581403755213125,-0.9145910196609784,-1.3259906206883705,0.4985877501299016,0.792141758710195,-0.7455162346711747,-0.8657316191673262,-0.9632154374904046,0.5301264830460632,0.2010759994434177,0.2041135859597815,0.8634970125250879,-0.6009117843556337,0.3443758123901006,-0.5433040192983848,-1.137294620304418,0.0235792331564968,-0.285536308601264,-0.0247146867230243,1
Employer and Employee,-0.2884920540516121,-1.1111128621977784,-0.1102226331272776,-1.079739285671672,-0.8175064701418169,-1.3842686517237637,1.0378270345077356,0.2838056752479305,-1.2549539181677898,0.5988030781673744,1.018810876992326,-0.9280916592300464,-0.4346623388714276,0.8284487051531666,0.0569877089876087,0.2658351198232209,0.9579275301840852,-0.3713325293498772,0.2484395013561469,0.3731199053150801,1.2397153998224677,-0.1751577915150692,1.3136241801360615,0.3102718329764583,-0.3394865062187007,-0.8013246105260041,0.0627074977129067,0.7611244942496077,0.5999166041929873,0.3387357827180122,0.1624442458845312,-0.214878319657486,0.8495703902193915,0
Interviewer and Job applicant,-0.6841683757455101,-1.1177670939728863,-0.992217854006196,-1.0917926176377546,-0.9329557714484292,-1.464042365043154,0.1879683143941853,-0.3710473545420423,0.2188906670293723,0.9141797375252082,1.3735131660662752,-1.4739495466509782,-0.5913246897927432,0.8374007568916697,-0.689389014105405,-0.3355609343982027,-0.2600581822306556,-0.90938286591068,-0.0777818530562819,-0.4784046392676126,0.4686561877647227,-0.5997036531851532,0.3591544998101056,0.3932053774319324,-1.172612734448766,-0.9132212814419758,-0.81094022735073,-1.5903849763393023,-1.2125063354884564,-0.239665852727608,-0.4154910672032435,-1.0124041354585434,0.702731004709758,0
Guard and Prisoner,-2.04705348380227,-1.4438244509531768,-1.3880739767628758,-1.3268325909763647,-0.9714388718839666,-1.0352586559514296,-0.4730329123607988,-0.7017157161191572,0.7873735784625634,-0.8889520322815356,0.8558395549853764,-0.8887898913357395,-0.7022938550286751,0.2107571351964137,0.0258886788587332,-1.0025638308983271,-1.4180023454418529,-1.0728411960051012,-0.2735146657037394,1.3977565825876614,-1.6362791794586091,2.3424978997842643,-0.8272423925576707,-0.0795158259642696,-1.593607371054384,-0.3150044638527422,-1.2557063419285817,0.2094861424162504,-1.3240400548534683,0.4003687438720536,-0.4540200880757616,-1.654622292393079,0.0444854834596765,2
Nurse and Patient,0.642080035858111,-0.0863611688311515,-0.0477190347972755,0.0050605912757597,-0.394192365350905,-0.7061920885089437,0.4712545544320351,0.6274414235535598,0.4820772001002944,-0.9917922472895248,0.2806466537843777,-0.1813580692382118,0.1560852760610332,0.3360858595354654,-0.9879397033426108,-0.6635951457917065,-0.0627788062761552,-0.044415869161035,-0.2300184851154154,-1.1381022260047535,-1.3942678939222366,-0.7132449882829663,0.5821614344657028,0.3019784785309107,0.3429679573314591,-0.392471389871492,0.3433337366727413,-0.0200276244049273,0.092438181082183,-0.0595079662773329,0.9715536842074156,0.9814104040440996,-0.2086858708672779,0
Therapist and Patient,0.9425009467738482,-0.1196323277066914,0.6537102353505252,0.0110872572588009,-0.1761214628828596,-0.2076063802627531,-0.2180752963267336,0.5107349429969307,0.5241870453916417,-0.7586877599380828,-0.3041327957699707,-0.085287081052128,-0.062589255433303,0.9716815329692244,-0.1109470537083195,-0.4066350135334619,0.3317799456328454,0.343797664813215,-0.0342856724679579,-0.8480224360919684,-1.0340650503332172,-0.565147594677123,-0.5417935161985068,-0.3614898771128821,0.9367919710699102,-0.4656345977780887,0.9045862145924108,0.873868099003871,0.3545424215899608,0.115908923161093,0.9137601528986388,1.182890610141209,0.0394220563731373,1
Salesperson and Customer,-0.119963250367174,0.8452312796839638,-0.8533209688284135,-0.8868859742143508,-0.560952467238234,-1.2047777967551347,1.3588847732172995,-0.4747864483701567,-0.3601197057266554,0.3177064904788708,1.4502055528930748,-1.1682691296952563,-0.6370178754781269,1.070154102092765,0.4612751006629912,3.518841049475467,0.5462140499312153,-0.7050599532926537,-0.2010210313898663,-0.4269388700895379,1.3297661107197218,-0.48616231808734,0.7962480917350758,0.7829930363726609,-1.0618246721841296,-0.5129754970117691,-0.3926482862596555,-1.5742787470886936,-0.9950155827266832,-0.7564345270191868,-0.8007812759284266,-0.718578834900259,-0.1681784541749653,0
Between Business Partners,0.4442418750111621,1.5106544571947602,0.3759164649949605,-0.5313126812149148,-0.5481247670930547,-1.1948060825902111,1.047269909175664,0.3032567553407019,-0.233790169852613,1.030731981200929,0.8079068132186268,-0.1595237537413745,-0.5554229010399417,1.1328184642622907,1.014837836956976,0.7906898580528271,0.6748745125102372,-0.3645217655959429,-0.1502754873701549,0.2374374229365193,2.055799967328839,0.1457198946309243,-0.5596340709709542,0.9488601252836092,1.0608746008063028,-0.8271469191989206,0.1844886957520801,0.7732041661875649,1.3304624660338151,0.3008078066232176,0.1142829697938833,0.6791900948984362,-0.720092006607726,0
Between opposing negotiators,-2.0177441266397587,0.3461638965508661,-0.9297142556761938,-1.0134459598582175,-0.7597818194885108,-1.1349757976006682,-1.1434770137837107,-0.565558155469757,-1.0865145370023996,1.0787240815379908,0.0793291383640282,-0.7272159566591435,-0.6109074836579078,0.3181817560584579,0.4612751006629912,1.1843309117250314,0.1302118875923776,-0.974085121573055,-0.0922805799190567,1.8609485051903345,1.4648421770656044,1.291006405182778,0.2075097842442993,1.0815537964123678,-2.0722118000376133,-0.7539837112923238,-0.6626848558247797,-0.7850735138088539,-1.24596645129796,-1.927460788945976,-0.6514813200474181,-2.0911627389368155,-0.4162863814153806,2
