"","Australia","Brazil","Chile","CHN","Egypt","France","Germany","HK(region)","India","Israel","Japan","Mexico","Portugal","Qatar","Russia","South Africa","Spain","UK","USA"
"Australia",0,0.334893048128342,0.113636363636364,0.128008021390374,0.255347593582888,0.370320855614973,0.153743315508021,0.134692513368984,0.189839572192513,0.102606951871658,0.149398395721925,0.149732620320856,0.272727272727273,0.220254010695187,0.322526737967914,0.110294117647059,0.123663101604278,0.110628342245989,0.0818850267379679
"Brazil",0.334893048128342,0,0.276737967914438,0.303475935828877,0.366978609625668,0.546791443850267,0.303810160427808,0.302807486631016,0.354946524064171,0.320521390374332,0.240975935828877,0.246657754010695,0.0578208556149733,0.366644385026738,0.16644385026738,0.261029411764706,0.239304812834225,0.276737967914438,0.2225935828877
"Chile",0.113636363636364,0.276737967914438,0,0.0952540106951871,0.246323529411765,0.360294117647059,0.162767379679144,0.0868983957219251,0.305147058823529,0.126336898395722,0.0752005347593583,0.0350935828877005,0.252339572192513,0.180147058823529,0.236631016042781,0.181483957219251,0.0678475935828877,0.127673796791444,0.123328877005348
"CHN",0.128008021390374,0.303475935828877,0.0952540106951871,0,0.204545454545455,0.426804812834225,0.158422459893048,0.035427807486631,0.279745989304813,0.15942513368984,0.0705213903743316,0.0842245989304813,0.259358288770054,0.234625668449198,0.252005347593583,0.216911764705882,0.0919117647058824,0.167780748663102,0.180147058823529
"Egypt",0.255347593582888,0.366978609625668,0.246323529411765,0.204545454545455,0,0.303810160427808,0.207553475935829,0.167112299465241,0.17379679144385,0.33355614973262,0.20855614973262,0.232954545454545,0.332553475935829,0.181149732620321,0.317847593582888,0.202540106951872,0.21524064171123,0.225267379679144,0.28442513368984
"France",0.370320855614973,0.546791443850267,0.360294117647059,0.426804812834225,0.303810160427808,0,0.391377005347594,0.398729946524064,0.331216577540107,0.436831550802139,0.386363636363636,0.412767379679144,0.525401069518717,0.375668449197861,0.517713903743315,0.38870320855615,0.390708556149733,0.294117647058823,0.418114973262032
"Germany",0.153743315508021,0.303810160427808,0.162767379679144,0.158422459893048,0.207553475935829,0.391377005347594,0,0.130347593582888,0.306818181818182,0.182152406417112,0.0962566844919787,0.150735294117647,0.283422459893048,0.252339572192513,0.276069518716578,0.138034759358289,0.0949197860962567,0.169451871657754,0.143716577540107
"HK(region)",0.134692513368984,0.302807486631016,0.0868983957219251,0.035427807486631,0.167112299465241,0.398729946524064,0.130347593582888,0,0.25701871657754,0.186831550802139,0.0471256684491979,0.0755347593582888,0.233622994652406,0.255681818181818,0.246657754010695,0.193516042780749,0.0828877005347594,0.157419786096257,0.174465240641711
"India",0.189839572192513,0.354946524064171,0.305147058823529,0.279745989304813,0.17379679144385,0.331216577540107,0.306818181818182,0.25701871657754,0,0.292780748663102,0.296457219251337,0.35394385026738,0.299131016042781,0.25668449197861,0.445855614973262,0.164438502673797,0.313502673796791,0.191844919786096,0.253676470588235
"Israel",0.102606951871658,0.320521390374332,0.126336898395722,0.15942513368984,0.33355614973262,0.436831550802139,0.182152406417112,0.186831550802139,0.292780748663102,0,0.192847593582888,0.166109625668449,0.310160427807487,0.241978609625668,0.294451871657754,0.192847593582888,0.167446524064171,0.136697860962567,0.121323529411765
"Japan",0.149398395721925,0.240975935828877,0.0752005347593583,0.0705213903743316,0.20855614973262,0.386363636363636,0.0962566844919787,0.0471256684491979,0.296457219251337,0.192847593582888,0,0.0564839572192514,0.203208556149733,0.229612299465241,0.257352941176471,0.178475935828877,0.045120320855615,0.142713903743315,0.130681818181818
"Mexico",0.149732620320856,0.246657754010695,0.0350935828877005,0.0842245989304813,0.232954545454545,0.412767379679144,0.150735294117647,0.0755347593582888,0.35394385026738,0.166109625668449,0.0564839572192514,0,0.234959893048128,0.225267379679144,0.185828877005348,0.180147058823529,0.0591577540106952,0.165775401069519,0.129344919786096
"Portugal",0.272727272727273,0.0578208556149733,0.252339572192513,0.259358288770054,0.332553475935829,0.525401069518717,0.283422459893048,0.233622994652406,0.299131016042781,0.310160427807487,0.203208556149733,0.234959893048128,0,0.397058823529412,0.150401069518717,0.228275401069519,0.227941176470588,0.280080213903743,0.245655080213904
"Qatar",0.220254010695187,0.366644385026738,0.180147058823529,0.234625668449198,0.181149732620321,0.375668449197861,0.252339572192513,0.255681818181818,0.25668449197861,0.241978609625668,0.229612299465241,0.225267379679144,0.397058823529412,0,0.373663101604278,0.234625668449198,0.176804812834225,0.181149732620321,0.221590909090909
"Russia",0.322526737967914,0.16644385026738,0.236631016042781,0.252005347593583,0.317847593582888,0.517713903743315,0.276069518716578,0.246657754010695,0.445855614973262,0.294451871657754,0.257352941176471,0.185828877005348,0.150401069518717,0.373663101604278,0,0.273395721925134,0.240975935828877,0.289104278074866,0.294117647058823
"South Africa",0.110294117647059,0.261029411764706,0.181483957219251,0.216911764705882,0.202540106951872,0.38870320855615,0.138034759358289,0.193516042780749,0.164438502673797,0.192847593582888,0.178475935828877,0.180147058823529,0.228275401069519,0.234625668449198,0.273395721925134,0,0.136029411764706,0.116310160427808,0.128342245989305
"Spain",0.123663101604278,0.239304812834225,0.0678475935828877,0.0919117647058824,0.21524064171123,0.390708556149733,0.0949197860962567,0.0828877005347594,0.313502673796791,0.167446524064171,0.045120320855615,0.0591577540106952,0.227941176470588,0.176804812834225,0.240975935828877,0.136029411764706,0,0.117312834224599,0.0892379679144385
"UK",0.110628342245989,0.276737967914438,0.127673796791444,0.167780748663102,0.225267379679144,0.294117647058823,0.169451871657754,0.157419786096257,0.191844919786096,0.136697860962567,0.142713903743315,0.165775401069519,0.280080213903743,0.181149732620321,0.289104278074866,0.116310160427808,0.117312834224599,0,0.079879679144385
"USA",0.0818850267379679,0.2225935828877,0.123328877005348,0.180147058823529,0.28442513368984,0.418114973262032,0.143716577540107,0.174465240641711,0.253676470588235,0.121323529411765,0.130681818181818,0.129344919786096,0.245655080213904,0.221590909090909,0.294117647058823,0.128342245989305,0.0892379679144385,0.079879679144385,0
