"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01259892391419","4.13079661839726","4.79098828956432","11.2591812170153","5.14004404663994","7.32268827718477","4.96898579074605","4.04239497515666","6.64041582516023","8.51673658555146","4.95280280127981","6.75665142917031","",
"Aruba","ABW","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1082577","703388","1269221","3656986","1702027","2236381","1265878","1255852","2004844","2562889","1655574","1788242","1171447",
"Aruba","ABW","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","156424.581005587","0","29713.2392925923","71831.445994457","55865.9217877095","55865.9217877095","0","0","0","0","","","","","","932986.795265326","1750298.46454458","153605.366917103","700088.484163462",
"Aruba","ABW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","","","","","480446.927374302","458100.558659218","1564245.81005587","3391061.45251397","4217877.09497207","4547486.03351955","6771959.27880357","10347511.9994435","9832402.23463687","11955307.2625698","13184357.5418994","14748603.3519553","10558659.2178771","9720670.39106145","8645172.62569832","10903194.972067","13810224.5810056","","","16533453.287263","16848539.3339724","10210598.3145219","12319999.116496",
"Africa Eastern and Southern","AFE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57984857751344","4.77044168591511","","","5.23544505052349","","6.51705526237608","6.44263014936285","6.16377018887807","4.28661168078416","6.91918614027457","4.41299003996808","",
"Africa Eastern and Southern","AFE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2996726465","3105385434","3261509702","3058025674","2600999166","2624922469","2217336335","2090623477","",
"Africa Eastern and Southern","AFE","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5408.82061484226","5683.46736142331","6063.52204909023","5977.06171605622","6621.65964478334","7093.49812220383","7916.75780936037","8451.62009053034","8859.21786835846","9934.49903742125","10738.4354916518","11746.9053796488","12849.5","13959.21","15149.54","15953.67","17617.02","19259.19","20033.38","","","",
"Africa Eastern and Southern","AFE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.594840933554435","0.62637871108228","0.627772081235503","","0.661803726143754","","","0.587086460228055","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","0","0","2799998.88112045","1399999.44056022","2799998.88112045","2799998.88112045","2799998.88112045","4199998.32168067","5599997.76224089","2799998.88112045","4199998.32168067","6985476.14225652","10251867.9728003","5773073.196048","7377986.34929872","8305088.20645571","10349999.991","11144831.9736102","10978241.3750546","12920745.019701","19478383.8006111","20176922.1496437","20664645.2906925","19119271.9700497","14761444.3364422","11357359.4320882","13285289.5684024","23549533.6038327","14783768.5050057","42056061.6448521","30598167.9917569","104445468.440819","62848125.6414902","76663057.5750853","79263830.671328","68604359.9001978","107522455.020004","91895364.4398549","88828272.9107401","64143929.8695016","78800884.320691","36980484.6642858","34239386.6243244","43985632.3073441","286890640.851366","160418469.910011","1459557939.88036","169172439.848618","294437192.078452","224715976.536424","182704294.336385","231492631.987218","217655329.893993","233043819.78459","255938294.409554","262142138.339504","228231052.601865","272194710.947834","314298586.044117","240732725.861329","188234749.547738","138594780.183615",
