,E1-Friendliness,E2-Gregariousness,E3-Assertiveness,E4-Activity Level,E5-Excitement-seeking,E6-Cheerfulness,A1-Trust,A2-Morality,A3-Altruism,A4-Cooperation,A5-Modesty,A6-Sympathy,C1-Self-efficacy,C2-Orderliness,C3-Dutifulness,C4-Achievement-striving,C5-Self-discipline,C6-Cautiousness,N1-Anxiety,N2-Anger,N3-Depression,N4-Self-consciousness,N5-Immoderation,N6-Vulnerability,O1-Imagination,O2-Artistic Interests,O3-Emotionality,O4-Adventurousness,O5-Intellect,O6-Liberalism,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Australia,34.88048077,31.07403846,33.98634615,30.39432692,33.64586538,37.75759615,33.78442308,36.71403846,39.35692308,34.06923077,31.09980769,35.43288462,38.37403846,31.76817308,38.94048077,36.83240385,30.58067308,31.26125,29.50557692,28.11490385,27.51471154,28.97144231,32.80567308,25.54730769,39.67490385,39.76201923,37.73442308,35.85048077,39.89673077,31.52480769,201.7386538,210.4573077,207.7570192,172.4596154,224.4433654
Brazil,36.2602118,31.83207262,34.41452345,30.98789713,30.69288956,35.82450832,34.75642965,38.0816944,39.01210287,34.10287443,28.23903177,34.54009077,39.83358548,35.08320726,41.05446293,39.28593041,35.49773071,36.7322239,26.7806354,24.1785174,22.62481089,26.11346445,25.903177,21.95612708,37.58245083,40.04387292,35.82450832,37.61270802,40.85173979,30.17549168,200.0121029,208.7322239,227.4871407,147.5567322,222.0907716
Chile,33.35802469,29.83950617,33.45679012,30.85185185,31.45679012,36.18518519,34.17283951,37.14814815,38.60493827,32.58024691,29.92592593,34.80246914,38.69135802,33.40740741,39.71604938,38.22222222,32.25925926,33.25925926,29.61728395,27.74074074,25.01234568,28.7037037,29.64197531,24.7654321,39.25925926,41,36.56790123,37.34567901,41.20987654,33.22222222,195.1481481,207.2345679,215.5555556,165.4814815,228.6049383
China,35.53661202,29.67431694,33.71256831,30.05027322,29.40218579,36.77923497,35.43825137,35.51584699,38.69617486,33.95081967,28.29180328,32.82076503,38.56830601,34.01530055,40.30382514,37.80218579,33.6557377,35.93442623,28.94863388,25.32021858,24.05355191,27.20655738,27.4863388,24.33879781,35.77377049,39.60874317,36.82404372,34.97595628,35.51584699,30.4568306,195.1551913,204.7136612,220.2797814,157.3540984,213.1551913
Egypt,36.35664336,30.92657343,35.41958042,30.12237762,32.87762238,37.12587413,33.66433566,36.81468531,40.98251748,33.52447552,28.71678322,35.45804196,38.77972028,35.78671329,40.76573427,39.46853147,33.26923077,33.18181818,31.39160839,29.6958042,28.21678322,29.54195804,30.82517483,26.26573427,38.95104895,39.63636364,39.51748252,36.98951049,38.08041958,28.22027972,202.8286713,209.1608392,221.2517483,175.9370629,221.3951049
France,34.16510539,29.53747073,33.95081967,31.43091335,30.94145199,35.83489461,32.59484778,36.15339578,38.39227166,33.26229508,29.92622951,34.88992974,38.46604215,32.40983607,39.47775176,37.9824356,31.68969555,33.86533958,28.73653396,27.38290398,26.55503513,28.45550351,29.03044496,24.84309133,39.11709602,40.3559719,37.40046838,39.2587822,41.61358314,34.7295082,195.8606557,205.2189696,213.8911007,165.0035129,232.4754098
Germany,33.48843188,29.78748929,34.46101114,30.88260497,30.9991431,35.86203942,32.05484147,35.25706941,37.74892888,32.3059126,28.45844045,34.78577549,38.8680377,31.38646101,38.89974293,37.73607541,30.37360754,33.53556127,28.7386461,26.98371894,26.52956298,27.7386461,29.56983719,24.75064267,39.66323907,39.50042845,37.73693231,38.09083119,41.76863753,34.76263925,195.4807198,200.6109683,210.7994859,164.311054,231.5227078
Hong Kong,34.17066667,30.22533333,32.32266667,29.25866667,30.48133333,35.98133333,33.784,34.744,37.712,33.44133333,29.50266667,33.36933333,36.78133333,33.22933333,38.32266667,36.46,31.27733333,33.90666667,30.93066667,28.12533333,26.948,30.19866667,29.796,27.168,36.444,37.844,36.81066667,34.25733333,35.47333333,31.36533333,192.44,202.5533333,209.9773333,173.1666667,212.1946667
India,35.63921155,30.76522351,34.61422034,30.22914467,33.07391763,37.62478001,36.77683914,38.20344949,40.468849,33.86448434,28.74868004,35.25835973,38.83210137,35.75888772,40.72228089,38.83245336,33.23407251,33.7092573,29.22140092,28.10770855,25.89581133,28.46392115,29.37346005,26.10559662,38.47764872,39.76205561,38.15487504,36.57022175,37.92643435,29.33790919,201.9464977,213.3206617,221.0890532,167.1678986,220.2291447
Israel,33.82912621,29.08349515,34.30873786,30.36504854,30.38834951,35.65631068,32.9631068,37.47184466,39.26213592,33.84660194,28.00776699,34.26019417,39.26990291,32.28737864,40.52038835,37.77669903,30.99417476,34.71650485,29.53009709,28.17281553,26.30679612,28.52427184,29.26796117,25.08737864,38.45436893,39.05048544,37.68932039,35.62912621,41.00970874,31.81165049,193.631068,205.8116505,215.5650485,166.8893204,223.6446602
