Region,Year,Mean,Std Dev.
Australia,2017-2022,5.31,2.02
Brazil,2017-2022,5.41,2.77
Chile,2017-2022,5.1,1.82
France,2017-2022,5.14,2.08
Germany,2017-2022,4.85,1.74
Hong Kong SAR,2017-2022,5.6,1.53
Japan,2017-2022,5.75,2
Mexico,2017-2022,5.65,2.73
Portugal,2017-2022,5.08,1.86
Russia,2017-2022,5.96,2.09
Spain,2017-2022,4.83,2.33
United Kingdom,2017-2022,5.2,1.97
United States,2017-2022,5.32,2.5
India,2010-2014,5.7,2.3
South Africa,2010-2014,6.25,2.07
Egypt,2010-2014,6.08,2.27
China,"Van Bavel et al., 2022",5.01,1.99
Israel,"Van Bavel et al., 2022",5.63,2.84
Qatar,,,
