Nations,Latitude,Longitude
Australia,-35.1656592,145.8425661
Brazil,-16.91975409,-47.56386333
Chile,-33.46575613,-70.67091304
Egypt,30.19741624,31.16739911
Spain,39.75182722,-3.164313043
Israel,32.07971466,34.87621873
Japan,36.09028058,138.716857
Mexico,21.32557737,-99.18995525
Portugal,39.93454794,-9.128322598
Russia,54.59411213,49.91089574
South Africa,-25.82101223,26.67103853
France,47.51296829,2.924476354
Germany,50.80125594,9.989001434
United Kingdom,52.43038271,-1.28794584
United States,37.37819028,-90.75767219
China,31.66382888,115.1236042
Hong Kong,22.33626234,114.1407528
Qatar,25.29715769,51.52399239
India,13.62605389,77.98669964
