,Australia,Brazil,Chile,China,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,8.81575030401846,3.4828975335123378,6.259481218406637,6.124613205186103,3.1690128737575924,2.5344405899861755,3.560286878722749,6.02859046158268,4.070591921628848,2.171561851365229,3.8559508233244495,2.1132864414993944,2.8157685533347836,2.2070959277252236,2.6682621461061187,4.036956298026206,3.127510713602165,1.9118640564036886
Brazil,8.81575030401846,0.0,5.43920907624331,3.087997966121301,4.392476834249864,5.993526724417352,7.62354080353389,7.3482795897367525,4.00474423157375,5.919674839957167,9.208449892926689,6.139727777782841,7.911294112720928,8.558970917172315,8.244789912286912,7.200735466154021,4.990350312630156,11.713836225020266,7.451158750182613
Chile,3.4828975335123378,5.43920907624331,0.0,3.164373107608684,3.05778826055797,1.3608583219910706,2.9411154707103155,3.1796481110486408,2.843749521882553,2.4816595714510394,4.237308675455623,1.9702894746675517,2.9978283601324147,3.913195958798307,3.2723103408891543,2.122700682230174,1.2912925278211251,6.428050336388084,2.1507031913520676
China,6.259481218406637,3.087997966121301,3.164373107608684,0.0,3.7281236222107794,3.3836818138734315,5.050087655807191,4.393868863373025,3.0782168525531044,3.4774633437967784,6.423913175003554,4.571071281602963,5.017245864645291,5.556812985209141,5.6607855780554415,5.226330381482827,2.335110001828976,8.914598731513431,5.19971340266757
Egypt,6.124613205186103,4.392476834249864,3.05778826055797,3.7281236222107794,0.0,4.2814958396065315,5.862006127508183,5.481481944768372,0.8303190517743645,4.789494404699952,6.809138847757261,3.1529412411764777,5.649402930399152,6.422839954885819,6.013455388167566,3.793116106088039,3.568068435839638,9.004821631746067,4.337654985552936
France,3.1690128737575924,5.9935267244174275,1.3608583219910706,3.3836818138734315,4.281495839606426,0.0,1.8559433909026801,2.7080623732608875,4.003872016855319,1.7317153417484406,3.7739071258265726,2.978719033162375,2.406400504751306,3.30490230581634,2.68504864595997,2.869537638467891,1.3390053708920797,5.854336729404071,2.5137319345547677
Germany,2.5344405899861755,7.62354080353389,2.9411154707103155,5.050087655807191,5.862006127508183,1.8559433909026801,0.0,3.2659360830981363,5.644069997302959,2.3197028888640685,3.55211358054856,3.9819528385837826,2.475536475610919,3.2074182325887413,1.9885572952679271,3.430244673190461,2.970671774641518,4.723297190592604,2.863251178543767
Hong Kong,3.560286878722749,7.3482795897367525,3.1796481110486408,4.393868863373025,5.481481944768372,2.7080623732608875,3.2659360830981363,0.0,5.085152602819887,3.7920905532979643,2.9350344917669684,4.333208417204992,1.9621646928105334,1.677742689596952,2.7230513010301927,4.007303968548791,3.068274942682259,5.196725123120946,3.6598126637487707
India,6.02859046158268,4.00474423157375,2.843749521882553,3.0782168525531044,0.8303190517743645,4.003872016855319,5.644069997302959,5.085152602819887,0.0,4.407960167856239,6.648977309017952,3.3129135248990917,5.364754713580473,6.076050383153544,5.8524458235972,3.9140550635008,3.0938432656156114,8.898055812487929,4.332816907527578
Israel,4.070591921628848,5.919674839957243,2.4816595714510394,3.4774633437967784,4.789494404699952,1.7317153417484406,2.3197028888640685,3.7920905532979643,4.407960167856239,0.0,4.968544625482231,4.20538322809697,3.2601395039647927,4.098049168679926,3.8834570910426454,3.9241214506013016,1.7290006643956641,6.561098416371917,3.4134475683386145
Japan,2.171561851365229,9.208449892926739,4.237308675455623,6.423913175003554,6.809138847757261,3.7739071258265726,3.55211358054856,2.9350344917669684,6.648977309017952,4.968544625482231,0.0,4.817952574364784,1.9665671519570807,2.042743360235787,2.828310144694127,3.980692812754571,4.622111266162968,3.0456243481630105,3.3408185929085232
Mexico,3.8559508233244495,6.139727777782841,1.9702894746675517,4.571071281602963,3.1529412411764777,2.978719033162375,3.9819528385837826,4.333208417204992,3.3129135248990917,4.20538322809697,4.817952574364784,0.0,4.232932055691602,5.055797683950315,3.588954377316856,1.6688084588242593,3.1664615007309584,6.790507808599726,2.51464814887715
Portugal,2.1132864414993944,7.911294112720928,2.9978283601324147,5.017245864645291,5.649402930399152,2.406400504751306,2.475536475610919,1.9621646928105334,5.364754713580473,3.2601395039647927,1.9665671519570807,4.232932055691602,0.0,1.204459774230658,2.5623170182695225,3.3277440782365773,3.057229821039151,3.9934194752599628,2.5181542414049383
Qatar,2.8157685533347836,8.558970917172315,3.913195958798307,5.556812985209141,6.422839954885819,3.30490230581634,3.2074182325887413,1.677742689596952,6.076050383153544,4.098049168679926,2.042743360235787,5.055797683950315,1.204459774230658,0.0,2.8633039059362386,4.219322359856796,3.8464527624485307,3.828463313667292,3.5285835700665413
Russia,2.2070959277252236,8.244789912286967,3.2723103408891543,5.6607855780554415,6.013455388167566,2.68504864595997,1.9885572952679271,2.7230513010301927,5.8524458235972,3.8834570910426454,2.828310144694127,3.588954377316856,2.5623170182695225,2.8633039059362386,0.0,3.1310473974666873,3.718069967632126,4.128369809486761,2.915853569394431
South Africa,2.6682621461061187,7.200735466154084,2.122700682230174,5.226330381482827,3.7931161060879193,2.869537638467891,3.430244673190461,4.007303968548791,3.9140550635008,3.9241214506013016,3.980692812754571,1.6688084588242593,3.3277440782365773,4.219322359856796,3.1310473974666873,0.0,3.2673870166299097,5.550108340356328,1.090709806591771
Spain,4.036956298026206,4.990350312630156,1.2912925278211251,2.335110001828976,3.568068435839638,1.3390053708920797,2.970671774641518,3.068274942682259,3.0938432656156114,1.7290006643956641,4.622111266162968,3.1664615007309584,3.057229821039151,3.8464527624485307,3.718069967632126,3.2673870166299097,0.0,6.799428591953196,3.0270100480302564
United Kingdom,3.127510713602165,11.713836225020266,6.428050336388084,8.914598731513431,9.004821631746067,5.854336729404071,4.723297190592604,5.196725123120946,8.898055812487929,6.561098416371917,3.0456243481630105,6.790507808599726,3.9934194752599628,3.828463313667292,4.128369809486761,5.550108340356328,6.799428591953196,0.0,4.862039777545216
United States,1.9118640564036886,7.451158750182613,2.1507031913520676,5.19971340266757,4.337654985552936,2.5137319345547677,2.863251178543767,3.6598126637487707,4.332816907527578,3.4134475683386145,3.3408185929085232,2.51464814887715,2.5181542414049383,3.5285835700665413,2.915853569394431,1.090709806591771,3.0270100480302564,4.862039777545216,0.0
