,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Russia,Israel,Japan,China,Hong Kong,Qatar
United States,0.0,4.0,4.0,19.0,1.0,1.0,6.0,34.0,7.0,20.0,13.0,31.0,7.0,26.0,15.0,33.0,4.0,5.0,7.0
United Kingdom,4.0,0.0,0.0,23.0,5.0,3.0,10.0,38.0,3.0,24.0,17.0,35.0,11.0,30.0,19.0,29.0,0.0,9.0,11.0
Germany,4.0,0.0,0.0,23.0,5.0,3.0,10.0,38.0,3.0,24.0,17.0,35.0,11.0,30.0,19.0,29.0,0.0,9.0,11.0
France,19.0,23.0,23.0,0.0,18.0,20.0,13.0,15.0,26.0,1.0,6.0,12.0,12.0,7.0,4.0,52.0,23.0,14.0,12.0
Australia,1.0,5.0,5.0,18.0,0.0,2.0,5.0,33.0,8.0,19.0,12.0,30.0,6.0,25.0,14.0,34.0,5.0,4.0,6.0
South Africa,1.0,3.0,3.0,20.0,2.0,0.0,7.0,35.0,6.0,21.0,14.0,32.0,8.0,27.0,16.0,32.0,3.0,6.0,8.0
India,6.0,10.0,10.0,13.0,5.0,7.0,0.0,28.0,13.0,14.0,7.0,25.0,1.0,20.0,9.0,39.0,10.0,1.0,1.0
Chile,34.0,38.0,38.0,15.0,33.0,35.0,28.0,0.0,41.0,14.0,21.0,3.0,27.0,8.0,19.0,67.0,38.0,29.0,27.0
Mexico,7.0,3.0,3.0,26.0,8.0,6.0,13.0,41.0,0.0,27.0,20.0,38.0,14.0,33.0,22.0,26.0,3.0,12.0,14.0
Spain,20.0,24.0,24.0,1.0,19.0,21.0,14.0,14.0,27.0,0.0,7.0,11.0,13.0,6.0,5.0,53.0,24.0,15.0,13.0
Brazil,13.0,17.0,17.0,6.0,12.0,14.0,7.0,21.0,20.0,7.0,0.0,18.0,6.0,13.0,2.0,46.0,17.0,8.0,6.0
Portugal,31.0,35.0,35.0,12.0,30.0,32.0,25.0,3.0,38.0,11.0,18.0,0.0,24.0,5.0,16.0,64.0,35.0,26.0,24.0
Egypt,7.0,11.0,11.0,12.0,6.0,8.0,1.0,27.0,14.0,13.0,6.0,24.0,0.0,19.0,8.0,40.0,11.0,2.0,0.0
Russia,26.0,30.0,30.0,7.0,25.0,27.0,20.0,8.0,33.0,6.0,13.0,5.0,19.0,0.0,11.0,59.0,30.0,21.0,19.0
Israel,15.0,19.0,19.0,4.0,14.0,16.0,9.0,19.0,22.0,5.0,2.0,16.0,8.0,11.0,0.0,48.0,19.0,10.0,8.0
Japan,33.0,29.0,29.0,52.0,34.0,32.0,39.0,67.0,26.0,53.0,46.0,64.0,40.0,59.0,48.0,0.0,29.0,38.0,40.0
China,4.0,0.0,0.0,23.0,5.0,3.0,10.0,38.0,3.0,24.0,17.0,35.0,11.0,30.0,19.0,29.0,0.0,9.0,11.0
Hong Kong,5.0,9.0,9.0,14.0,4.0,6.0,1.0,29.0,12.0,15.0,8.0,26.0,2.0,21.0,10.0,38.0,9.0,0.0,2.0
Qatar,7.0,11.0,11.0,12.0,6.0,8.0,1.0,27.0,14.0,13.0,6.0,24.0,0.0,19.0,8.0,40.0,11.0,2.0,0.0
