Country,UK,USA,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
UK,0.0,0.14,0.0,0.37999999999999995,0.64,0.78,1.6900000000000002,0.56,1.34,0.91,1.84,1.4100000000000001,1.54,0.53,0.14,1.31,1.03,1.81,1.15
USA,0.1400000000000002,0.0,0.1400000000000002,0.24000000000000007,0.5,0.64,1.55,0.42,1.2000000000000002,0.77,1.7,1.27,1.4,0.39,0.0,1.17,0.89,1.67,1.01
Germany,0.0,0.14,0.0,0.37999999999999995,0.64,0.78,1.6900000000000002,0.56,1.34,0.91,1.84,1.4100000000000001,1.54,0.53,0.14,1.31,1.03,1.81,1.15
France,0.37999999999999995,0.24000000000000007,0.37999999999999995,0.0,0.26000000000000006,0.4,1.31,0.18000000000000002,0.9600000000000001,0.53,1.46,1.03,1.1600000000000001,0.15000000000000008,0.24000000000000007,0.93,0.65,1.4300000000000002,0.77
Australia,0.64,0.5,0.64,0.26000000000000006,0.0,0.14,1.05,0.07999999999999993,0.7000000000000001,0.27,1.2000000000000002,0.77,0.9,0.11,0.5,0.67,0.39,1.17,0.51
South Africa,0.78,0.64,0.78,0.4,0.14,0.0,0.91,0.22,0.56,0.13,1.06,0.63,0.76,0.25,0.64,0.53,0.25,1.03,0.37
India,1.69,1.55,1.69,1.31,1.05,0.91,0.0,1.1300000000000001,0.35,0.78,0.14999999999999988,0.28,0.15000000000000024,1.1600000000000001,1.55,0.37999999999999995,0.66,0.11999999999999987,0.54
Chile,0.56,0.42,0.56,0.18000000000000002,0.07999999999999996,0.22,1.1300000000000001,0.0,0.78,0.35,1.28,0.85,0.98,0.029999999999999968,0.42,0.75,0.47,1.25,0.59
Mexico,1.34,1.2000000000000002,1.34,0.9600000000000001,0.7000000000000001,0.56,0.3500000000000001,0.78,0.0,0.43000000000000005,0.5,0.06999999999999972,0.19999999999999982,0.81,1.2000000000000002,0.029999999999999274,0.31000000000000005,0.46999999999999986,0.18999999999999997
Spain,0.91,0.77,0.91,0.53,0.27,0.13,0.78,0.35,0.43000000000000005,0.0,0.9300000000000002,0.5,0.63,0.38,0.77,0.4,0.11999999999999998,0.9,0.23999999999999996
Brazil,1.84,1.7000000000000002,1.84,1.46,1.2000000000000002,1.06,0.14999999999999988,1.28,0.49999999999999994,0.93,0.0,0.43000000000000005,0.29999999999999993,1.31,1.7000000000000002,0.53,0.81,0.029999999999998347,0.6900000000000002
Portugal,1.4100000000000001,1.27,1.4100000000000001,1.03,0.77,0.63,0.28,0.85,0.06999999999999972,0.5,0.43000000000000005,0.0,0.1300000000000001,0.88,1.27,0.10000000000000005,0.38000000000000006,0.3999999999999999,0.26000000000000006
Egypt,1.54,1.4,1.54,1.1600000000000001,0.9,0.76,0.15000000000000024,0.98,0.19999999999999996,0.63,0.29999999999999977,0.1300000000000001,0.0,1.01,1.4,0.22999999999999987,0.51,0.26999999999999974,0.38999999999999996
Qatar,0.53,0.39,0.53,0.15000000000000008,0.10999999999999999,0.25,1.1600000000000001,0.029999999999999968,0.81,0.38,1.31,0.88,1.01,0.0,0.39,0.78,0.5,1.28,0.62
Russia,0.1400000000000002,0.0,0.1400000000000002,0.24000000000000007,0.5,0.64,1.55,0.42,1.2000000000000002,0.77,1.7,1.27,1.4,0.39,0.0,1.17,0.89,1.67,1.01
Israel,1.31,1.17,1.31,0.93,0.67,0.53,0.37999999999999995,0.75,0.029999999999999274,0.4,0.53,0.10000000000000005,0.22999999999999987,0.78,1.17,0.0,0.28,0.4999999999999999,0.16000000000000011
Japan,1.03,0.89,1.03,0.65,0.39,0.25,0.66,0.47,0.31000000000000005,0.12,0.81,0.38000000000000006,0.51,0.5,0.89,0.28,0.0,0.7799999999999999,0.11999999999999998
China,1.81,1.67,1.81,1.4300000000000002,1.17,1.03,0.11999999999999987,1.25,0.4699999999999998,0.9,0.029999999999998347,0.3999999999999999,0.26999999999999974,1.28,1.67,0.4999999999999999,0.7799999999999999,0.0,0.66
Hong Kong,1.1500000000000001,1.01,1.1500000000000001,0.77,0.51,0.37,0.54,0.59,0.18999999999999992,0.23999999999999996,0.6900000000000002,0.26,0.39,0.62,1.01,0.1600000000000002,0.11999999999999998,0.66,0.0
