,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
United States,0,0.010820234,0.010282585,0.010356692,0.010913839,0.044054471,0.02116002,0.03606499,0.037482798,0.010118908,0.014042916,0.010097674,0.0203496,0.020175638,0.017355394,0.018368186,0.043395931,0.040158543,0.040041879
United Kingdom,0.010820234,0,0.001557043,0.001643375,0.002328933,0.043711235,0.016214471,0.033814841,0.035338918,0.001320966,0.006148883,0.001330989,0.01461488,0.014825434,0.010413175,0.011532159,0.043075209,0.039682654,0.039631109
Germany,0.010282585,0.001557043,0,0.000926246,0.001630289,0.043918425,0.01620988,0.033414839,0.035044128,0.000597519,0.005386116,0.000617771,0.014010709,0.014503294,0.009774209,0.010695743,0.043231665,0.039724591,0.039680238
France,0.010356692,0.001643375,0.000926246,0,0.001713824,0.043828003,0.016454661,0.033521357,0.035145318,0.000679923,0.005577808,0.000701005,0.014301269,0.014760637,0.010015173,0.011106211,0.04328433,0.039841422,0.039797357
Australia,0.010913839,0.002328933,0.001630289,0.001713824,0,0.044312869,0.016614055,0.033724907,0.035248238,0.00138326,0.006316691,0.001396347,0.014946216,0.015147497,0.010510548,0.011785696,0.042602081,0.039061935,0.038999472
South Africa,0.044054471,0.043711235,0.043918425,0.043828003,0.044312869,0,0.042785726,0.067117469,0.066619532,0.044099379,0.042759772,0.043977761,0.038940364,0.041165772,0.046892188,0.044015372,0.061485933,0.058990996,0.058958873
India,0.02116002,0.016214471,0.01620988,0.016454661,0.016614055,0.042785726,0,0.035934545,0.035922684,0.016393951,0.017911499,0.016160853,0.017788342,0.01019299,0.015998057,0.01559225,0.030103814,0.027744076,0.027586082
Chile,0.03606499,0.033814841,0.033414839,0.033521357,0.033724907,0.067117469,0.035934545,0,0.033115093,0.033316934,0.036966527,0.033216472,0.039950555,0.037178902,0.036428747,0.039304779,0.048918545,0.04704735,0.04679811
Mexico,0.037482798,0.035338918,0.035044128,0.035145318,0.035248238,0.066619532,0.035922684,0.033115093,0,0.034940172,0.038666586,0.034828803,0.041311285,0.037660381,0.035683197,0.040959772,0.046907576,0.044639137,0.044330909
Spain,0.010118908,0.001320966,0.000597519,0.000679923,0.00138326,0.044099379,0.016393951,0.033316934,0.034940172,0,0.005345481,0.000363168,0.01431502,0.014725082,0.00980556,0.011019584,0.043281545,0.039819352,0.03977626
Brazil,0.014042916,0.006148883,0.005386116,0.005577808,0.006316691,0.042759772,0.017911499,0.036966527,0.038666586,0.005345481,0,0.005374984,0.015048296,0.016144946,0.012690283,0.012046842,0.0452303,0.041651212,0.0416271
Portugal,0.010097674,0.001330989,0.000617771,0.000701005,0.001396347,0.043977761,0.016160853,0.033216472,0.034828803,0.000363168,0.005374984,0,0.014260804,0.014585361,0.009755689,0.010999735,0.043045211,0.039594317,0.039549698
Egypt,0.0203496,0.01461488,0.014010709,0.014301269,0.014946216,0.038940364,0.017788342,0.039950555,0.041311285,0.01431502,0.015048296,0.014260804,0,0.009300416,0.018001437,0.011676804,0.04242806,0.040005233,0.03986926
Qatar,0.020175638,0.014825434,0.014503294,0.014760637,0.015147497,0.041165772,0.01019299,0.037178902,0.037660381,0.014725082,0.016144946,0.014585361,0.009300416,0,0.016200716,0.013353736,0.034713721,0.032277637,0.032117209
Russia,0.017355394,0.010413175,0.009774209,0.010015173,0.010510548,0.046892188,0.015998057,0.036428747,0.035683197,0.00980556,0.012690283,0.009755689,0.018001437,0.016200716,0,0.013878072,0.039097354,0.036441905,0.036348045
Israel,0.018368186,0.011532159,0.010695743,0.011106211,0.011785696,0.044015372,0.01559225,0.039304779,0.040959772,0.011019584,0.012046842,0.010999735,0.011676804,0.013353736,0.013878072,0,0.043405636,0.039585142,0.039374137
Japan,0.043395931,0.043075209,0.043231665,0.04328433,0.042602081,0.061485933,0.030103814,0.048918545,0.046907576,0.043281545,0.0452303,0.043045211,0.04242806,0.034713721,0.039097354,0.043405636,0,0.008105628,0.00745
China,0.040158543,0.039682654,0.039724591,0.039841422,0.039061935,0.058990996,0.027744076,0.04704735,0.044639137,0.039819352,0.041651212,0.039594317,0.040005233,0.032277637,0.036441905,0.039585142,0.008105628,0,0.000959285
Hong Kong,0.040041879,0.039631109,0.039680238,0.039797357,0.038999472,0.058958873,0.027586082,0.04679811,0.044330909,0.03977626,0.0416271,0.039549698,0.03986926,0.032117209,0.036348045,0.039374137,0.00745,0.000959285,0
