Country,UK,USA,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
UK,0.0,0.017999999999999846,0.11500000000000003,0.43699999999999994,0.012000000000000073,0.625,0.315,0.379,0.491,0.00799999999999988,0.237,0.19600000000000006,0.454,0.16999999999999998,0.32,0.5630000000000001,0.7880000000000001,0.46900000000000003,0.533
USA,0.017999999999999846,0.0,0.13300000000000003,0.45499999999999996,0.029999999999999968,0.607,0.333,0.397,0.473,0.026000000000000058,0.219,0.21400000000000005,0.472,0.152,0.338,0.581,0.806,0.487,0.551
Germany,0.11500000000000003,0.13300000000000003,0.0,0.32199999999999995,0.10300000000000005,0.74,0.2,0.264,0.606,0.10700000000000005,0.35200000000000004,0.08099999999999999,0.339,0.28500000000000003,0.20500000000000002,0.448,0.6730000000000002,0.354,0.41800000000000004
France,0.43699999999999994,0.45499999999999996,0.32199999999999995,0.0,0.425,1.0619999999999998,0.12200000000000004,0.05799999999999981,0.9279999999999999,0.429,0.6739999999999999,0.24100000000000002,0.017000000000001153,0.607,0.11699999999999978,0.12600000000000022,0.3510000000000003,0.03200000000000126,0.09600000000000002
Australia,0.012000000000000073,0.029999999999999968,0.10300000000000004,0.425,0.0,0.637,0.303,0.36700000000000005,0.503,0.0040000000000002655,0.249,0.18400000000000002,0.442,0.182,0.30800000000000005,0.551,0.776,0.457,0.521
South Africa,0.625,0.607,0.74,1.0619999999999998,0.637,0.0,0.94,1.004,0.13400000000000015,0.633,0.388,0.821,1.079,0.45499999999999996,0.945,1.188,1.413,1.094,1.158
India,0.315,0.333,0.2,0.12200000000000004,0.303,0.9400000000000001,0.0,0.0639999999999999,0.806,0.307,0.552,0.11899999999999997,0.13899999999999993,0.48500000000000004,0.004999999999999724,0.2480000000000001,0.4730000000000002,0.15400000000000005,0.21800000000000003
Chile,0.379,0.397,0.264,0.05799999999999981,0.36700000000000005,1.004,0.0639999999999999,0.0,0.87,0.371,0.616,0.18300000000000002,0.07499999999999994,0.549,0.0590000000000001,0.184,0.40900000000000014,0.08999999999999998,0.15400000000000005
Mexico,0.49099999999999994,0.473,0.606,0.9279999999999999,0.503,0.1340000000000002,0.806,0.87,0.0,0.49899999999999994,0.254,0.6869999999999999,0.945,0.321,0.811,1.054,1.2790000000000001,0.96,1.024
Spain,0.00799999999999988,0.026000000000000058,0.10700000000000007,0.429,0.0040000000000002655,0.633,0.307,0.371,0.499,0.0,0.245,0.18800000000000003,0.44599999999999995,0.17800000000000002,0.31200000000000006,0.555,0.7800000000000001,0.461,0.525
Brazil,0.237,0.219,0.35200000000000004,0.6739999999999999,0.249,0.388,0.552,0.616,0.254,0.245,0.0,0.433,0.691,0.067,0.557,0.8,1.0250000000000001,0.706,0.77
Portugal,0.19600000000000004,0.21400000000000005,0.08099999999999999,0.241,0.18400000000000002,0.821,0.11899999999999991,0.18299999999999997,0.687,0.18800000000000003,0.433,0.0,0.2579999999999999,0.36600000000000005,0.124,0.367,0.5920000000000001,0.273,0.337
Egypt,0.454,0.472,0.339,0.017000000000001153,0.442,1.079,0.13899999999999993,0.07499999999999994,0.945,0.44599999999999995,0.691,0.25799999999999995,0.0,0.624,0.1340000000000001,0.10900000000000014,0.3340000000000003,0.015000000000001025,0.07900000000000068
Qatar,0.16999999999999998,0.152,0.28500000000000003,0.607,0.182,0.45499999999999996,0.48500000000000004,0.549,0.32099999999999995,0.17800000000000002,0.067,0.36600000000000005,0.624,0.0,0.49000000000000005,0.733,0.9580000000000001,0.639,0.7030000000000001
Russia,0.32,0.338,0.20500000000000002,0.11699999999999978,0.30800000000000005,0.9450000000000001,0.004999999999999724,0.0590000000000001,0.811,0.31200000000000006,0.557,0.12400000000000005,0.1340000000000001,0.49000000000000005,0.0,0.24300000000000016,0.46799999999999997,0.1489999999999999,0.213
Israel,0.5630000000000001,0.581,0.448,0.12600000000000022,0.551,1.188,0.2480000000000001,0.184,1.0539999999999998,0.555,0.8,0.367,0.10900000000000014,0.733,0.24300000000000016,0.0,0.22500000000000006,0.09400000000000035,0.030000000000001123
Japan,0.7880000000000001,0.806,0.6730000000000002,0.35100000000000026,0.7760000000000001,1.413,0.47300000000000014,0.40900000000000014,1.2790000000000001,0.78,1.0250000000000001,0.5920000000000001,0.3340000000000003,0.9580000000000001,0.4680000000000001,0.22500000000000006,0.0,0.3190000000000002,0.25500000000000034
China,0.46900000000000003,0.487,0.35400000000000004,0.03200000000000126,0.457,1.094,0.15400000000000005,0.08999999999999998,0.96,0.461,0.706,0.273,0.015000000000001025,0.639,0.1489999999999999,0.09400000000000035,0.3190000000000002,0.0,0.06400000000000035
Hong Kong,0.533,0.5510000000000002,0.4180000000000001,0.09600000000000002,0.5210000000000001,1.158,0.21800000000000003,0.15400000000000005,1.024,0.525,0.77,0.3370000000000001,0.07900000000000068,0.7030000000000001,0.213,0.03000000000000205,0.25500000000000045,0.06400000000000035,0.0
