,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Parent and Child,89.2073005698006,30.4745327203661,91.115930674264,86.7601808685142,27.5242176033843,79.6973020806354,63.4956833290167,91.6148245273245,41.1492963826297,25.1614845031512,46.9484675818009,83.5099784474784,98.3646066896067,88.2526353276353,35.897403984904,35.9730783105783,45.4700823867491,97.3251406001406,54.8006772548439,29.4616400574734,41.7929380804381,28.4544776211443,82.5943531504806,93.5938888453594,82.4326866942063,29.5002571502571,80.2319075532311,91.811949914646,72.5686036004663,91.6617832331067,91.2033580798287,94.760913614345,81.3592200827495,0
Parent and Teenager,71.0932120348787,31.2083085124752,80.7966427091427,81.8070750237417,26.6178095053095,66.1841891133558,61.7653662695329,86.5167821376155,42.0602769144436,28.170919666753,48.0768302684969,78.7844468802802,88.0840167548501,76.2051857093524,39.4287758537759,37.5160177785178,42.3348464806798,84.6604170520837,53.4484780651447,47.6289901456568,50.5517331433998,34.1180424513758,77.9821388941487,89.5481433961826,77.174301315968,30.6331367978427,75.4596738410464,84.7471720998682,64.5919227105502,84.0307180564534,88.2172526638213,83.3934220191573,76.545556975704,0
Wife and Husband,87.2084542001209,86.7570027195027,91.3434796684797,87.0006626089959,28.1618471035138,92.3032461365795,58.2946721488388,91.4429681429681,69.3291461624795,30.6599898558232,48.7183275058275,87.6308808475475,95.4447826864493,84.189835319002,47.0855135605136,39.9223154931488,43.4402481777482,91.8697213280547,91.3607440399107,39.6780631405631,55.1970988887656,22.4001546293213,76.1698156055999,93.0051480291676,84.9062462773247,35.5343598576442,83.6149482235267,85.2738305539776,80.7868168505423,89.0711510348765,90.1755216551785,92.9781933480463,27.5905310920017,0
Fiance and Fiancee,85.9994582577916,85.4462153587154,86.8865988949322,84.168389018389,29.4676584218251,85.5438055771389,57.1699678408012,85.2977769144436,66.2774292065959,32.4771658896659,45.4787349995683,80.7957440707441,92.0112799237799,77.5563091229758,39.8715411132078,39.079022674856,38.1611979070312,86.4003367003367,83.4381001714335,29.5321035446036,52.4072825322825,17.244271006771,58.3582950818245,84.4266943024296,76.3951884897963,31.6569468839077,78.5189900785489,70.8731320966615,74.0397287806602,79.3968848054632,87.2799431051882,87.0245998917568,27.5668663399056,0
Between Siblings,75.4137248553915,75.0107182940516,77.5524313649314,83.3176519468186,25.3074991366658,63.4108024691358,63.4968099801433,77.74455667789,57.1867132867133,35.9496201329535,47.66126003626,81.5749623832957,84.0775497650498,72.2546166796167,29.1623888457222,36.5157623240957,28.6547074838742,81.6220282803616,16.8357990774657,47.3431391139724,48.3031833906834,27.7008577841911,69.2113825172649,87.1637843365785,77.5085277376944,27.4023703330076,71.3789129806287,91.4142482608169,68.9137089399344,75.8802673270811,87.6231966925594,84.1081739792524,34.2665207976483,0
Between divorced spouses,30.2594178969179,63.4350740309074,33.1374503582837,34.3596499179832,65.2770007770008,23.0459682293016,47.9728826728827,28.1919407752741,51.4631831131831,66.9209930501597,59.7977272727273,56.2325904034237,29.9246144287811,36.2453372245039,46.3224252599253,36.9233465608466,24.398392656726,26.9919618961286,28.5306099764433,74.72333669417,62.6661255411255,39.6917405125738,49.2308713708224,50.2948093754466,33.9013415506063,24.8240252576037,35.9861957124212,35.9676952858325,40.312686596265,24.5689315677061,51.967397852692,28.3896217979551,28.4677483736307,2
Between a person and their in-laws,61.6449354657688,48.4540630665631,50.333020374687,53.78776331693,54.2925343175343,37.2282029698696,58.9109718984719,56.4465499007166,50.0690527065527,44.5548033756367,48.4440041440041,65.7036924495258,51.9785208618542,49.409225034225,27.0686842478509,32.3406926406926,30.069764957265,44.5755508380508,17.8142171100504,44.9286445036445,40.5455939122606,23.8007925716259,50.2466844702139,62.3407808966633,47.2511341690263,29.0013672420535,48.0488809574594,59.7073585637311,48.1036111854739,39.3191191705898,72.9985461343305,53.6537556488537,72.8007649304218,2
Between cousins,73.2481200897868,73.3574106449107,60.5073027281361,69.9378960545627,36.3872917206251,46.2644047310714,63.830952689286,63.2308566433566,53.9719502719503,34.2430825347492,43.6252827419494,65.7917998667999,64.9294158002491,58.3220436970437,23.0945454237121,30.9503490336824,24.2239826531493,53.9978667937001,15.5565018315018,27.6385364635365,36.3809170767504,18.6742085075418,50.7901929497518,64.0846402598854,57.428803195715,26.4495069835756,54.3116026765537,73.8230677728227,55.0996137123588,45.0748584476526,78.0443032004306,67.1176888108261,37.8345555950948,0
Employer and Employee,76.5154191487525,30.2904373404373,62.0792451375785,28.1285834535835,85.7883918550585,23.5619417619418,78.5538387538388,37.6834600584601,68.6201403534737,76.0080351747018,76.4233050899717,45.9909752284752,24.7197971781305,76.8898388648389,82.4909251242585,49.0879068462402,74.6169292127626,37.074184303351,16.6980619688953,43.8889149430816,58.532848324515,35.2414702581369,80.7843038225391,72.8614643163663,71.2176057965274,91.7778949626989,71.9417054532251,67.7412944807553,76.5146893774345,69.9741532976827,77.0177510398099,67.3265671420083,59.4602404766621,1
Interviewer and Job applicant,64.3180998014331,33.4429259012592,32.1768722018722,27.6666049999383,86.8766511266511,19.8354441854442,64.6847957597957,33.9069131485798,52.4648632231966,76.6388290721624,57.9017414684081,39.3909151034151,18.7887686387686,68.2476210517877,51.0878767837101,37.4581970498637,47.6399130190797,19.7902256693923,16.1374979958313,27.7483906525573,54.7664241622575,23.1835477793811,68.6012419951145,62.0282952069717,49.7002483990229,84.4945129398561,61.3021637948109,24.0527356902357,63.1935713342576,59.5701170198719,71.6598575625536,50.8341965405691,54.6271373869413,1
