,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Parent and Child,89.9456671415005,29.2722535180869,92.2051994301994,88.1039605456272,27.1339042130709,81.2248424415091,62.0094535094535,93.0559451351118,40.476931710265,24.7820922904256,46.4821807821808,84.2113673363673,98.2382178007178,88.3623575498576,34.6057373182373,34.8355783105783,45.6881379423046,97.2473628223628,55.2020661437328,29.2546956130289,42.4609936359936,29.5280887322554,84.3792534353809,95.450726452197,84.0623163238359,26.4033910533911,82.0638163851399,93.7563943590904,73.1483756802384,93.3163416376652,92.818030444501,96.3855574889889,82.8741773477067,0
Parent and Teenager,71.3785871535872,30.8194196235863,81.3783141241475,83.2377492877493,25.9027097902098,66.8641511266511,60.4515011223345,87.7793652335319,41.4662598204265,28.3993147284814,47.5924997841664,78.874724658058,87.9520723104056,77.1107412649079,38.1315536315536,36.0493511118511,40.8876242584576,83.8520837187504,54.445700287367,48.0526012567679,51.8558998100665,35.2305424513758,79.8546460166558,91.0908784389176,77.5069223985891,28.1901168548227,77.2630926444652,86.9629840656801,65.196623565251,85.708780734516,90.5206714672401,84.5330231587585,78.2891467192938,0
Wife and Husband,88.9439717689718,88.8011622636623,92.3482280065613,88.4731222481223,27.591571699905,93.2643097643098,57.1242068117068,93.0939652939653,71.2061642061642,30.1034846326513,48.3655259863593,88.6336586253253,96.0072826864493,84.2551130967798,45.4577357827358,38.4792599375933,42.4499703999704,90.8877768836102,91.3204662621329,39.8572298072298,56.9137655554322,21.5154324070991,77.0159694517538,94.2786523026719,85.435448556527,32.6675507408351,85.0850336936121,86.7481895283366,81.6607484744739,90.4536296673552,91.3080002876572,93.8022674221204,26.0128957643663,0
Fiance and Fiancee,87.4234848484849,87.4234233359233,88.5038828455495,85.84170335837,28.0607258482259,87.4156004489338,55.9710124751792,87.0560865060865,68.1648935940603,31.886472632306,45.3752212293879,81.9026885151885,92.6696132571133,78.791031345198,39.7909855576522,37.2095782304116,37.1292534625868,85.8156144781145,83.2769890603224,29.5321035446036,54.0350603100603,16.6053821178821,58.0427680162974,85.7764094021447,78.2427668373747,29.208941185902,80.0204145799734,71.8852403587697,75.0169367578681,80.7686796772581,89.4743875496326,88.8087879259448,26.4336754567147,0
Between Siblings,75.9707049123716,75.5957135457136,77.7295443753777,84.8200261158595,24.6754953379953,63.8666429249763,61.9896874730208,78.4026763360097,57.5561339894673,36.0412630579297,47.2182400932401,82.7360734944068,83.9275497650497,71.5962833462833,26.2123888457222,34.1727067685401,26.056096372763,79.6511949470283,17.0191324107991,47.2014724473058,48.1254056129056,27.3133577841911,69.7177927736751,88.2350094078035,77.56408329325,24.5704615010988,71.9501380518537,93.5937354403041,69.957868484094,76.127418324232,89.701544270907,84.9728463439248,33.1425891737166,0
Between divorced spouses,30.5742327117327,65.362899292066,33.3539745748079,34.2456898040231,65.2442372442373,22.7154838988172,48.0236898903566,28.0898515065182,51.3572951739618,68.2989607614608,59.2041850125183,57.054812625646,29.4843366510033,36.3328372245039,47.9140919265919,36.6261243386243,24.1122815456149,26.1225174516841,27.5667210875544,75.1288922497256,62.4439033189033,39.0972960681294,49.9374240773751,49.9807068113441,32.6427945420592,22.5939682775467,35.1785034047289,35.5681226362599,38.3725156560941,22.6223503711249,51.6867710720652,27.0420434503768,27.2476629035453,2
Between a person and their in-laws,62.4079933954934,49.6288019079686,50.2608456358456,53.6619323577657,54.3518885435552,37.0544137960805,57.2789680998014,57.0752298627299,50.9650641025641,44.8805393680394,47.8233963567297,64.4592480050813,51.5285208618542,48.7008917008917,25.9256286922954,29.7893037518038,28.1530982905983,42.6783286158286,16.5461615544949,43.8494778369778,39.0567050233717,22.8285703494037,49.4852884588179,61.5145700704524,45.892159810052,26.9479484386347,48.0873424959209,59.6389824953551,45.8585969404597,37.6075807090513,73.3532469890313,52.975692970791,74.5066053862622,2
Between cousins,74.0947487697488,74.2814372356039,59.7646626521627,71.0314383147716,36.4404731071398,45.6238539238539,62.3357010273677,63.6577322368989,54.2663472330139,34.015162306829,43.1803634636968,65.6723554223554,63.6363602446936,57.5095436970437,20.7223232014899,28.6906268114601,21.6170382087049,50.9062001270335,14.4690018315018,26.7718697968698,35.5725837434171,17.3769862853196,49.1797940893529,63.1537285789737,56.2820795489913,23.7166010006696,54.4298362947873,73.9299053796603,54.1758245385696,43.4210122938064,78.8790610351885,67.3463212894585,36.9250114355507,0
Employer and Employee,77.4171285504619,30.0706571206571,63.10549666383,27.8874357124357,86.5386971053638,22.5326377326377,79.0013357013357,36.7957921707922,68.9894932228265,76.5953367620034,78.1436958103625,44.8783209074876,23.2043650793651,78.483974667308,84.5912337662338,48.2005611672278,74.9703242744909,37.3396164021164,14.2026915985249,43.3595939554273,59.3569223985891,35.5084455667789,80.752608665844,72.1488574787595,70.3497283036499,92.306741116545,71.2821612936809,67.8413657058265,75.0478090355541,69.2772159757454,76.3300729771318,66.2699432103844,58.5813230977447,1
Interviewer and Job applicant,64.5110179943513,33.1968941552275,32.0492775742776,26.9700238033571,87.2734765234765,18.8745162245162,64.0913891663892,33.096168337835,53.5216397799731,77.2462771796105,58.6496047162714,38.2134459676126,16.4168550585217,69.0871272246272,50.3980619688953,35.9350489017156,46.8050364758698,19.4136824595158,13.5310165143498,26.3456128747795,53.7154982363316,22.69743666827,67.2045183483909,60.3769419306184,47.0367868605614,85.0928035381467,61.5856395782866,21.5516673141673,62.4432152089015,60.0587210084759,70.785925938622,49.2312763126489,53.7610405208444,1
