"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Parent.and.Child",89.2959757834758,30.0616053699387,91.4845204178538,86.6463988172322,27.4163116204783,79.9131140464474,61.4230337563671,91.0667476042476,40.502394673228,24.1678947595614,46.0670573253907,83.1988673363673,98.1701622451622,88.1915242165242,35.5751817626818,36.1786338661339,46.6256379423046,96.9362517112517,57.3395661437328,30.1838622796956,43.3151603026603,29.921144287811,83.0943531504806,94.4920369935076,86.0623163238359,29.4447015947016,83.1763519976755,93.4045425072386,74.1056406375034,94.5414128627364,92.5829877094583,95.2146173180487,83.1462571197865
"Parent.and.Teenager",70.7080624622291,31.5416418458085,80.9184375809376,81.8172245963913,26.5740060865061,65.8487190278857,59.4298961840629,85.8634701718035,41.4037598204265,27.6361974445308,47.0693516360183,78.2733357691691,86.7451278659612,75.2940745982413,38.2732202982203,37.0549066674067,41.7792909251243,82.8604170520837,55.9484780651447,48.3678790345457,51.4795109211776,34.7624868958202,78.6395463015561,89.8259211739604,79.4983753900421,30.5220256867316,78.4226368040093,85.4045795072756,66.4530338216613,87.1047921305274,89.5876230341917,83.4119405376758,77.6566680868151
"Wife.and.Husband",87.9771507813174,86.7826437451438,91.4716847966848,87.0834617542951,27.938022317189,92.1547418630752,56.025441379608,91.2698912198912,68.6614111197444,29.8565710524044,47.8801864801865,88.1975475142142,95.2003382420049,84.039835319002,45.7132913382913,39.9167599375933,42.9402481777482,90.0474991058325,90.6829662621329,40.5002853627854,56.94154333321,22.8501546293213,77.6883341241184,93.9495924736121,86.2303203513988,35.5065820798664,86.44828155686,86.5330898132369,83.1849649986905,92.4878177015432,91.2310772107341,93.2652303850833,28.673864425335
"Fiance.and.Fiancee",86.6148428731762,85.5113862988863,86.8727100060433,84.4103761978762,29.11242337909,85.4294893378227,54.6731729690063,85.1332469999137,65.3709121125788,31.8340034965035,44.690807649141,81.1568551818552,91.8001688126688,77.428531345198,38.6715411132078,38.6123560081893,37.6167534625868,84.2170033670034,83.1214335047668,30.2154368779369,54.0572825322825,17.3609376734377,58.8490358225652,85.1766943024296,78.4322255268334,31.5180579950188,81.0375085970674,73.4935024670319,76.1323213732528,81.3042922128706,88.0114245866697,87.4597850769419,28.6131626362019
"Between.Siblings",75.4869086160753,75.2917012000345,77.5219826469826,83.0136989553656,25.3475632392299,63.2046058879392,62.0406133989467,76.8887874471208,56.06385003885,35.9100902184236,46.9913882413882,81.5749623832957,83.3386608761609,71.1657277907278,28.8957221790555,36.4157623240957,28.243596372763,78.7720282803616,18.4469101885769,47.7042502250836,48.4976278351278,27.6786355619689,70.2021232580056,87.7748954476896,79.5455647747314,26.8653332959706,73.1011352028509,92.0809149274835,71.2840793103048,78.2043414011551,88.9750485444113,84.1266924977709,34.8776319087594
"Between.divorced.spouses",30.7594178969179,63.3474671933005,33.2891597599931,34.9563379521713,65.9340520590521,22.7478913062246,48.4002331002331,28.3105305188639,51.263930976431,67.5705656997324,60.0220862470862,57.2270348478682,29.9357255398922,35.2120038911706,47.0779808154808,36.6289021164021,23.8428371011704,26.4697396739063,27.3417210875544,74.5344478052811,61.0327922077922,39.0139627347961,50.6753158152668,49.3040686347059,33.0587489580137,24.6110622946407,35.7454549716805,35.3843619524992,39.7015754851539,23.2633760121505,51.4859163712105,27.8896217979551,29.514044669927
"Between.a.person.and.their.in.laws",61.1988884572218,47.8039562289562,50.4954135370802,54.1403274194941,53.513153975654,37.2164508331175,56.8746471121471,56.8514644306311,49.754415954416,43.919119614953,47.3820383320383,64.8592480050813,51.4007430840764,48.6814472564472,27.1742398034065,31.5129148629149,29.2308760683761,43.5311063936064,17.9419948878282,44.4953111703112,39.7178161344828,23.2174592382926,51.1263140998435,62.8037438596262,47.7140971319893,28.2143302050165,49.2896216982001,60.6332844896571,46.6591667410295,38.8098599113305,71.7578053935897,54.1352371303352,73.5322464119033
"Between.cousins",73.5237611154278,73.6186285936286,59.8032428990762,69.8593704135371,36.7190224898558,46.0459218250885,62.2161022619356,62.8884421134421,53.7470571095571,33.8114586031253,43.2166288957956,65.1140220890221,64.0016380224714,57.4775992525992,23.0612120903788,30.717015700349,23.8684270975938,51.3700890159223,16.3676129426129,27.0552031302031,36.5586948545282,17.935319618653,49.8735262830851,63.9087143339594,58.3547291216409,25.1254329095015,55.7190100839611,74.2489936987486,54.9236877864329,45.8155991883933,77.377636533764,66.9787999219372,38.2141852247244
"Employer.and.Employee",76.3957610290944,31.0938561438561,62.4724075307409,29.0302928552929,85.6815542482209,23.8397195397195,78.327343027343,38.4056822806823,68.996208729542,75.8798300464967,76.3378350045017,45.4609928651595,24.646164021164,76.6023609106943,82.964911014911,48.8096881513548,73.2315676607343,39.0023148148148,16.3925064133397,44.0189854898188,59.261684303351,36.5130751964085,81.5535345917699,72.579413034315,71.2741110196992,91.5058151906191,71.9488279603476,68.3922916317524,75.0925621219739,69.7386357288318,76.3686532240454,66.4381530869276,60.1307058137941
"Interviewer.and.Job.applicant",63.7539972373306,34.3275412858746,33.471743996744,28.5640408973742,86.1843434343434,20.3653587153587,65.2702658452658,34.3428105844772,53.7298204881538,76.0020769354103,57.247895314562,39.161197290364,18.2971460638127,67.9323653198653,51.1209455667789,37.6116362033029,47.136385682219,21.3356401314735,15.76183662017,27.8145282186949,53.2227733686067,23.8925424883758,68.5532837804897,61.3877443997542,49.3901819222898,84.3335442788874,61.9621827881632,23.9050623758957,62.4015485422348,60.8303259467475,71.356913592943,51.575412115118,54.958571385042
"Guard.and.Prisoner",29.55835337502,20.5109853109853,48.5685598352265,28.4858712275379,77.6123018956352,20.2934328017661,62.0440433023766,26.5740709907377,32.5471028971029,49.6188518271852,49.9815098481765,41.2415263748597,14.6276535193202,32.6350529100529,19.2663339746673,30.5338564213564,38.3181036556037,23.1522546897547,14.6473043931377,70.7049843674844,23.2576759660093,75.1068903318903,71.0281500271696,51.3874365195444,25.8011511545825,64.1392617096048,45.6831798375916,52.51279258142,51.6267643123035,70.3191098389628,55.740237404208,29.1431145288988,47.8800127976599
"Nurse.and.Patient",83.3135598968932,57.7411634661635,56.4225055808389,46.113390621724,72.3242788076121,37.3347186763853,63.8174732674733,47.6147405064072,48.8201163034496,45.4708356458356,60.3050711634045,44.9472202180535,43.773392656726,66.8929212762546,36.8776795735129,39.3386844636845,76.0526875901876,49.073094035594,17.6859728234728,23.3256253006253,34.3802549302549,27.2775392817059,82.0059346608366,72.6891729639279,66.4507625907136,75.7284987253125,67.9281786568551,41.9840325705522,67.0647341311557,75.8911343195657,83.481920829715,78.5191159330865,50.575543075298
"Therapist.and.Patient",84.5189834856502,54.5894108977442,65.7427957844625,50.9005719589053,72.666465016465,42.407116957117,50.2241579408246,43.4990611240611,56.4607028773695,50.5792966292966,61.1246617579951,57.1988656405323,40.8516333974667,77.1925505050505,54.6254349046016,36.0842412217412,77.7474206349206,54.4152477152477,17.5715388007055,24.0401815776816,40.7898188231522,26.176619368286,79.4685060763492,78.2936005987477,72.5030115762959,75.8238264368166,74.6003456510809,54.7389758571131,73.7024396808711,74.4745600804424,84.3507196144451,85.1429451630432,52.0005786878336
"Salesperson.and.Customer",68.0649449316116,60.3964368964369,38.6528638028638,33.9763594430261,73.8224059890727,23.0836506086506,77.9653809153809,33.4322627989295,61.7197419864086,74.0609233359233,80.168516360183,31.0646745230079,21.8685285393619,59.8366382074715,87.8259259259259,76.541664662498,78.5130872214206,24.5615339907007,16.9089365881033,28.6723504890172,72.0325657367324,27.042145662979,65.4346259858515,54.9975897105799,49.8147390191508,72.3383560974247,61.3771645565763,29.1204207738521,60.8811455429103,60.7226503978955,62.9986111745916,49.0557695481715,45.2524741507585
"Between.Business.Partners",71.0194962444962,80.8125541125541,68.814919648253,44.7794248960916,68.6952621452621,36.1224886224886,62.2051106301106,53.5535427535428,78.2739118905786,76.3187667271001,68.48223998224,63.2648569023569,30.7209114959115,77.7637265512266,84.2516374058041,54.6144480519481,61.2047498797499,48.0215528298862,18.4652116402116,40.2070105820106,74.7143839185506,29.3510782427449,65.1411520306128,66.4360209053836,81.324519199029,79.2815271239291,76.518231015535,70.4590427909055,76.5016454134101,65.8905869910772,72.0896362442931,76.6988897903114,41.1259750597986
"Between.opposing.negotiators",31.1060729394063,60.5465593048926,40.9399862483196,32.8805481555482,76.0729215229215,19.275394050394,63.7728395061729,32.7474858474858,56.1897411230745,84.6344689261356,62.2391990725324,47.9653599486933,17.6505832130832,55.7698332531666,53.2767736892737,45.6989678531345,40.1956028539362,20.9243005451339,15.6964405964406,76.6058541766875,76.8882535674202,46.1388848805515,55.40404592684,51.7573697634972,30.8049902620981,65.1051710544358,52.3074306412542,34.4189292370665,53.0503850089634,47.3987270264231,55.9791831715851,30.1344238640807,41.5819878015956
"Between.political.opponents",30.1186736874237,63.1904444321111,51.7143873102206,30.7893548581049,76.6893309622476,24.6204839142339,80.8819651798819,29.1637025782859,50.5345242720243,88.548677017427,44.1216070966071,46.1799325057658,14.5641878183545,46.4418282334949,40.4902317127317,31.0020767812434,26.5152979119646,19.5819514744515,14.6894110519111,87.991071058571,61.6830230263564,55.8714840406507,73.0109763693097,57.0016276932944,27.7673744465411,71.5496546663213,58.4077425660759,50.6987344445678,64.0371788705122,45.4381555173222,45.2609558651225,18.2585712127379,38.6901347109681
"Between.business.rivals",29.3387694096027,65.3387004970338,48.8509827363994,29.2898384023384,76.748490706824,23.5420157774324,68.0865294427794,27.9677513073346,48.1563550646884,87.6331994394494,57.381604969105,43.370611980612,15.7430398922066,39.0947350797351,63.4997931081264,47.5464351389351,40.2815427473761,22.7295726495726,15.5115735499069,85.066988690322,63.6538607380274,54.5398975407309,63.3591172716173,56.9924432049432,36.8658916700583,79.7877079710413,57.5062605604272,51.1924886841554,61.1094903553237,41.0996525079858,45.3207593332593,19.8544068585735,39.5688919105586
"Between.enemies",20.6673127798128,58.844524379941,52.3012586950087,45.3022627064294,48.0231730460897,25.9702195181362,50.3588884109718,26.8126395209729,41.1084228271728,72.9993578951912,43.1437133082966,52.5039891281558,18.3326631393298,23.6915175256842,28.4759504384504,25.5403959620626,17.1511047594381,21.9820833795834,15.4351747635081,92.3264781206448,32.4376960693627,67.3254001862335,40.1181824348491,47.9281537906538,23.2426268176268,29.6816715691716,44.1227567185901,50.4814273689274,46.0676400759734,35.8635491052158,26.3004305879306,13.9600299391966,35.6930742097409
