,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,90.25,70.91666666666667,91.0,91.41666666666667,81.66666666666667,26.083333333333332,61.416666666666664,77.58333333333333,62.5,60.25,16.666666666666668,81.66666666666667,86.25,70.16666666666667,60.0,23.25,11.166666666666666,11.166666666666666,6.5,84.5,82.16666666666667,67.66666666666667,93.83333333333333,55.333333333333336,76.14285714285714,61.42857142857143,99.85714285714286,97.71428571428571,69.85714285714286,78.71428571428571,63.57142857142857,58.714285714285715,84.625,95.125,75.375,45.125,70.375,43.0,47.875,74.125,66.4,79.0,63.6,37.0,34.6,49.6,54.0,66.2,80.57142857142857,77.71428571428571,81.14285714285714,66.57142857142857,78.71428571428571,85.71428571428571,27.428571428571427,1.5714285714285714,70.71428571428571,48.42857142857143,10.785714285714286,29.285714285714285,13.571428571428571,5.357142857142857,26.714285714285715,64.78571428571429,35.5,76.25,74.5,76.875,48.0,84.375,78.875,91.75,81.6,78.4,86.6,76.8,57.6,84.6,58.8,48.2,62.1,50.0,57.5,43.1,68.1,40.9,3.4,70.5,45.166666666666664,72.08333333333333,62.083333333333336,34.0,66.16666666666667,63.5,35.333333333333336,67.83333333333333,62.7,24.3,7.2,51.6,43.7,76.8,77.2,59.4,50.0,78.66666666666667,69.46666666666667,68.4,53.2,59.0,74.0,64.26666666666667,61.0,81.875,79.5,40.875,56.75,53.125,70.625,65.75,80.0,68.1,11.7,55.9,22.5,83.0,56.3,62.1,86.66666666666667,63.44444444444444,70.11111111111111,54.77777777777778,93.44444444444444,31.0,91.0,90.22222222222223,63.75,61.5,69.0,85.5,28.5,54.5,67.25,66.25,49.22222222222222,56.111111111111114,69.44444444444444,91.55555555555556,60.666666666666664,40.44444444444444,83.11111111111111,83.11111111111111,90.61538461538461,77.0,19.307692307692307,70.38461538461539,84.23076923076923,82.6923076923077,53.30769230769231
Equality,3.5,17.583333333333332,92.5,91.75,77.75,85.5,48.5,94.58333333333333,17.583333333333332,42.0,6.416666666666667,47.5,59.25,50.5,80.91666666666667,65.75,77.33333333333333,60.833333333333336,58.666666666666664,7.5,34.5,6.5,96.0,63.833333333333336,75.42857142857143,68.14285714285714,5.428571428571429,17.142857142857142,23.142857142857142,26.285714285714285,29.285714285714285,28.285714285714285,15.125,91.375,69.875,45.875,53.125,40.25,59.875,56.5,72.6,65.2,73.8,18.6,16.8,21.8,43.0,21.0,4.142857142857143,8.428571428571429,11.714285714285714,54.57142857142857,13.714285714285714,37.857142857142854,28.285714285714285,35.57142857142857,20.857142857142858,47.285714285714285,21.142857142857142,24.214285714285715,8.928571428571429,47.285714285714285,21.285714285714285,30.642857142857142,9.875,56.0,40.0,31.75,32.0,20.125,39.875,37.75,67.6,27.4,28.4,49.6,42.6,45.4,27.4,5.0,19.7,15.0,78.5,16.8,52.3,16.0,0.7,52.7,49.583333333333336,52.0,59.333333333333336,20.5,25.833333333333332,41.583333333333336,18.25,12.0,81.6,89.4,71.8,53.2,56.8,17.7,31.8,23.5,20.2,21.533333333333335,22.2,23.0,77.06666666666666,81.66666666666667,86.66666666666667,64.2,70.125,41.75,42.0,25.375,24.5,16.875,42.125,41.875,38.0,11.5,20.9,40.3,16.3,93.3,74.0,19.5,98.33333333333333,77.11111111111111,72.77777777777777,45.55555555555556,89.33333333333333,66.0,92.55555555555556,93.0,72.0,85.25,72.75,87.0,59.5,19.25,47.25,53.25,79.77777777777777,79.55555555555556,6.777777777777778,12.333333333333334,86.11111111111111,12.333333333333334,80.66666666666667,93.33333333333333,77.3076923076923,75.3076923076923,67.0,62.07692307692308,74.0,82.3076923076923,51.30769230769231
Activity Intensity,94.16666666666667,71.83333333333333,95.58333333333333,96.83333333333333,74.75,24.833333333333332,31.0,50.333333333333336,56.833333333333336,17.583333333333332,39.666666666666664,34.916666666666664,70.75,26.5,61.833333333333336,45.75,51.166666666666664,24.833333333333332,41.5,53.5,57.5,46.833333333333336,97.0,30.333333333333332,56.285714285714285,50.142857142857146,96.71428571428571,90.42857142857143,68.57142857142857,76.57142857142857,46.57142857142857,60.142857142857146,55.625,95.25,73.0,57.875,71.875,39.375,16.5,61.375,83.8,75.8,63.2,27.4,24.4,32.2,34.0,28.6,43.142857142857146,42.857142857142854,50.714285714285715,31.142857142857142,42.57142857142857,49.857142857142854,10.571428571428571,6.428571428571429,54.714285714285715,26.0,33.214285714285715,40.857142857142854,37.285714285714285,43.357142857142854,20.785714285714285,25.714285714285715,40.25,23.625,23.875,19.875,24.75,39.125,52.625,71.625,2.2,65.6,68.6,48.6,43.6,42.8,29.6,46.8,77.4,40.3,49.3,34.8,29.1,20.5,46.0,32.7,40.916666666666664,53.5,34.25,36.833333333333336,71.41666666666667,59.666666666666664,32.416666666666664,57.666666666666664,50.1,43.1,48.8,65.8,28.2,33.8,36.4,16.8,24.133333333333333,51.266666666666666,48.53333333333333,16.533333333333335,50.86666666666667,63.53333333333333,76.06666666666666,60.0,47.125,80.5,78.875,31.375,25.125,54.0,39.875,35.75,42.8,31.8,39.5,24.9,58.6,80.0,42.3,36.5,76.88888888888889,33.333333333333336,54.0,30.444444444444443,90.22222222222223,35.888888888888886,95.55555555555556,93.88888888888889,19.5,47.5,64.75,61.0,38.25,27.75,71.5,72.5,56.333333333333336,69.0,70.55555555555556,93.88888888888889,50.77777777777778,41.55555555555556,70.33333333333333,94.66666666666667,73.53846153846153,62.23076923076923,29.0,56.15384615384615,88.3076923076923,79.3076923076923,63.0
Socioemotional,99.08333333333333,95.66666666666667,96.25,98.0,94.16666666666667,26.833333333333332,50.166666666666664,76.16666666666667,23.0,22.833333333333332,22.416666666666668,33.416666666666664,49.083333333333336,10.083333333333334,48.25,24.75,14.666666666666666,9.166666666666666,42.333333333333336,25.666666666666668,33.166666666666664,16.0,95.0,47.0,47.714285714285715,63.0,95.28571428571429,86.57142857142857,73.71428571428571,78.0,60.142857142857146,73.57142857142857,76.375,95.25,79.375,71.375,78.25,42.125,34.25,68.5,66.4,72.2,69.4,12.2,10.0,12.8,24.8,12.2,16.571428571428573,8.0,24.714285714285715,9.428571428571429,22.857142857142858,19.285714285714285,4.142857142857143,9.714285714285714,15.285714285714286,39.42857142857143,17.214285714285715,30.285714285714285,26.214285714285715,24.142857142857142,10.071428571428571,30.428571428571427,24.875,11.75,10.375,25.5,9.125,35.125,27.25,55.25,13.0,39.0,39.2,23.4,8.4,10.6,2.0,9.2,51.9,56.2,64.4,13.9,12.4,4.9,22.4,49.1,16.416666666666668,65.08333333333333,7.5,29.333333333333332,36.166666666666664,56.666666666666664,14.166666666666666,76.83333333333333,21.9,30.0,50.6,32.3,9.9,17.7,19.2,6.1,11.866666666666667,39.0,34.0,13.6,56.06666666666667,62.733333333333334,75.06666666666666,56.06666666666667,60.625,82.5,82.625,25.125,20.125,34.875,41.375,28.0,41.8,45.4,48.1,23.9,41.5,86.4,54.8,43.0,81.88888888888889,52.44444444444444,55.888888888888886,27.444444444444443,85.88888888888889,47.333333333333336,85.0,81.11111111111111,32.25,61.5,72.0,67.0,53.0,17.75,82.5,84.0,61.888888888888886,75.77777777777777,75.66666666666667,99.33333333333333,44.77777777777778,15.777777777777779,66.44444444444444,96.33333333333333,72.15384615384616,37.69230769230769,16.384615384615383,64.53846153846153,80.6923076923077,78.38461538461539,27.76923076923077
Formality and Regulation,9.916666666666666,8.833333333333334,5.666666666666667,6.666666666666667,4.75,57.083333333333336,57.25,17.583333333333332,81.75,78.83333333333333,64.75,64.91666666666667,57.583333333333336,58.083333333333336,61.166666666666664,65.66666666666667,81.0,71.0,33.833333333333336,69.16666666666667,65.33333333333333,56.666666666666664,17.833333333333332,30.166666666666668,27.714285714285715,23.857142857142858,17.571428571428573,27.142857142857142,25.857142857142858,27.428571428571427,20.714285714285715,27.428571428571427,46.875,12.5,25.375,43.5,11.625,43.75,71.875,24.875,8.8,22.4,10.8,81.6,68.2,80.8,62.4,81.0,71.28571428571429,73.0,64.28571428571429,87.14285714285714,67.85714285714286,84.85714285714286,84.42857142857143,49.142857142857146,34.857142857142854,55.642857142857146,57.42857142857143,70.42857142857143,25.642857142857142,58.214285714285715,68.28571428571429,79.14285714285714,83.375,83.25,69.375,67.625,83.25,82.0,58.875,29.125,55.4,62.8,49.8,61.4,72.4,48.6,76.8,97.8,34.4,65.0,39.2,23.0,81.6,82.6,35.9,53.4,90.0,44.916666666666664,74.08333333333333,35.166666666666664,71.16666666666667,65.08333333333333,77.75,37.416666666666664,63.1,53.1,15.0,27.5,97.1,88.6,81.0,87.5,78.0,71.6,67.73333333333333,80.46666666666667,32.13333333333333,32.13333333333333,22.666666666666668,39.266666666666666,23.25,31.625,32.25,93.625,78.0,80.5,57.0,64.625,62.3,20.5,17.4,55.9,11.8,17.3,29.6,29.1,7.333333333333333,32.111111111111114,9.11111111111111,83.0,14.444444444444445,42.77777777777778,14.88888888888889,17.555555555555557,64.75,32.5,57.75,19.25,16.25,61.75,43.25,40.75,7.111111111111111,8.555555555555555,31.666666666666668,3.888888888888889,33.666666666666664,97.11111111111111,17.0,7.777777777777778,27.0,27.307692307692307,66.6923076923077,20.692307692307693,26.384615384615383,23.076923076923077,73.46153846153847
Intimacy,94.08333333333333,81.25,100.0,99.5,80.83333333333333,13.583333333333334,32.916666666666664,50.333333333333336,20.25,11.916666666666666,14.833333333333334,34.833333333333336,42.333333333333336,15.583333333333334,35.416666666666664,23.666666666666668,4.0,5.166666666666667,8.833333333333334,21.833333333333332,21.166666666666668,15.666666666666666,77.33333333333333,32.333333333333336,23.714285714285715,43.714285714285715,98.71428571428571,86.0,50.285714285714285,51.0,39.0,46.42857142857143,37.625,98.5,86.5,46.75,65.125,42.125,21.5,57.5,78.8,64.4,75.8,11.4,12.0,14.6,9.4,15.0,2.142857142857143,2.5714285714285716,17.0,6.285714285714286,2.5714285714285716,10.142857142857142,2.7142857142857144,2.2857142857142856,42.857142857142854,33.214285714285715,8.714285714285714,18.5,32.714285714285715,29.571428571428573,9.857142857142858,21.071428571428573,16.5,16.25,3.875,8.25,12.25,31.625,17.25,52.125,2.8,39.4,44.2,20.2,6.2,13.0,6.0,10.0,62.6,16.9,32.8,77.5,10.2,8.2,28.7,13.1,12.333333333333334,46.166666666666664,10.083333333333334,76.0,40.25,57.083333333333336,13.583333333333334,68.25,14.3,13.3,29.2,22.5,10.7,8.6,10.2,9.2,12.666666666666666,25.666666666666668,23.266666666666666,7.333333333333333,42.06666666666667,50.4,63.46666666666667,48.266666666666666,32.0,65.375,62.875,11.75,17.375,18.125,23.875,18.5,13.5,15.7,15.5,8.4,23.6,69.2,37.5,21.5,74.44444444444444,36.111111111111114,66.22222222222223,10.555555555555555,95.33333333333333,34.666666666666664,94.88888888888889,84.77777777777777,11.5,35.5,37.5,37.5,12.0,8.0,64.75,64.25,34.77777777777778,46.111111111111114,51.111111111111114,88.77777777777777,25.444444444444443,17.22222222222222,57.666666666666664,98.33333333333333,55.61538461538461,37.38461538461539,14.923076923076923,51.23076923076923,78.15384615384616,80.53846153846153,32.92307692307692
Visibility,59.5,57.25,51.333333333333336,53.583333333333336,66.08333333333333,38.833333333333336,58.25,58.166666666666664,79.58333333333333,62.916666666666664,59.916666666666664,59.333333333333336,34.916666666666664,85.25,49.916666666666664,49.583333333333336,83.5,68.66666666666667,51.333333333333336,96.66666666666667,88.66666666666667,32.5,42.666666666666664,54.666666666666664,95.85714285714286,45.714285714285715,49.0,48.142857142857146,56.0,59.0,45.142857142857146,59.0,81.125,66.875,3.0,9.375,78.25,61.625,67.125,77.75,35.6,39.4,36.2,64.0,62.8,46.2,60.0,43.6,80.57142857142857,82.0,72.28571428571429,64.0,88.14285714285714,59.42857142857143,77.14285714285714,85.57142857142857,13.428571428571429,66.42857142857143,73.14285714285714,71.35714285714286,44.785714285714285,66.14285714285714,69.85714285714286,73.35714285714286,34.375,60.25,90.5,96.875,61.75,25.0,56.0,43.625,75.8,62.4,78.2,56.8,69.0,52.2,66.0,67.0,58.0,60.3,57.1,12.6,81.8,81.0,15.2,60.8,78.83333333333333,92.5,68.83333333333333,17.75,49.0,6.916666666666667,87.0,23.75,82.6,87.8,31.6,25.2,74.6,67.4,79.5,75.9,58.266666666666666,65.06666666666666,70.2,69.06666666666666,55.93333333333333,59.8,26.4,56.46666666666667,87.5,47.0,52.875,74.5,51.0,39.0,42.625,86.75,69.4,91.8,72.6,67.9,20.5,45.3,50.0,63.0,67.11111111111111,21.666666666666668,18.0,60.55555555555556,50.888888888888886,38.888888888888886,57.55555555555556,46.666666666666664,58.5,38.0,39.5,72.25,68.75,45.5,35.75,36.0,58.44444444444444,47.55555555555556,43.888888888888886,37.0,74.66666666666667,85.22222222222223,11.88888888888889,31.22222222222222,63.0,60.30769230769231,76.07692307692308,9.461538461538462,47.38461538461539,26.46153846153846,42.15384615384615
Communal Sharing,99.66666666666667,91.5,98.33333333333333,98.33333333333333,82.5,27.916666666666668,54.833333333333336,67.0,24.833333333333332,30.583333333333332,27.666666666666668,34.0,37.25,24.083333333333332,53.75,23.0,29.166666666666668,14.666666666666666,8.666666666666666,53.833333333333336,53.833333333333336,23.666666666666668,96.83333333333333,44.333333333333336,54.857142857142854,61.714285714285715,92.85714285714286,93.71428571428571,79.71428571428571,80.71428571428571,70.42857142857143,70.0,72.875,94.25,45.75,31.875,83.0,58.75,44.25,62.875,82.6,79.2,80.0,31.8,11.8,18.6,27.4,10.6,13.571428571428571,14.714285714285714,25.857142857142858,19.142857142857142,24.285714285714285,12.571428571428571,7.0,2.2857142857142856,19.285714285714285,60.0,23.928571428571427,27.428571428571427,21.642857142857142,24.785714285714285,17.571428571428573,41.57142857142857,4.75,13.0,2.375,3.625,3.375,11.625,31.625,29.625,19.8,47.2,73.4,43.0,9.4,31.4,29.4,36.2,50.5,34.6,53.4,2.6,24.6,28.3,20.8,32.7,21.5,39.75,19.083333333333332,17.0,40.0,26.25,22.666666666666668,69.41666666666667,41.0,25.8,21.4,27.3,35.2,29.2,25.8,27.0,25.466666666666665,46.733333333333334,45.86666666666667,20.266666666666666,60.06666666666667,64.86666666666666,71.73333333333333,57.13333333333333,62.75,76.375,79.125,16.5,7.375,9.75,40.0,12.125,43.3,46.0,23.0,37.1,27.7,79.2,52.2,38.1,75.33333333333333,52.77777777777778,53.44444444444444,15.0,91.66666666666667,40.666666666666664,95.33333333333333,85.88888888888889,28.75,62.5,60.5,65.5,38.0,13.5,80.0,79.0,57.888888888888886,79.44444444444444,77.0,98.22222222222223,49.111111111111114,16.333333333333332,68.11111111111111,89.77777777777777,62.0,56.0,23.692307692307693,47.30769230769231,87.84615384615384,72.3076923076923,40.84615384615385
Expected Reciprocity,7.333333333333333,17.583333333333332,61.333333333333336,62.75,46.5,63.333333333333336,52.833333333333336,45.666666666666664,76.16666666666667,53.166666666666664,17.833333333333332,56.416666666666664,64.25,71.16666666666667,83.33333333333333,50.0,51.166666666666664,50.833333333333336,36.5,43.5,47.333333333333336,33.5,93.83333333333333,50.666666666666664,65.57142857142857,36.0,36.714285714285715,39.857142857142854,30.428571428571427,36.57142857142857,25.285714285714285,27.428571428571427,41.25,98.875,58.875,33.25,72.625,58.625,39.125,57.375,57.0,55.4,35.4,39.4,44.6,40.2,37.2,39.2,69.0,63.285714285714285,60.714285714285715,90.71428571428571,51.857142857142854,61.142857142857146,37.0,3.2857142857142856,62.357142857142854,19.714285714285715,15.142857142857142,26.785714285714285,26.357142857142858,20.714285714285715,20.071428571428573,40.714285714285715,25.375,71.0,52.625,55.5,82.5,56.375,51.0,43.625,39.4,76.8,68.8,45.6,38.8,32.2,48.8,50.4,26.2,46.0,46.1,51.4,86.1,53.8,12.6,50.2,36.916666666666664,32.75,60.75,62.083333333333336,66.0,43.583333333333336,28.5,31.333333333333332,86.4,48.5,46.3,59.6,66.4,62.7,70.4,61.7,57.13333333333333,65.0,64.4,48.46666666666667,54.266666666666666,63.46666666666667,74.86666666666666,52.93333333333333,63.125,42.5,42.375,51.625,57.75,62.125,62.375,59.75,50.1,14.2,10.3,49.7,27.1,83.9,61.9,26.6,75.44444444444444,47.77777777777778,72.0,75.66666666666667,69.88888888888889,48.111111111111114,69.0,62.333333333333336,30.75,54.5,59.75,50.75,23.75,46.25,54.0,55.5,45.111111111111114,49.888888888888886,39.22222222222222,13.666666666666666,55.111111111111114,36.888888888888886,70.66666666666667,74.55555555555556,72.07692307692308,67.46153846153847,30.692307692307693,24.307692307692307,81.23076923076923,69.0,58.84615384615385
Strategic,2.1666666666666665,14.583333333333334,18.833333333333332,18.083333333333332,21.833333333333332,82.0,38.0,23.75,79.83333333333333,72.16666666666667,35.583333333333336,38.333333333333336,40.833333333333336,72.25,70.91666666666667,91.25,98.0,97.5,68.33333333333333,52.666666666666664,53.333333333333336,70.5,4.666666666666667,33.666666666666664,89.42857142857143,17.714285714285715,4.571428571428571,8.857142857142858,11.714285714285714,17.0,11.428571428571429,9.142857142857142,33.0,17.125,65.125,58.125,10.5,37.0,58.125,25.875,7.8,11.0,8.0,81.2,78.6,75.2,65.0,75.2,79.71428571428571,79.14285714285714,66.42857142857143,96.71428571428571,66.0,84.85714285714286,80.0,40.285714285714285,81.21428571428571,38.5,70.42857142857143,70.28571428571429,78.57142857142857,53.785714285714285,55.857142857142854,30.5,67.0,95.375,58.25,68.375,93.5,41.25,61.5,28.75,66.4,73.6,50.6,55.6,65.4,63.0,65.6,49.4,19.2,66.8,33.0,45.9,52.6,58.1,24.3,31.0,67.58333333333333,42.416666666666664,92.08333333333333,60.25,74.33333333333333,50.666666666666664,73.66666666666667,14.416666666666666,77.0,80.4,52.5,83.6,84.6,80.8,71.1,65.4,80.33333333333333,65.93333333333334,73.2,77.4,50.0,49.86666666666667,43.0,54.46666666666667,33.5,25.875,25.875,84.625,75.0,79.5,61.25,85.125,56.2,44.9,31.5,70.1,45.2,19.3,30.8,43.0,7.666666666666667,27.11111111111111,40.888888888888886,85.11111111111111,12.444444444444445,31.444444444444443,7.444444444444445,9.11111111111111,44.0,35.0,17.25,38.5,39.0,81.25,31.25,32.75,34.888888888888886,20.666666666666668,22.22222222222222,4.555555555555555,47.22222222222222,81.33333333333333,37.22222222222222,28.444444444444443,52.46153846153846,69.53846153846153,79.84615384615384,38.15384615384615,36.46153846153846,38.07692307692308,65.84615384615384
