,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,94.25,79.375,90.5,93.375,72.125,35.0,68.25,75.0,67.2,55.2,6.9,87.9,82.4,53.0,74.4,27.3,16.666666666666668,22.11111111111111,14.777777777777779,77.22222222222223,80.0,61.77777777777778,85.88888888888889,53.44444444444444,49.5,52.333333333333336,72.91666666666667,64.33333333333333,53.25,52.333333333333336,58.0,44.0,75.0,85.0,73.0,17.666666666666668,77.33333333333333,44.0,54.666666666666664,85.66666666666667,74.63636363636364,69.9090909090909,71.27272727272727,43.0,44.81818181818182,46.36363636363637,50.09090909090909,45.09090909090909,50.15384615384615,62.46153846153846,69.61538461538461,66.3076923076923,73.53846153846153,76.15384615384616,45.46153846153846,12.461538461538462,51.0,37.375,17.125,17.375,15.125,13.875,13.125,50.375,39.857142857142854,57.285714285714285,50.57142857142857,55.0,60.857142857142854,77.71428571428571,74.14285714285714,66.85714285714286,60.7,68.5,60.5,64.6,70.6,71.6,54.1,49.2,68.2,65.0,65.1,46.3,63.8,44.5,23.2,55.3,33.625,73.25,46.0,52.625,69.75,55.875,48.75,69.5,69.28571428571429,28.142857142857142,15.857142857142858,65.28571428571429,59.0,67.57142857142857,74.42857142857143,63.57142857142857,53.57142857142857,59.857142857142854,56.142857142857146,51.57142857142857,60.142857142857146,59.285714285714285,55.0,63.57142857142857,61.5,81.5,73.9,58.4,51.1,59.9,63.2,64.3,82.15384615384616,70.61538461538461,15.76923076923077,57.30769230769231,8.615384615384615,81.46153846153847,60.30769230769231,58.38461538461539,66.625,58.625,37.5,49.5,68.75,42.75,57.875,62.125,46.7,60.4,69.5,75.7,19.3,47.2,69.7,66.6,15.285714285714286,51.857142857142854,67.85714285714286,83.42857142857143,54.714285714285715,47.714285714285715,74.85714285714286,74.28571428571429,55.42857142857143,78.0,24.714285714285715,54.0,65.28571428571429,72.85714285714286,72.57142857142857
Equality,15.625,16.0,77.5,78.75,80.0,50.375,46.125,71.5,23.1,16.6,3.4,35.1,22.3,47.8,87.1,47.8,61.44444444444444,64.66666666666667,52.77777777777778,18.88888888888889,24.333333333333332,16.666666666666668,71.66666666666667,60.55555555555556,70.83333333333333,54.083333333333336,37.25,33.333333333333336,28.25,35.5,40.083333333333336,34.166666666666664,18.666666666666668,78.33333333333333,36.333333333333336,22.333333333333332,60.0,51.166666666666664,73.5,74.83333333333333,76.36363636363636,51.0,48.81818181818182,29.636363636363637,29.90909090909091,35.54545454545455,24.181818181818183,33.90909090909091,27.153846153846153,18.76923076923077,18.23076923076923,47.53846153846154,26.53846153846154,27.307692307692307,37.69230769230769,15.23076923076923,32.5,27.125,15.125,10.75,11.25,37.375,15.625,22.625,27.571428571428573,30.428571428571427,33.714285714285715,41.142857142857146,46.0,42.0,43.0,35.714285714285715,52.2,34.1,28.2,28.5,24.5,20.8,23.7,16.0,27.7,17.5,60.1,24.8,46.4,32.3,12.4,53.0,41.5,54.0,50.75,26.125,42.125,61.125,46.125,34.75,73.42857142857143,67.42857142857143,38.142857142857146,52.57142857142857,63.857142857142854,30.571428571428573,30.571428571428573,14.857142857142858,26.857142857142858,22.857142857142858,28.714285714285715,51.142857142857146,75.0,63.142857142857146,70.28571428571429,66.42857142857143,58.7,70.1,64.1,43.9,28.7,27.7,47.3,48.0,58.69230769230769,22.923076923076923,24.384615384615383,37.46153846153846,14.0,82.3076923076923,72.3076923076923,38.61538461538461,65.625,54.75,38.875,37.5,56.875,31.25,64.25,60.875,55.4,63.5,66.0,66.9,55.1,23.5,29.8,29.0,65.28571428571429,63.857142857142854,24.0,30.285714285714285,73.42857142857143,10.857142857142858,64.14285714285714,75.57142857142857,54.714285714285715,73.14285714285714,47.57142857142857,38.714285714285715,73.57142857142857,76.85714285714286,73.0
Activity Intensity,97.875,79.75,90.5,95.375,93.75,45.875,53.25,51.75,77.0,20.1,44.0,58.8,54.3,17.0,79.9,39.1,33.888888888888886,26.22222222222222,42.111111111111114,51.0,64.66666666666667,67.44444444444444,74.66666666666667,31.11111111111111,57.666666666666664,35.583333333333336,73.25,56.166666666666664,48.833333333333336,56.166666666666664,42.5,36.0,24.666666666666668,94.0,62.333333333333336,14.166666666666666,79.5,52.5,36.0,90.0,79.63636363636364,52.36363636363637,53.0,39.72727272727273,27.545454545454547,33.09090909090909,26.545454545454547,39.90909090909091,35.53846153846154,50.46153846153846,50.84615384615385,29.307692307692307,37.69230769230769,43.76923076923077,28.846153846153847,12.384615384615385,38.25,18.25,24.5,21.125,19.375,25.375,15.375,22.625,55.285714285714285,46.714285714285715,34.714285714285715,55.42857142857143,52.142857142857146,57.142857142857146,66.42857142857143,70.14285714285714,27.0,54.6,46.9,40.6,33.5,38.8,28.4,37.3,69.4,61.0,57.4,23.5,33.4,38.2,45.6,32.8,44.875,29.625,31.0,40.5,67.125,55.25,37.625,46.5,53.142857142857146,39.857142857142854,39.857142857142854,63.285714285714285,50.42857142857143,53.285714285714285,65.42857142857143,19.571428571428573,54.57142857142857,49.714285714285715,54.857142857142854,36.57142857142857,55.57142857142857,65.28571428571429,65.71428571428571,61.714285714285715,73.1,79.3,79.2,40.8,26.3,40.8,47.8,35.1,51.61538461538461,38.84615384615385,23.307692307692307,24.23076923076923,47.92307692307692,72.53846153846153,48.38461538461539,28.23076923076923,45.5,26.5,37.75,42.875,63.25,38.375,64.5,59.875,10.8,32.0,55.5,47.7,36.8,34.6,59.9,58.7,42.57142857142857,55.42857142857143,63.42857142857143,73.28571428571429,35.714285714285715,34.0,59.714285714285715,63.57142857142857,46.285714285714285,74.14285714285714,34.142857142857146,50.714285714285715,70.71428571428571,65.28571428571429,73.42857142857143
Socioemotional,93.75,85.75,89.875,89.375,87.125,28.375,57.25,64.0,26.4,12.4,11.5,48.6,41.4,10.3,44.9,15.0,20.333333333333332,20.11111111111111,28.444444444444443,27.88888888888889,29.77777777777778,30.11111111111111,84.44444444444444,37.111111111111114,62.166666666666664,47.25,70.5,74.66666666666667,50.583333333333336,54.5,54.666666666666664,48.166666666666664,69.0,88.83333333333333,69.16666666666667,74.83333333333333,86.33333333333333,65.5,53.5,86.5,85.0909090909091,64.18181818181819,73.0909090909091,23.09090909090909,23.272727272727273,19.545454545454547,23.363636363636363,16.545454545454547,14.923076923076923,17.76923076923077,20.846153846153847,23.384615384615383,23.53846153846154,17.076923076923077,15.384615384615385,51.23076923076923,20.375,21.125,14.625,13.875,23.625,18.625,13.25,26.5,36.285714285714285,36.285714285714285,41.0,30.714285714285715,29.285714285714285,41.142857142857146,31.285714285714285,62.285714285714285,18.8,40.3,31.2,38.3,25.6,34.5,22.0,25.0,53.5,58.4,46.6,35.6,44.9,36.2,36.1,59.4,26.125,59.75,23.0,43.625,43.75,33.875,22.0,73.375,24.428571428571427,20.571428571428573,25.714285714285715,27.857142857142858,19.428571428571427,25.0,34.714285714285715,13.142857142857142,30.428571428571427,28.714285714285715,29.428571428571427,20.714285714285715,64.85714285714286,61.57142857142857,66.28571428571429,63.0,66.5,74.6,73.9,37.3,32.1,37.5,46.5,37.0,44.30769230769231,49.38461538461539,30.0,19.692307692307693,34.07692307692308,77.6923076923077,59.76923076923077,47.30769230769231,53.25,36.5,34.25,26.375,58.375,42.25,60.625,59.25,25.2,42.9,64.1,57.7,45.1,26.3,55.6,53.9,24.428571428571427,61.57142857142857,62.714285714285715,77.0,36.285714285714285,14.571428571428571,59.142857142857146,60.0,44.57142857142857,75.57142857142857,37.0,65.14285714285714,53.142857142857146,78.71428571428571,67.42857142857143
Formality and Regulation,10.375,16.125,15.875,12.625,12.25,56.0,37.0,25.125,89.8,91.7,94.5,64.5,69.1,80.5,43.6,69.5,72.22222222222223,74.11111111111111,48.0,64.0,65.55555555555556,69.11111111111111,29.11111111111111,38.111111111111114,43.5,33.416666666666664,22.0,16.583333333333332,31.083333333333332,30.666666666666668,30.583333333333332,25.25,51.0,40.333333333333336,9.666666666666666,8.666666666666666,25.0,36.833333333333336,44.166666666666664,38.666666666666664,16.727272727272727,25.454545454545453,17.636363636363637,65.63636363636364,68.63636363636364,72.36363636363636,63.18181818181818,65.9090909090909,69.61538461538461,75.23076923076923,68.76923076923077,74.23076923076923,65.23076923076923,77.6923076923077,83.46153846153847,19.76923076923077,16.75,37.125,67.25,72.375,13.5,71.5,61.375,62.625,83.28571428571429,68.85714285714286,62.142857142857146,58.285714285714285,66.57142857142857,75.57142857142857,57.142857142857146,41.714285714285715,69.3,59.5,56.1,62.9,73.6,53.8,76.9,67.0,63.8,76.0,52.4,43.3,68.6,72.5,44.5,37.2,64.75,64.375,64.25,34.0,48.875,50.0,59.0,32.75,83.14285714285714,74.28571428571429,35.714285714285715,14.142857142857142,69.14285714285714,79.57142857142857,73.42857142857143,81.28571428571429,75.57142857142857,73.71428571428571,68.28571428571429,74.71428571428571,42.285714285714285,43.857142857142854,34.42857142857143,45.142857142857146,33.9,43.0,40.7,70.9,74.2,64.5,62.5,74.3,54.61538461538461,52.0,35.76923076923077,68.6923076923077,9.307692307692308,11.0,32.69230769230769,47.92307692307692,23.625,42.75,15.625,65.375,31.625,37.875,31.875,29.75,46.3,46.5,37.1,33.8,31.6,63.2,27.3,28.5,34.57142857142857,25.142857142857142,26.571428571428573,35.42857142857143,37.42857142857143,54.142857142857146,34.57142857142857,46.57142857142857,49.57142857142857,21.0,58.142857142857146,36.285714285714285,22.857142857142858,12.285714285714286,14.142857142857142
Intimacy,91.625,80.25,91.625,94.125,60.0,19.125,33.125,28.375,30.7,6.8,15.6,32.0,24.7,5.3,46.8,12.1,12.777777777777779,10.0,18.555555555555557,25.0,21.77777777777778,27.0,53.22222222222222,21.77777777777778,45.583333333333336,31.083333333333332,72.16666666666667,61.833333333333336,44.916666666666664,49.916666666666664,38.75,41.0,25.666666666666668,97.33333333333333,80.0,3.8333333333333335,77.66666666666667,56.333333333333336,43.833333333333336,81.33333333333333,71.63636363636364,46.81818181818182,62.90909090909091,29.0,24.363636363636363,18.636363636363637,22.818181818181817,18.545454545454547,14.615384615384615,20.076923076923077,26.384615384615383,17.846153846153847,21.76923076923077,21.53846153846154,18.076923076923077,17.76923076923077,26.25,16.125,11.125,11.0,10.125,16.125,10.875,13.875,24.0,28.428571428571427,31.428571428571427,32.857142857142854,29.0,48.57142857142857,37.57142857142857,59.42857142857143,21.2,42.6,32.4,21.8,19.1,26.4,13.2,13.1,56.8,38.9,40.4,46.9,28.3,23.7,19.7,38.8,19.875,33.25,25.0,50.75,49.375,35.75,18.75,59.875,36.714285714285715,23.714285714285715,15.571428571428571,36.0,22.428571428571427,22.0,27.285714285714285,14.0,31.142857142857142,36.142857142857146,38.714285714285715,29.428571428571427,46.857142857142854,48.714285714285715,44.285714285714285,48.285714285714285,57.3,81.2,72.9,33.4,28.8,30.4,40.1,33.5,35.84615384615385,39.38461538461539,17.0,22.53846153846154,9.384615384615385,73.92307692307692,51.92307692307692,41.07692307692308,39.375,27.5,41.0,27.375,68.0,46.875,48.75,56.75,15.1,30.0,43.9,60.1,26.8,21.6,56.8,54.9,22.0,63.285714285714285,77.85714285714286,73.14285714285714,45.57142857142857,25.0,55.857142857142854,68.42857142857143,41.714285714285715,68.71428571428571,31.428571428571427,42.42857142857143,65.0,72.14285714285714,68.28571428571429
Visibility,18.375,20.5,19.25,16.875,19.25,46.25,48.625,45.75,89.7,91.0,68.4,71.2,74.9,80.0,46.8,67.5,71.44444444444444,68.66666666666667,47.55555555555556,70.33333333333333,64.66666666666667,27.666666666666668,29.444444444444443,53.77777777777778,68.5,40.0,50.416666666666664,53.0,42.083333333333336,41.75,52.916666666666664,44.833333333333336,60.5,39.5,3.1666666666666665,28.166666666666668,52.666666666666664,44.166666666666664,52.666666666666664,52.5,27.818181818181817,36.09090909090909,15.909090909090908,75.0909090909091,65.63636363636364,62.54545454545455,59.27272727272727,61.54545454545455,75.46153846153847,76.92307692307692,71.76923076923077,71.76923076923077,74.38461538461539,64.84615384615384,76.53846153846153,17.692307692307693,12.625,31.875,46.25,53.375,29.375,45.0,39.625,51.375,66.85714285714286,57.714285714285715,66.85714285714286,70.28571428571429,51.142857142857146,44.42857142857143,56.57142857142857,34.714285714285715,76.0,66.4,57.7,59.1,68.7,57.8,70.0,65.3,54.7,66.7,54.8,17.9,66.5,65.9,26.7,58.3,74.375,77.625,65.875,32.25,67.75,46.125,82.0,35.75,81.85714285714286,79.14285714285714,24.714285714285715,19.428571428571427,73.71428571428571,80.57142857142857,80.14285714285714,78.85714285714286,60.714285714285715,51.0,69.0,52.0,56.285714285714285,49.0,37.714285714285715,58.285714285714285,42.0,46.0,47.6,49.8,49.2,47.9,57.8,71.7,69.38461538461539,72.76923076923077,51.30769230769231,77.53846153846153,23.076923076923077,30.307692307692307,50.15384615384615,61.69230769230769,55.875,35.25,8.375,57.875,44.0,44.25,35.75,33.75,55.7,51.0,51.7,44.8,38.8,53.2,40.2,41.8,42.857142857142854,45.857142857142854,38.42857142857143,41.857142857142854,55.857142857142854,67.0,39.57142857142857,40.57142857142857,69.0,25.428571428571427,69.85714285714286,29.714285714285715,24.714285714285715,21.0,27.142857142857142
Communal Sharing,94.5,88.0,91.375,92.625,77.5,24.375,52.0,57.875,34.5,25.0,9.6,57.1,55.3,8.9,68.2,26.6,22.666666666666668,9.0,7.888888888888889,45.22222222222222,44.111111111111114,27.11111111111111,68.88888888888889,24.333333333333332,63.5,53.416666666666664,74.91666666666667,68.83333333333333,58.916666666666664,55.333333333333336,52.25,51.5,66.33333333333333,95.83333333333333,32.166666666666664,13.666666666666666,75.83333333333333,58.833333333333336,43.833333333333336,78.66666666666667,76.81818181818181,56.63636363636363,67.63636363636364,23.727272727272727,20.727272727272727,21.727272727272727,21.0,19.181818181818183,21.153846153846153,23.0,26.307692307692307,19.76923076923077,24.384615384615383,21.23076923076923,23.846153846153847,17.923076923076923,14.5,24.625,16.0,18.125,10.625,18.75,14.0,18.125,32.142857142857146,24.428571428571427,26.0,24.714285714285715,34.142857142857146,28.714285714285715,51.0,36.285714285714285,23.6,47.7,32.3,36.5,30.6,41.8,24.6,30.3,36.0,34.6,64.3,25.1,24.7,25.7,35.0,41.7,20.5,32.125,17.75,42.0,54.375,34.25,22.5,49.0,43.142857142857146,34.42857142857143,11.142857142857142,48.142857142857146,43.0,36.57142857142857,51.857142857142854,25.714285714285715,37.714285714285715,34.57142857142857,41.714285714285715,26.714285714285715,52.285714285714285,50.857142857142854,56.42857142857143,54.42857142857143,33.1,79.6,68.4,36.8,22.4,37.0,44.5,29.6,61.61538461538461,41.15384615384615,25.846153846153847,28.153846153846153,17.76923076923077,78.92307692307692,54.23076923076923,40.46153846153846,47.25,42.25,32.5,28.0,67.625,28.125,61.375,58.75,15.2,42.1,47.1,39.3,24.3,34.8,58.1,55.0,27.428571428571427,63.285714285714285,77.42857142857143,67.0,45.714285714285715,20.142857142857142,66.71428571428571,61.714285714285715,60.0,77.28571428571429,39.0,43.142857142857146,64.0,79.14285714285714,73.85714285714286
Expected Reciprocity,39.25,37.75,58.625,60.75,58.625,53.0,56.625,60.875,68.9,28.9,24.3,37.6,30.3,47.7,64.9,41.6,48.333333333333336,53.44444444444444,29.666666666666668,34.77777777777778,37.55555555555556,32.888888888888886,48.55555555555556,46.666666666666664,72.41666666666667,39.5,28.916666666666668,31.0,31.0,30.166666666666668,37.25,28.5,32.833333333333336,66.66666666666667,70.83333333333333,25.833333333333332,52.333333333333336,56.5,63.666666666666664,61.666666666666664,27.181818181818183,42.45454545454545,19.363636363636363,69.54545454545455,60.90909090909091,60.27272727272727,61.09090909090909,62.45454545454545,68.15384615384616,70.84615384615384,68.92307692307692,70.76923076923077,61.30769230769231,64.84615384615384,62.15384615384615,31.46153846153846,53.75,23.75,20.5,17.125,21.625,25.625,19.125,32.0,33.142857142857146,40.142857142857146,46.0,44.285714285714285,49.0,44.42857142857143,39.142857142857146,37.857142857142854,48.3,63.9,68.3,53.4,61.6,37.3,53.8,39.8,44.0,41.7,54.7,55.3,51.8,43.7,23.0,42.5,33.0,33.625,52.375,63.0,60.625,33.5,48.0,37.0,76.57142857142857,44.42857142857143,26.428571428571427,60.57142857142857,69.57142857142857,58.857142857142854,74.71428571428571,44.285714285714285,62.57142857142857,63.42857142857143,62.857142857142854,55.285714285714285,35.714285714285715,29.142857142857142,39.0,50.42857142857143,50.0,60.2,63.9,48.3,59.4,46.0,46.5,47.7,44.76923076923077,33.0,29.76923076923077,51.61538461538461,21.076923076923077,45.15384615384615,48.69230769230769,40.23076923076923,46.25,51.5,29.125,49.25,55.125,36.125,48.625,47.875,38.6,55.7,48.7,51.6,39.3,45.3,27.9,30.3,48.42857142857143,41.285714285714285,39.857142857142854,31.0,57.285714285714285,60.285714285714285,41.57142857142857,58.857142857142854,65.57142857142857,41.142857142857146,55.42857142857143,40.714285714285715,37.42857142857143,51.142857142857146,42.42857142857143
Strategic,12.25,28.25,29.125,17.5,37.625,73.375,35.375,31.125,55.8,53.1,63.6,25.0,31.0,68.6,47.8,85.2,79.33333333333333,79.11111111111111,70.55555555555556,31.88888888888889,40.55555555555556,35.0,10.11111111111111,29.88888888888889,67.08333333333333,34.75,22.75,21.833333333333332,32.75,19.5,28.75,24.333333333333332,16.333333333333332,20.833333333333332,50.666666666666664,85.5,18.5,32.5,36.666666666666664,25.166666666666668,18.727272727272727,30.727272727272727,17.727272727272727,55.27272727272727,61.36363636363637,64.18181818181819,55.18181818181818,62.27272727272727,62.92307692307692,63.69230769230769,56.30769230769231,66.92307692307692,50.0,63.69230769230769,60.38461538461539,47.92307692307692,48.125,40.125,61.625,64.875,63.625,58.375,59.5,38.75,39.857142857142854,49.285714285714285,44.714285714285715,51.0,58.57142857142857,41.285714285714285,35.42857142857143,31.571428571428573,57.9,49.6,57.7,57.3,62.5,50.1,59.4,44.6,29.5,57.7,37.1,62.8,65.6,48.3,52.1,39.1,61.75,36.0,70.5,56.875,44.625,56.0,39.375,25.875,61.285714285714285,86.28571428571429,73.57142857142857,74.71428571428571,63.142857142857146,59.0,53.42857142857143,58.285714285714285,44.57142857142857,47.285714285714285,54.42857142857143,43.285714285714285,36.285714285714285,42.857142857142854,34.0,49.142857142857146,40.1,26.5,30.4,60.5,77.6,49.1,53.0,76.5,42.92307692307692,46.92307692307692,57.15384615384615,61.23076923076923,58.76923076923077,29.076923076923077,37.84615384615385,54.61538461538461,22.625,25.875,36.0,73.0,28.875,31.875,18.375,16.625,33.1,36.5,35.3,32.3,41.9,59.1,13.0,16.8,65.28571428571429,44.142857142857146,34.857142857142854,33.142857142857146,53.142857142857146,58.0,37.714285714285715,33.57142857142857,43.857142857142854,26.142857142857142,71.14285714285714,50.0,39.857142857142854,24.285714285714285,26.428571428571427
