,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,85.25,78.625,76.625,80.0,62.375,20.0,65.875,68.5,73.38461538461539,66.76923076923077,27.923076923076923,86.07692307692308,91.3076923076923,67.0,77.92307692307692,19.615384615384617,28.4,14.4,11.0,82.8,84.0,56.2,92.2,60.8,71.53846153846153,48.53846153846154,80.38461538461539,78.46153846153847,55.0,66.15384615384616,68.15384615384616,54.53846153846154,72.45454545454545,73.63636363636364,63.18181818181818,20.09090909090909,56.63636363636363,49.90909090909091,42.45454545454545,70.18181818181819,76.8,75.1,72.5,64.5,59.4,46.5,51.0,52.8,57.5,61.9,61.5,61.1,70.3,72.7,51.3,4.0,38.333333333333336,62.0,8.0,14.333333333333334,2.0,19.333333333333332,34.666666666666664,95.33333333333333,35.4,58.7,63.2,64.9,61.6,82.4,67.9,66.2,70.70588235294117,74.88235294117646,71.23529411764706,51.705882352941174,58.76470588235294,70.23529411764706,59.88235294117647,53.8235294117647,84.81818181818181,61.81818181818182,64.63636363636364,59.54545454545455,78.9090909090909,43.36363636363637,4.181818181818182,73.54545454545455,40.2,75.0,43.1,75.9,64.8,89.8,41.9,51.6,64.0,12.916666666666666,22.75,53.75,43.0,62.416666666666664,66.58333333333333,62.166666666666664,66.57142857142857,73.64285714285714,59.785714285714285,50.214285714285715,60.285714285714285,54.785714285714285,70.5,60.5,70.625,67.125,65.75,50.875,28.625,45.875,66.875,43.75,78.18181818181819,69.72727272727273,11.636363636363637,74.9090909090909,9.636363636363637,90.0,60.27272727272727,57.90909090909091,85.28571428571429,67.14285714285714,60.42857142857143,39.142857142857146,90.42857142857143,26.571428571428573,88.0,88.71428571428571,39.857142857142854,60.42857142857143,77.28571428571429,85.57142857142857,13.428571428571429,47.142857142857146,79.57142857142857,78.14285714285714,27.125,43.0,42.625,82.75,49.0,42.25,62.0,73.5,73.88888888888889,72.33333333333333,18.88888888888889,87.77777777777777,75.88888888888889,91.55555555555556,51.888888888888886
Equality,18.125,23.0,88.0,88.75,64.25,64.5,60.625,75.375,21.153846153846153,17.076923076923077,6.3076923076923075,39.76923076923077,51.61538461538461,66.6923076923077,88.84615384615384,71.6923076923077,79.4,93.8,92.0,12.8,11.4,8.8,98.2,95.0,79.15384615384616,85.61538461538461,31.0,33.53846153846154,32.46153846153846,24.615384615384617,42.76923076923077,28.76923076923077,9.181818181818182,86.9090909090909,62.09090909090909,27.454545454545453,44.0,52.90909090909091,41.18181818181818,60.54545454545455,86.0,65.7,85.1,32.7,32.8,34.3,37.9,30.5,31.9,19.3,12.8,53.0,33.4,46.0,16.6,29.7,1.6666666666666667,63.333333333333336,9.333333333333334,1.6666666666666667,2.3333333333333335,24.666666666666668,34.333333333333336,51.0,17.0,35.3,48.7,53.1,44.6,39.3,45.4,51.9,58.588235294117645,32.588235294117645,36.11764705882353,32.411764705882355,45.35294117647059,17.941176470588236,58.05882352941177,18.705882352941178,15.909090909090908,25.0,84.0,26.636363636363637,40.0,21.545454545454547,3.3636363636363638,69.36363636363636,45.0,63.9,62.3,73.4,24.6,64.2,30.1,24.2,83.33333333333333,80.16666666666667,67.08333333333333,39.5,47.083333333333336,20.083333333333332,25.75,17.25,35.785714285714285,26.0,28.785714285714285,43.357142857142854,82.78571428571429,77.78571428571429,77.14285714285714,69.85714285714286,80.625,44.125,42.625,29.25,14.125,13.375,41.875,42.375,19.636363636363637,17.0,19.818181818181817,82.0,23.454545454545453,96.81818181818181,83.0909090909091,52.45454545454545,88.85714285714286,84.85714285714286,85.28571428571429,28.571428571428573,95.57142857142857,53.714285714285715,93.85714285714286,90.0,64.28571428571429,78.42857142857143,72.0,91.28571428571429,77.85714285714286,11.857142857142858,48.714285714285715,46.285714285714285,22.125,54.875,29.25,56.375,57.25,12.875,75.375,82.5,87.77777777777777,90.66666666666667,62.44444444444444,84.33333333333333,72.66666666666667,91.77777777777777,48.44444444444444
Activity Intensity,88.75,75.5,91.0,91.25,73.625,21.5,38.0,60.75,57.53846153846154,12.538461538461538,43.69230769230769,54.61538461538461,73.0,27.923076923076923,72.92307692307692,27.153846153846153,27.2,34.0,38.4,64.8,65.0,47.8,78.6,51.2,77.38461538461539,39.92307692307692,94.46153846153847,85.84615384615384,66.15384615384616,78.38461538461539,68.84615384615384,53.69230769230769,56.72727272727273,94.27272727272727,50.72727272727273,26.636363636363637,84.81818181818181,59.90909090909091,28.09090909090909,85.27272727272727,80.5,61.4,73.9,39.8,41.8,42.9,35.9,39.8,67.5,53.3,61.8,49.8,69.1,64.7,39.6,3.5,26.333333333333332,40.666666666666664,19.333333333333332,7.333333333333333,16.333333333333332,16.333333333333332,21.333333333333332,27.333333333333332,39.1,42.3,51.7,45.3,56.6,56.4,78.5,57.6,18.941176470588236,76.52941176470588,77.29411764705883,44.76470588235294,26.88235294117647,41.588235294117645,35.588235294117645,45.529411764705884,72.72727272727273,53.63636363636363,55.90909090909091,23.0,24.0,39.45454545454545,23.272727272727273,30.181818181818183,30.1,29.8,26.1,75.8,54.8,60.6,31.2,38.5,65.25,26.5,36.5,44.916666666666664,43.25,48.833333333333336,59.583333333333336,42.166666666666664,32.5,57.285714285714285,46.285714285714285,30.571428571428573,55.785714285714285,54.92857142857143,64.28571428571429,63.857142857142854,82.375,59.625,62.125,29.375,10.125,13.875,30.125,18.0,48.36363636363637,16.454545454545453,5.454545454545454,32.63636363636363,30.0,97.27272727272727,44.36363636363637,28.818181818181817,84.85714285714286,54.714285714285715,49.285714285714285,19.571428571428573,95.57142857142857,24.571428571428573,89.85714285714286,90.57142857142857,6.0,34.57142857142857,46.142857142857146,39.0,12.428571428571429,35.42857142857143,80.28571428571429,77.71428571428571,7.5,59.375,63.625,96.75,31.625,26.375,63.5,72.75,61.44444444444444,56.55555555555556,26.666666666666668,88.22222222222223,79.22222222222223,87.11111111111111,62.666666666666664
Socioemotional,93.125,86.125,89.125,90.875,86.625,13.875,42.5,72.875,17.0,6.3076923076923075,11.076923076923077,39.53846153846154,58.53846153846154,16.923076923076923,37.15384615384615,10.0,28.2,7.8,39.2,13.6,12.0,15.2,98.2,72.6,49.61538461538461,68.3076923076923,88.6923076923077,87.0,63.92307692307692,72.92307692307692,74.23076923076923,59.23076923076923,65.9090909090909,80.63636363636364,69.72727272727273,39.09090909090909,75.0909090909091,71.63636363636364,47.81818181818182,75.81818181818181,87.4,78.6,87.6,28.6,28.5,29.2,37.3,28.9,37.1,30.0,30.0,30.2,41.0,48.4,24.7,45.8,41.333333333333336,39.0,2.3333333333333335,2.0,8.666666666666666,5.0,15.0,24.666666666666668,21.4,23.7,20.7,18.5,23.4,43.8,47.8,70.1,15.764705882352942,57.705882352941174,58.1764705882353,35.705882352941174,30.705882352941178,47.64705882352941,36.294117647058826,27.176470588235293,48.0,69.0,66.63636363636364,14.545454545454545,12.545454545454545,18.0,13.727272727272727,23.272727272727273,22.9,45.8,26.4,81.5,27.1,55.4,20.7,66.5,32.5,30.333333333333332,74.91666666666667,27.0,20.166666666666668,22.416666666666668,23.416666666666668,17.666666666666668,29.285714285714285,36.5,34.285714285714285,17.642857142857142,55.857142857142854,55.285714285714285,62.142857142857146,69.64285714285714,79.75,67.75,67.0,21.25,8.75,20.0,45.75,20.375,12.363636363636363,53.0,35.81818181818182,29.181818181818183,49.81818181818182,94.36363636363636,61.27272727272727,52.36363636363637,92.85714285714286,55.142857142857146,59.285714285714285,8.857142857142858,94.42857142857143,43.714285714285715,89.42857142857143,93.42857142857143,37.142857142857146,44.285714285714285,44.57142857142857,64.0,42.0,14.714285714285714,87.14285714285714,84.85714285714286,43.625,72.625,66.625,91.125,22.875,3.25,74.375,68.0,75.22222222222223,55.111111111111114,21.333333333333332,90.22222222222223,49.666666666666664,86.88888888888889,50.77777777777778
Formality and Regulation,11.25,10.25,13.875,13.625,9.125,52.25,61.875,18.875,77.0,89.46153846153847,70.84615384615384,58.23076923076923,47.92307692307692,67.46153846153847,44.15384615384615,77.0,96.4,91.2,48.4,79.0,78.4,91.0,3.4,19.4,22.846153846153847,27.384615384615383,8.076923076923077,11.153846153846153,18.076923076923077,10.615384615384615,16.153846153846153,23.153846153846153,44.63636363636363,6.454545454545454,28.181818181818183,53.36363636363637,17.636363636363637,24.636363636363637,63.0,16.545454545454547,19.5,36.3,24.7,73.5,67.6,69.7,66.5,72.8,64.1,88.0,84.1,85.9,58.5,67.4,95.6,18.1,22.333333333333332,33.666666666666664,18.0,37.0,7.333333333333333,25.0,47.0,62.333333333333336,42.6,65.9,63.5,60.1,59.4,62.4,61.2,62.9,56.294117647058826,39.35294117647059,33.294117647058826,64.17647058823529,75.52941176470588,56.705882352941174,54.0,70.0,14.727272727272727,64.63636363636364,52.72727272727273,32.18181818181818,71.54545454545455,71.0,68.72727272727273,61.72727272727273,79.7,54.0,72.9,12.4,68.4,64.0,78.5,23.6,59.916666666666664,34.416666666666664,23.833333333333332,37.666666666666664,91.08333333333333,86.5,80.91666666666667,86.25,68.07142857142857,57.857142857142854,64.28571428571429,67.21428571428571,40.642857142857146,26.357142857142858,22.571428571428573,18.785714285714285,9.375,29.125,25.125,59.75,74.0,73.75,42.25,73.625,64.9090909090909,36.36363636363637,25.727272727272727,67.9090909090909,4.181818181818182,11.363636363636363,20.0,38.63636363636363,2.4285714285714284,20.714285714285715,15.285714285714286,93.28571428571429,5.857142857142857,63.42857142857143,4.714285714285714,2.4285714285714284,66.57142857142857,38.857142857142854,39.857142857142854,10.0,23.571428571428573,88.85714285714286,10.714285714285714,11.0,40.125,17.875,22.75,27.5,40.5,74.875,51.125,48.75,21.11111111111111,17.555555555555557,57.0,7.555555555555555,23.555555555555557,2.2222222222222223,17.333333333333332
Intimacy,89.5,78.5,99.75,99.75,67.25,18.75,25.75,37.625,11.615384615384615,4.3076923076923075,3.769230769230769,30.307692307692307,49.23076923076923,10.461538461538462,39.30769230769231,6.384615384615385,2.8,21.6,15.0,24.8,25.0,22.8,72.2,41.2,48.30769230769231,31.53846153846154,84.3076923076923,73.07692307692308,55.69230769230769,68.76923076923077,62.23076923076923,49.38461538461539,54.90909090909091,88.81818181818181,80.63636363636364,24.454545454545453,74.0909090909091,57.45454545454545,32.81818181818182,67.63636363636364,82.6,63.8,85.9,27.4,26.6,23.2,17.3,26.3,22.7,13.6,18.9,25.8,31.1,19.7,10.2,14.9,10.0,37.666666666666664,1.0,1.3333333333333333,1.3333333333333333,1.0,7.333333333333333,17.333333333333332,9.4,16.9,13.9,13.8,15.9,31.9,38.9,32.8,10.941176470588236,53.64705882352941,58.64705882352941,28.470588235294116,13.823529411764707,33.76470588235294,23.764705882352942,20.11764705882353,51.90909090909091,25.454545454545453,29.181818181818183,59.72727272727273,17.727272727272727,13.909090909090908,8.363636363636363,21.181818181818183,24.0,26.1,22.1,84.8,28.2,57.0,17.8,51.7,22.916666666666668,15.583333333333334,39.083333333333336,23.916666666666668,17.25,14.666666666666666,17.416666666666668,8.166666666666666,19.214285714285715,36.42857142857143,19.857142857142858,9.642857142857142,44.285714285714285,49.142857142857146,65.71428571428571,68.21428571428571,64.875,64.25,64.25,18.25,16.125,13.875,27.375,24.625,16.09090909090909,14.909090909090908,5.0,22.0,20.727272727272727,83.27272727272727,47.54545454545455,23.636363636363637,80.14285714285714,38.285714285714285,85.57142857142857,6.142857142857143,98.57142857142857,37.857142857142854,91.14285714285714,85.71428571428571,8.714285714285714,21.857142857142858,25.857142857142858,44.857142857142854,6.428571428571429,16.428571428571427,81.85714285714286,80.85714285714286,10.75,63.75,60.0,96.125,29.75,7.625,74.625,64.75,53.666666666666664,42.333333333333336,10.777777777777779,86.55555555555556,57.0,86.55555555555556,48.111111111111114
Visibility,48.0,54.5,50.0,53.25,44.75,39.0,63.5,56.375,68.84615384615384,40.92307692307692,63.30769230769231,59.69230769230769,20.923076923076923,71.84615384615384,42.30769230769231,50.84615384615385,85.6,73.8,56.2,76.6,76.2,66.0,14.6,44.4,73.46153846153847,58.23076923076923,52.69230769230769,53.84615384615385,51.46153846153846,48.61538461538461,49.46153846153846,48.38461538461539,59.63636363636363,57.0,10.545454545454545,22.90909090909091,60.27272727272727,62.18181818181818,66.0,62.36363636363637,59.3,60.4,50.0,65.0,62.8,64.4,56.3,63.5,34.8,41.2,35.9,34.2,52.7,20.3,45.9,63.0,2.6666666666666665,36.0,55.333333333333336,25.333333333333332,35.0,5.666666666666667,56.666666666666664,72.0,26.8,34.8,42.0,43.3,43.2,55.4,54.8,59.5,68.11764705882354,48.470588235294116,53.470588235294116,53.11764705882353,78.17647058823529,60.529411764705884,71.76470588235294,40.64705882352941,41.09090909090909,78.0,75.0909090909091,3.3636363636363638,81.54545454545455,87.72727272727273,27.727272727272727,43.81818181818182,82.1,84.3,70.7,9.9,65.2,12.4,86.3,14.0,67.33333333333333,72.66666666666667,42.166666666666664,24.916666666666668,54.75,66.0,65.66666666666667,67.33333333333333,62.857142857142854,56.5,68.64285714285714,53.857142857142854,60.142857142857146,66.21428571428571,47.714285714285715,53.0,47.0,45.125,41.875,58.75,48.75,42.0,53.25,72.5,56.27272727272727,69.27272727272727,68.27272727272727,70.72727272727273,33.27272727272727,40.63636363636363,49.81818181818182,66.63636363636364,42.42857142857143,37.57142857142857,19.142857142857142,81.28571428571429,21.142857142857142,28.857142857142858,23.0,31.0,76.57142857142857,58.285714285714285,62.57142857142857,77.42857142857143,52.42857142857143,62.142857142857146,46.57142857142857,46.57142857142857,36.25,6.375,4.75,10.875,49.75,70.5,16.625,19.25,57.55555555555556,62.333333333333336,79.33333333333333,17.333333333333332,35.0,11.333333333333334,32.44444444444444
Communal Sharing,95.25,91.375,92.5,90.5,82.25,28.25,53.25,68.625,22.307692307692307,18.846153846153847,16.23076923076923,42.84615384615385,35.46153846153846,15.692307692307692,49.30769230769231,11.076923076923077,38.4,14.2,29.8,52.4,52.0,47.8,77.2,58.8,62.69230769230769,63.23076923076923,93.76923076923077,88.84615384615384,68.23076923076923,78.76923076923077,73.6923076923077,66.3076923076923,66.36363636363636,82.27272727272727,35.72727272727273,19.181818181818183,78.72727272727273,60.36363636363637,34.18181818181818,69.0,84.1,75.4,78.6,29.1,34.6,33.6,33.6,30.5,43.7,24.1,30.7,25.8,41.4,48.1,33.3,4.4,6.333333333333333,67.0,16.333333333333332,16.666666666666668,16.0,28.333333333333332,50.666666666666664,68.66666666666667,26.9,29.9,32.8,30.3,32.9,55.3,58.1,50.2,27.941176470588236,65.0,65.82352941176471,46.88235294117647,33.64705882352941,52.11764705882353,44.94117647058823,44.35294117647059,46.72727272727273,32.09090909090909,53.36363636363637,2.272727272727273,12.363636363636363,37.09090909090909,25.454545454545453,25.0,20.7,36.8,34.8,76.6,30.0,32.7,26.3,46.6,60.166666666666664,29.833333333333332,44.666666666666664,35.833333333333336,39.833333333333336,46.916666666666664,48.75,41.666666666666664,25.357142857142858,28.142857142857142,29.857142857142858,24.428571428571427,59.57142857142857,53.142857142857146,61.07142857142857,67.71428571428571,71.875,68.125,68.875,34.25,16.25,11.5,53.25,19.875,37.18181818181818,31.181818181818183,14.909090909090908,42.63636363636363,18.90909090909091,91.63636363636364,64.27272727272727,36.09090909090909,80.85714285714286,50.57142857142857,45.42857142857143,29.857142857142858,92.57142857142857,35.0,87.71428571428571,84.28571428571429,24.428571428571427,46.285714285714285,53.42857142857143,60.285714285714285,9.571428571428571,26.142857142857142,79.42857142857143,80.71428571428571,9.625,71.875,73.5,93.25,35.375,16.25,81.25,77.75,74.88888888888889,67.33333333333333,21.444444444444443,83.22222222222223,67.66666666666667,86.77777777777777,62.888888888888886
Expected Reciprocity,29.875,34.125,78.25,80.625,60.75,47.125,51.125,44.125,61.30769230769231,40.53846153846154,21.53846153846154,25.692307692307693,37.30769230769231,48.69230769230769,79.3076923076923,49.07692307692308,55.6,41.6,22.0,76.4,76.4,83.0,45.0,51.8,57.15384615384615,51.92307692307692,45.69230769230769,44.15384615384615,36.76923076923077,42.30769230769231,45.61538461538461,37.76923076923077,58.81818181818182,78.72727272727273,58.45454545454545,22.09090909090909,77.36363636363636,65.0909090909091,49.09090909090909,78.63636363636364,88.9,77.4,61.7,47.2,48.9,45.5,45.1,48.7,62.5,35.1,27.8,65.5,33.8,49.3,34.0,5.2,18.333333333333332,50.0,5.0,14.0,10.666666666666666,25.0,25.666666666666668,31.666666666666668,12.9,62.1,64.2,72.8,74.2,38.0,48.0,46.0,55.294117647058826,66.0,65.29411764705883,43.94117647058823,45.94117647058823,51.64705882352941,46.88235294117647,43.294117647058826,23.90909090909091,37.81818181818182,56.63636363636363,46.0,51.81818181818182,27.727272727272727,17.181818181818183,48.54545454545455,52.4,50.0,67.5,73.5,62.4,33.9,43.9,47.8,85.08333333333333,31.25,34.25,48.666666666666664,60.833333333333336,57.333333333333336,58.166666666666664,43.5,27.714285714285715,36.142857142857146,34.0,43.5,63.642857142857146,66.35714285714286,69.14285714285714,72.92857142857143,58.625,48.75,50.375,31.375,35.0,39.375,40.375,42.375,51.36363636363637,23.545454545454547,12.0,50.36363636363637,7.0,76.63636363636364,51.54545454545455,30.0,84.14285714285714,65.42857142857143,55.714285714285715,40.57142857142857,88.14285714285714,40.714285714285715,82.42857142857143,81.85714285714286,56.142857142857146,73.57142857142857,64.71428571428571,66.0,45.42857142857143,45.42857142857143,61.0,61.285714285714285,23.875,52.375,53.125,87.5,45.0,36.0,77.875,82.125,71.22222222222223,65.11111111111111,32.77777777777778,69.88888888888889,60.666666666666664,90.0,50.55555555555556
Strategic,26.5,29.625,27.0,24.5,25.25,66.0,51.75,29.0,82.3076923076923,87.53846153846153,51.30769230769231,35.07692307692308,31.23076923076923,90.38461538461539,79.0,84.84615384615384,94.0,96.2,62.8,76.0,77.6,79.0,7.6,26.0,50.61538461538461,30.615384615384617,6.384615384615385,8.0,24.0,13.846153846153847,12.76923076923077,17.615384615384617,25.0,24.818181818181817,51.54545454545455,61.09090909090909,40.54545454545455,39.81818181818182,63.63636363636363,29.272727272727273,17.2,28.2,21.8,79.7,74.2,81.6,71.3,78.6,80.7,69.5,67.2,86.2,54.0,73.2,67.2,32.0,91.0,36.0,67.0,75.0,76.0,60.333333333333336,38.0,23.333333333333332,48.5,76.1,73.8,79.2,78.6,55.8,50.1,42.0,30.352941176470587,75.58823529411765,67.88235294117646,55.88235294117647,68.05882352941177,65.82352941176471,48.76470588235294,66.82352941176471,32.18181818181818,47.27272727272727,30.545454545454547,68.63636363636364,66.81818181818181,56.90909090909091,48.18181818181818,47.18181818181818,61.3,62.1,77.4,21.5,71.3,29.9,52.4,18.8,59.916666666666664,56.916666666666664,44.916666666666664,63.916666666666664,80.75,61.25,50.583333333333336,49.666666666666664,62.57142857142857,60.785714285714285,64.57142857142857,72.78571428571429,41.785714285714285,35.42857142857143,28.642857142857142,31.357142857142858,15.75,16.75,14.625,51.25,64.125,62.125,28.5,53.5,64.36363636363636,47.36363636363637,21.09090909090909,61.18181818181818,42.09090909090909,14.454545454545455,16.727272727272727,37.63636363636363,13.857142857142858,29.857142857142858,43.714285714285715,90.57142857142857,8.571428571428571,30.0,10.142857142857142,11.285714285714286,59.57142857142857,45.0,32.42857142857143,28.857142857142858,65.57142857142857,87.57142857142857,13.285714285714286,13.428571428571429,63.875,29.75,23.125,17.375,37.375,65.0,29.125,28.25,28.77777777777778,23.77777777777778,82.44444444444444,33.0,50.333333333333336,26.333333333333332,45.44444444444444
