,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5,subject
5,5.0,50.0,51.0,95.0,4.0,10.0,90.0,95.0,19.0,5
12,3.0,78.0,51.0,100.0,2.0,2.0,100.0,100.0,2.0,12
14,26.0,77.0,71.0,77.0,16.0,12.0,79.0,77.0,17.0,14
16,8.0,33.0,81.0,100.0,4.0,10.0,100.0,100.0,24.0,16
17,1.0,75.0,88.0,66.0,9.0,18.0,81.0,71.0,11.0,17
18,1.0,82.0,88.0,83.0,13.0,20.0,87.0,92.0,25.0,18
19,1.0,50.0,70.0,100.0,0.0,0.0,100.0,100.0,0.0,19
21,5.0,17.0,44.0,100.0,4.0,12.0,96.0,83.0,14.0,21
22,27.0,35.0,23.0,100.0,0.0,0.0,100.0,100.0,0.0,22
23,5.0,83.0,90.0,86.0,14.0,19.0,88.0,76.0,13.0,23
25,1.0,69.0,83.0,77.0,18.0,26.0,68.0,99.0,8.0,25
26,6.0,57.0,75.0,100.0,6.0,17.0,72.0,100.0,36.0,26
28,0.0,65.0,75.0,100.0,0.0,0.0,100.0,100.0,0.0,28
30,7.0,36.0,72.0,99.0,2.0,8.0,73.0,100.0,17.0,30
31,0.0,54.0,74.0,100.0,1.0,4.0,100.0,100.0,7.0,31
32,2.0,53.0,84.0,100.0,1.0,1.0,100.0,100.0,2.0,32
33,7.0,9.0,63.0,100.0,3.0,10.0,100.0,100.0,26.0,33
34,3.0,55.0,66.0,100.0,0.0,7.0,100.0,100.0,15.0,34
35,8.0,5.0,28.0,100.0,2.0,4.0,100.0,100.0,2.0,35
36,9.0,52.0,22.0,95.0,0.0,13.0,89.0,95.0,21.0,36
37,0.0,74.0,94.0,81.0,2.0,8.0,98.0,79.0,21.0,37
38,0.0,70.0,79.0,100.0,0.0,0.0,100.0,100.0,0.0,38
39,20.0,45.0,43.0,100.0,4.0,6.0,95.0,95.0,23.0,39
41,7.0,41.0,49.0,97.0,2.0,8.0,100.0,100.0,6.0,41
43,1.0,0.0,99.0,100.0,0.0,0.0,76.0,92.0,0.0,43
44,1.0,38.0,70.0,100.0,0.0,0.0,100.0,100.0,8.0,44
45,1.0,66.0,80.0,81.0,4.0,13.0,100.0,100.0,30.0,45
46,6.0,49.0,59.0,100.0,3.0,1.0,90.0,100.0,1.0,46
48,1.0,57.0,57.0,59.0,11.0,24.0,97.0,97.0,42.0,48
49,6.0,48.0,72.0,100.0,1.0,4.0,100.0,99.0,6.0,49
50,6.0,16.0,35.0,99.0,5.0,7.0,98.0,99.0,13.0,50
51,5.0,34.0,49.0,98.0,6.0,7.0,99.0,99.0,7.0,51
52,8.0,11.0,52.0,100.0,4.0,4.0,90.0,100.0,15.0,52
53,4.0,19.0,36.0,94.0,2.0,3.0,86.0,100.0,8.0,53
54,3.0,16.0,56.0,95.0,3.0,6.0,95.0,100.0,9.0,54
55,5.0,31.0,56.0,100.0,4.0,8.0,72.0,95.0,17.0,55
56,3.0,7.0,68.0,88.0,5.0,12.0,71.0,94.0,26.0,56
57,6.0,28.0,58.0,97.0,4.0,15.0,71.0,86.0,30.0,57
58,5.0,8.0,73.0,92.0,4.0,11.0,87.0,92.0,19.0,58
59,6.0,26.0,56.0,98.0,4.0,18.0,72.0,90.0,33.0,59
60,9.0,17.0,53.0,96.0,3.0,5.0,78.0,100.0,8.0,60
61,17.0,20.0,20.0,100.0,8.0,22.0,87.0,100.0,1.0,61
62,5.0,18.0,73.0,97.0,4.0,9.0,90.0,94.0,22.0,62
63,3.0,6.0,81.0,100.0,3.0,3.0,98.0,91.0,14.0,63
64,18.0,38.0,32.0,90.0,9.0,18.0,87.0,100.0,38.0,64
65,7.0,13.0,79.0,100.0,6.0,12.0,83.0,94.0,13.0,65
67,14.0,58.0,40.0,81.0,5.0,9.0,90.0,84.0,35.0,67
68,13.0,33.0,68.0,95.0,4.0,6.0,80.0,95.0,25.0,68
69,4.0,4.0,79.0,93.0,3.0,7.0,75.0,88.0,18.0,69
70,4.0,35.0,64.0,100.0,2.0,5.0,70.0,87.0,18.0,70
71,11.0,10.0,27.0,100.0,7.0,15.0,77.0,100.0,31.0,71
72,1.0,16.0,53.0,100.0,6.0,6.0,85.0,100.0,26.0,72
73,3.0,6.0,83.0,98.0,3.0,7.0,75.0,93.0,20.0,73
74,1.0,44.0,35.0,100.0,1.0,1.0,91.0,100.0,1.0,74
75,5.0,24.0,75.0,100.0,7.0,11.0,81.0,100.0,9.0,75
76,7.0,22.0,66.0,96.0,2.0,11.0,76.0,100.0,4.0,76
77,4.0,21.0,50.0,86.0,3.0,5.0,91.0,100.0,8.0,77
78,16.0,25.0,98.0,99.0,14.0,25.0,91.0,98.0,3.0,78
80,17.0,22.0,86.0,100.0,6.0,12.0,100.0,100.0,21.0,80
81,9.0,14.0,19.0,77.0,5.0,18.0,88.0,100.0,37.0,81
82,1.0,75.0,87.0,96.0,9.0,8.0,75.0,91.0,5.0,82
84,9.0,34.0,56.0,97.0,3.0,12.0,84.0,91.0,30.0,84
85,13.0,22.0,99.0,98.0,15.0,23.0,94.0,99.0,36.0,85
86,28.0,45.0,63.0,100.0,4.0,12.0,100.0,100.0,32.0,86
87,6.0,50.0,80.0,94.0,5.0,12.0,91.0,82.0,4.0,87
88,27.0,16.0,58.0,77.0,6.0,5.0,92.0,100.0,12.0,88
89,5.0,50.0,61.0,90.0,8.0,20.0,71.0,83.0,23.0,89
91,3.0,30.0,49.0,100.0,3.0,4.0,90.0,92.0,15.0,91
92,8.0,43.0,64.0,92.0,3.0,5.0,79.0,96.0,19.0,92
93,5.0,20.0,56.0,100.0,5.0,11.0,96.0,100.0,16.0,93
94,12.0,13.0,19.0,91.0,7.0,12.0,89.0,88.0,14.0,94
96,4.0,36.0,74.0,78.0,4.0,10.0,73.0,92.0,24.0,96
97,14.0,18.0,93.0,92.0,6.0,9.0,73.0,100.0,18.0,97
99,3.0,3.0,69.0,93.0,4.0,8.0,86.0,91.0,18.0,99
100,3.0,33.0,32.0,100.0,5.0,10.0,81.0,100.0,28.0,100
102,30.0,41.0,61.0,100.0,3.0,9.0,100.0,96.0,18.0,102
103,9.0,17.0,69.0,100.0,4.0,18.0,81.0,100.0,24.0,103
104,9.0,14.0,37.0,100.0,7.0,13.0,99.0,75.0,24.0,104
105,17.0,27.0,77.0,92.0,6.0,5.0,80.0,76.0,11.0,105
106,18.0,30.0,69.0,92.0,5.0,19.0,76.0,100.0,31.0,106
107,15.0,22.0,87.0,81.0,6.0,9.0,87.0,91.0,17.0,107
108,13.0,19.0,100.0,100.0,11.0,20.0,98.0,98.0,33.0,108
109,10.0,16.0,50.0,92.0,5.0,10.0,94.0,89.0,12.0,109
110,15.0,66.0,83.0,92.0,12.0,19.0,78.0,88.0,30.0,110
111,11.0,48.0,41.0,100.0,10.0,13.0,72.0,100.0,11.0,111
112,10.0,11.0,77.0,75.0,3.0,6.0,78.0,82.0,29.0,112
114,5.0,13.0,74.0,96.0,3.0,4.0,100.0,100.0,22.0,114
115,22.0,59.0,21.0,89.0,3.0,12.0,100.0,100.0,26.0,115
116,10.0,25.0,57.0,100.0,8.0,17.0,76.0,100.0,29.0,116
117,3.0,23.0,39.0,100.0,3.0,8.0,100.0,85.0,27.0,117
119,3.0,52.0,52.0,100.0,3.0,8.0,72.0,91.0,17.0,119
120,9.0,85.0,77.0,87.0,3.0,12.0,87.0,87.0,9.0,120
122,0.0,3.0,79.0,64.0,0.0,0.0,100.0,100.0,0.0,122
124,34.0,62.0,71.0,69.0,5.0,12.0,100.0,98.0,21.0,124
125,11.0,0.0,81.0,100.0,0.0,0.0,89.0,80.0,0.0,125
126,2.0,19.0,30.0,100.0,2.0,3.0,100.0,100.0,6.0,126
136,4.0,4.0,66.0,100.0,1.0,1.0,100.0,100.0,5.0,136
138,13.0,67.0,58.0,78.0,5.0,15.0,92.0,81.0,17.0,138
139,9.0,72.0,53.0,100.0,4.0,3.0,100.0,100.0,4.0,139
140,18.0,68.0,64.0,85.0,4.0,24.0,100.0,100.0,4.0,140
142,2.0,50.0,50.0,100.0,4.0,14.0,90.0,100.0,25.0,142
143,2.0,3.0,57.0,100.0,2.0,4.0,100.0,100.0,3.0,143
145,10.0,78.0,69.0,85.0,5.0,9.0,93.0,99.0,24.0,145
146,16.0,8.0,34.0,100.0,3.0,3.0,67.0,100.0,5.0,146
148,36.0,46.0,53.0,63.0,4.0,10.0,97.0,100.0,21.0,148
159,6.0,53.0,54.0,95.0,3.0,6.0,88.0,96.0,14.0,159
161,38.0,72.0,75.0,75.0,4.0,20.0,80.0,73.0,9.0,161
162,19.0,54.0,60.0,78.0,8.0,7.0,79.0,99.0,25.0,162
164,6.0,34.0,58.0,96.0,7.0,17.0,91.0,83.0,37.0,164
166,0.0,16.0,50.0,97.0,0.0,5.0,83.0,100.0,24.0,166
168,5.0,47.0,47.0,100.0,1.0,2.0,64.0,74.0,12.0,168
169,2.0,69.0,90.0,100.0,1.0,0.0,100.0,100.0,0.0,169
170,6.0,38.0,46.0,100.0,4.0,1.0,99.0,100.0,4.0,170
171,2.0,50.0,50.0,100.0,3.0,2.0,98.0,98.0,2.0,171
172,4.0,46.0,47.0,96.0,5.0,7.0,94.0,95.0,10.0,172
173,10.0,75.0,50.0,100.0,5.0,11.0,100.0,100.0,30.0,173
174,14.0,19.0,97.0,100.0,5.0,8.0,99.0,99.0,9.0,174
175,18.0,21.0,43.0,76.0,0.0,5.0,100.0,100.0,0.0,175
176,13.0,74.0,73.0,74.0,1.0,12.0,96.0,97.0,17.0,176
177,0.0,30.0,76.0,100.0,12.0,18.0,76.0,100.0,28.0,177
179,0.0,59.0,76.0,100.0,0.0,11.0,81.0,100.0,32.0,179
181,4.0,51.0,83.0,100.0,4.0,8.0,99.0,99.0,8.0,181
183,0.0,19.0,62.0,98.0,0.0,0.0,100.0,100.0,0.0,183
184,6.0,29.0,46.0,100.0,4.0,10.0,91.0,100.0,18.0,184
185,30.0,43.0,68.0,94.0,1.0,1.0,97.0,98.0,1.0,185
186,2.0,9.0,17.0,100.0,5.0,12.0,90.0,100.0,27.0,186
187,20.0,43.0,76.0,81.0,12.0,18.0,76.0,85.0,12.0,187
188,9.0,67.0,79.0,72.0,11.0,18.0,73.0,86.0,21.0,188
189,2.0,6.0,21.0,100.0,2.0,5.0,100.0,100.0,11.0,189
190,7.0,82.0,67.0,80.0,13.0,25.0,83.0,91.0,22.0,190
193,5.0,62.0,71.0,100.0,1.0,2.0,100.0,100.0,8.0,193
195,3.0,1.0,60.0,100.0,2.0,4.0,83.0,88.0,10.0,195
196,5.0,26.0,94.0,96.0,5.0,5.0,97.0,93.0,13.0,196
197,6.0,60.0,83.0,100.0,3.0,5.0,100.0,97.0,10.0,197
198,13.0,80.0,80.0,82.0,9.0,18.0,80.0,89.0,11.0,198
199,19.0,43.0,79.0,60.0,7.0,18.0,92.0,86.0,14.0,199
200,0.0,53.0,54.0,100.0,0.0,0.0,100.0,100.0,3.0,200
201,0.0,50.0,50.0,100.0,1.0,1.0,100.0,100.0,1.0,201
202,6.0,49.0,52.0,100.0,3.0,9.0,100.0,100.0,18.0,202
203,6.0,83.0,50.0,64.0,6.0,7.0,99.0,100.0,8.0,203
204,2.0,75.0,86.0,80.0,14.0,1.0,87.0,81.0,1.0,204
207,5.0,80.0,92.0,86.0,5.0,11.0,72.0,98.0,28.0,207
208,0.0,69.0,80.0,100.0,0.0,0.0,100.0,100.0,0.0,208
209,40.0,64.0,25.0,84.0,5.0,14.0,68.0,93.0,31.0,209
210,4.0,47.0,47.0,100.0,2.0,3.0,100.0,100.0,4.0,210
213,10.0,56.0,73.0,97.0,2.0,3.0,95.0,99.0,27.0,213
214,8.0,82.0,93.0,78.0,6.0,16.0,74.0,99.0,13.0,214
215,0.0,63.0,76.0,100.0,0.0,0.0,100.0,100.0,0.0,215
218,7.0,50.0,57.0,100.0,0.0,9.0,77.0,100.0,27.0,218
219,4.0,24.0,47.0,100.0,1.0,2.0,100.0,100.0,18.0,219
221,0.0,51.0,50.0,100.0,0.0,0.0,100.0,100.0,9.0,221
223,5.0,9.0,28.0,94.0,3.0,5.0,70.0,93.0,6.0,223
224,9.0,25.0,58.0,72.0,3.0,6.0,100.0,100.0,5.0,224
226,7.0,49.0,81.0,98.0,7.0,13.0,84.0,87.0,14.0,226
228,3.0,4.0,85.0,96.0,5.0,10.0,73.0,89.0,19.0,228
229,8.0,80.0,90.0,75.0,12.0,22.0,81.0,91.0,36.0,229
230,11.0,47.0,78.0,100.0,4.0,15.0,65.0,85.0,29.0,230
231,0.0,16.0,56.0,100.0,0.0,0.0,100.0,100.0,0.0,231
232,5.0,9.0,95.0,98.0,5.0,9.0,83.0,96.0,18.0,232
233,8.0,15.0,65.0,87.0,6.0,14.0,71.0,89.0,30.0,233
235,3.0,4.0,71.0,96.0,6.0,11.0,75.0,94.0,19.0,235
