,0
0,9
1,10
2,16
3,28
4,34
5,35
6,40
7,41
8,42
9,44
10,55
11,61
12,68
13,79
14,80
15,84
16,86
17,90
18,92
19,101
20,111
21,113
22,125
23,136
24,139
25,141
26,152
27,165
28,167
29,169
30,171
31,173
32,175
33,177
34,178
35,179
36,194
37,198
38,201
39,217
40,225
41,228
42,238
43,240
44,242
45,251
46,252
47,256
48,269
49,271
50,279
51,288
52,291
53,293
54,296
55,302
56,304
57,305
58,318
59,320
60,321
61,323
62,328
63,329
64,334
65,337
66,348
67,350
68,354
69,362
70,364
71,368
72,381
73,383
74,385
75,387
76,388
77,391
78,406
79,412
80,415
81,416
82,432
83,435
84,437
85,443
86,445
87,446
88,447
89,460
90,473
91,474
92,484
93,485
94,488
95,490
96,493
97,494
98,497
99,500
100,501
101,507
102,512
103,515
104,522
105,523
106,525
107,536
108,537
109,542
110,543
111,553
112,565
113,566
114,567
115,572
116,578
117,588
118,591
119,603
120,624
121,625
122,637
123,641
124,642
125,646
126,648
127,651
128,652
129,653
130,656
131,658
132,659
133,671
134,680
135,681
136,682
137,687
138,689
139,700
140,711
141,712
142,732
143,734
144,739
145,740
146,743
147,744
148,750
149,753
150,761
151,762
152,763
153,765
154,774
155,778
156,790
157,794
158,800
159,804
160,805
161,807
162,813
163,814
164,815
165,832
166,840
167,849
168,854
169,860
170,869
171,871
172,879
173,880
174,886
175,890
176,898
177,902
178,903
179,904
180,912
181,915
182,916
183,920
184,922
185,928
186,939
187,940
188,944
189,945
190,958
191,959
192,962
193,968
194,969
195,980
196,992
197,994
198,998
199,1006
200,1009
201,1012
202,1014
203,1025
204,1027
205,1028
206,1032
207,1044
208,1051
209,1056
210,1057
211,1058
212,1061
213,1069
214,1076
215,1078
216,1082
217,1084
218,1089
219,1099
220,1102
221,1106
222,1117
223,1120
224,1122
225,1128
226,1129
227,1136
228,1139
229,1143
230,1147
231,1158
232,1163
233,1165
234,1173
235,1177
236,1179
237,1185
238,1187
239,1188
240,1195
241,1198
242,1199
243,1200
244,1201
245,1202
246,1203
247,1204
248,1205
249,1207
250,1208
251,1209
252,1210
253,1211
254,1215
255,1219
256,1220
257,1223
258,1227
259,1229
260,1235
261,1251
262,1259
263,1260
264,1263
265,1266
266,1268
267,1274
268,1288
269,1313
270,1317
271,1320
272,1328
273,1329
274,1330
275,1333
276,1336
277,1339
278,1340
279,1341
280,1343
281,1345
282,1347
283,1352
284,1354
285,1360
286,1363
287,1365
288,1367
289,1368
290,1372
291,1373
292,1386
293,1387
294,1395
295,1396
296,1399
297,1401
298,1409
299,1410
300,1413
301,1417
302,1419
303,1422
304,1424
305,1428
306,1429
307,1431
308,1432
309,1433
310,1436
311,1437
312,1438
313,1442
314,1445
315,1446
316,1452
317,1453
318,1456
319,1459
320,1461
321,1463
322,1465
323,1466
324,1467
325,1474
326,1477
327,1478
328,1479
329,1481
330,1488
331,1490
332,1491
333,1492
334,1494
335,1499
336,1500
337,1503
338,1507
339,1510
340,1511
341,1512
342,1514
343,1517
344,1522
345,1524
346,1527
347,1541
348,1547
349,1551
350,1553
351,1555
352,1560
353,1561
354,1569
355,1573
356,1577
357,1580
358,1585
359,1587
360,1598
361,1607
362,1609
363,1617
364,1633
365,1634
366,1636
367,1641
368,1654
369,1660
370,1666
371,1672
372,1674
373,1683
374,1684
375,1685
376,1690
377,1692
378,1700
379,1723
380,1730
381,1733
382,1735
383,1752
384,1766
385,1776
386,1783
387,1784
388,1788
389,1789
390,1790
391,1792
392,1799
393,1802
394,1811
395,1813
396,1817
397,1818
398,1821
399,1827
400,1829
401,1833
402,1835
403,1840
404,1845
405,1848
406,1856
407,1859
408,1866
409,1870
410,1871
411,1872
412,1874
413,1875
414,1895
415,1902
416,1904
417,1916
418,1917
419,1918
420,1926
421,1927
422,1940
423,1941
424,1947
425,1950
426,1954
427,1966
428,1967
429,1975
430,1976
431,1977
432,1978
433,1979
434,1983
435,1988
436,1989
437,1994
438,1998
439,2000
440,2001
441,2002
442,2005
443,2019
444,2020
445,2021
446,2022
447,2026
448,2028
449,2029
450,2041
451,2044
452,2052
453,2054
454,2056
455,2061
456,2062
457,2075
458,2076
459,2080
460,2082
461,2096
462,2097
463,2106
464,2107
465,2110
466,2114
467,2115
468,2119
469,2124
470,2125
471,2130
472,2135
473,2139
474,2148
475,2156
476,2157
477,2159
478,2167
479,2169
480,2171
481,2178
482,2179
483,2181
484,2182
485,2183
486,2191
487,2193
488,2195
489,2202
490,2207
491,2219
492,2230
493,2252
494,2254
495,2268
496,2269
497,2282
498,2285
499,2295
500,2298
501,2300
502,2308
503,2321
504,2323
505,2326
506,2330
507,2343
508,2346
509,2357
510,2361
511,2364
512,2371
513,2379
514,2404
515,2423
516,2425
517,2426
518,2429
519,2436
520,2440
521,2447
522,2459
523,2462
524,2468
525,2469
526,2472
527,2473
528,2474
529,2475
530,2477
531,2480
532,2482
533,2488
534,2498
535,2503
536,2505
537,2506
538,2508
539,2510
540,2513
541,2516
542,2527
543,2533
544,2534
545,2543
546,2547
547,2548
548,2560
549,2565
550,2569
551,2570
552,2585
553,2587
554,2597
555,2598
556,2606
557,2609
558,2610
559,2612
560,2617
561,2618
562,2624
563,2628
564,2630
565,2636
566,2638
567,2640
568,2643
569,2644
570,2648
571,2651
572,2662
573,2676
574,2683
575,2687
576,2693
577,2695
578,2697
579,2704
580,2709
581,2710
582,2711
583,2714
584,2719
585,2724
586,2726
587,2729
588,2734
589,2735
590,2737
591,2741
592,2742
593,2749
594,2750
595,2756
596,2763
597,2774
598,2775
599,2776
600,2778
601,2779
602,2780
603,2785
604,2787
605,2794
606,2796
607,2802
608,2806
609,2815
610,2820
611,2822
612,2824
613,2829
614,2833
615,2835
616,2838
617,2846
618,2850
619,2851
620,2852
621,2854
622,2855
623,2858
624,2867
625,2868
626,2870
627,2871
628,2877
629,2883
630,2884
631,2889
632,2894
633,2898
634,2899
635,2901
636,2905
637,2909
638,2913
639,2916
640,2920
641,2921
642,2923
643,2924
644,2927
645,2929
646,2931
647,2934
648,2935
649,2938
650,2939
651,2940
652,2946
653,2947
654,2952
655,2954
656,2955
657,2965
658,2968
659,2976
660,2977
661,2978
662,2980
663,2982
664,2984
665,2985
666,2989
667,2990
668,2993
669,2995
670,2996
671,3000
672,3002
673,3005
674,3014
675,3022
676,3023
677,3026
678,3030
679,3033
680,3036
681,3037
682,3039
683,3042
684,3046
685,3056
686,3064
687,3067
688,3069
689,3070
690,3075
691,3076
692,3083
693,3086
694,3089
695,3093
696,3104
697,3108
698,3123
699,3124
700,3125
701,3126
702,3132
703,3134
704,3140
705,3144
706,3148
707,3156
708,3165
709,3169
710,3173
711,3174
712,3178
713,3183
714,3184
715,3187
716,3190
717,3191
718,3197
719,3200
720,3201
721,3203
722,3204
723,3210
724,3212
725,3215
726,3218
727,3219
728,3228
729,3231
730,3235
731,3237
732,3238
733,3239
734,3242
735,3245
736,3249
737,3254
738,3261
739,3262
740,3263
741,3265
742,3280
743,3292
744,3300
745,3304
746,3305
747,3306
748,3308
749,3309
750,3310
751,3312
752,3316
753,3318
754,3320
755,3321
756,3324
757,3326
758,3328
759,3333
760,3334
761,3335
762,3336
763,3340
764,3342
765,3345
766,3354
767,3363
768,3368
769,3371
770,3372
771,3373
772,3378
773,3380
774,3381
775,3385
776,3386
777,3387
778,3390
779,3400
780,3402
781,3407
782,3416
783,3418
784,3420
785,3424
786,3426
787,3429
788,3431
789,3436
790,3437
791,3448
792,3449
793,3455
794,3456
795,3457
796,3459
797,3462
798,3475
799,3476
800,3478
801,3479
802,3482
803,3489
804,3490
805,3494
806,3497
807,3502
808,3521
809,3527
810,3530
811,3531
812,3532
813,3535
814,3537
815,3538
816,3541
817,3542
818,3543
819,3544
820,3548
821,3549
822,3550
823,3551
824,3553
825,3554
826,3556
827,3559
828,3561
829,3563
830,3565
831,3566
832,3567
833,3569
834,3572
835,3573
836,3578
837,3581
838,3586
839,3587
840,3588
841,3590
842,3593
843,3596
844,3597
845,3602
846,3603
847,3607
848,3608
849,3611
850,3614
851,3620
852,3631
853,3643
854,3647
855,3648
856,3650
857,3653
858,3656
859,3660
860,3661
861,3667
862,3669
863,3671
864,3675
865,3679
866,3680
867,3690
868,3695
869,3697
870,3705
871,3712
872,3714
873,3718
874,3723
875,3725
876,3733
877,3734
878,3743
879,3756
880,3759
881,3763
882,3768
883,3771
884,3774
885,3775
886,3778
887,3779
888,3787
889,3795
890,3796
891,3801
892,3809
893,3810
894,3813
895,3814
896,3815
897,3816
898,3821
899,3822
900,3825
901,3829
902,3834
903,3836
904,3848
905,3849
906,3853
907,3863
908,3868
909,3878
910,3879
911,3889
912,3892
913,3893
914,3894
915,3900
916,3908
917,3911
918,3912
919,3914
920,3915
921,3916
922,3917
923,3918
924,3920
925,3925
926,3926
927,3928
928,3932
929,3934
930,3935
931,3941
932,3943
