"","V1","V2","V3","V4","V5"
"Valence Evaluation",-0.16254303561358,0.361195678596617,0.825226476909069,-0.197745664094214,-0.060966225945426
"Equality",-0.289655515858931,-0.0284319828935227,0.114556457439396,0.0602307030816107,-0.825956476128361
"Activity Intensity",-0.555279005851011,0.687206895358081,0.0807535663605964,0.12460615028809,-0.157645819036884
"Socioemotional",-0.787275138346847,0.154817930285281,0.226350856398794,0.305927630801388,-0.299567151367049
"Formality and Regulation",0.765973055003059,0.0646991935859512,0.00743876017821818,-0.195814825732974,0.405486379440535
"Intimacy",-0.832303536715862,0.293634009705947,0.192172037972382,-0.00191450972986712,-0.194663912292705
"Visibility",0.759003449234701,0.115271419598453,0.108995364567925,0.122609968500952,-0.219082250091137
"Communal Sharing",-0.63251462067691,0.300327867435427,0.306410553109121,0.40074152130776,-0.378240390054071
"Expected Reciprocity",-0.284081463549881,0.331753497059764,0.312685069470975,-0.219174712934389,-0.669195231475198
"Strategic",0.730810744298763,-0.099682689733728,-0.276592126704415,-0.411712969957402,0.118315888789298
"Concreteness",0.357074612360771,0.166611833886638,-0.0649770676687689,-0.67366955493866,0.252385369042039
"Uniqueness",-0.531335308354844,0.499685942036088,-0.135201828224573,0.0867533082416628,0.151227370035805
"Love Expression",-0.74092090428548,0.310710634352922,0.390748105723085,0.172137239852469,-0.193659301725994
"Information Exchange",0.178668175924879,0.609843480461182,0.544261013392276,-0.152124706529251,-0.0366718048294521
"Money Exchange",0.223720999005515,0.0398211695004395,0.10228871224991,-0.847531104130289,0.138452224228334
"Goods Exchange",-0.181868765703513,-0.0409958691743113,0.122551462030664,-0.722271965483022,-0.130481831197531
"Service Exchange",0.205632614534867,0.184347005747103,0.282503256294151,-0.624094877733381,0.480590400319032
"Attachment",-0.655428489638657,0.464742963605513,0.393832117213745,0.147902991119757,-0.134970742255171
"Mating",-0.746834044569121,0.212984297737509,0.0294004648182118,-0.257401703952912,-0.167690207194748
"Conflict",0.109461698662659,0.027464690130921,-0.910096437379168,0.0165113577463824,-0.072425049449382
"Negotiation",0.0976777166438792,0.215873524806179,-0.118760092615084,-0.700550702501886,-0.261912414428249
"Coercion",0.114845081107997,0.110669427660193,-0.703242617123473,-0.0883489191789293,0.389418718050612
"Importance for society",0.401522738339631,0.520528853992657,0.219847525161373,-0.0548140264925398,0.153777806917788
"Importance for individuals",-0.324869083042821,0.741588054160159,0.338757858273984,-0.000983993505246215,0.0492118759015425
"Affiliation Coalition",-0.118381115363919,0.52887528048308,0.676336905077303,-0.0540907254140676,-0.109059196457337
"Occupational",0.755805969717454,0.218985865229994,0.0430398865929989,-0.393036841638504,0.309593812202804
"Activeness",-0.0863633290290448,0.858775230410315,0.0130049132719573,-0.170542551697401,-0.026971076294731
"Endurance",-0.434760807436111,0.545473310514498,0.265827421350191,0.292984411547755,-0.0632943843456157
"Synchronicity",0.0159708397491658,0.788829984420691,-0.0347275350705729,-0.102611641779259,-0.130327325978406
"Spatial Distance",-0.146171625825183,0.747515491308534,0.0712924798081844,-0.170379107742429,0.034391258720936
