"","V1","V2","V3","V4","V5"
"Parent and Child",-1.77577505180353,-0.862251239796782,-0.892856351913976,0.149589631911245,-1.18302650651
"Parent and Teenager",-1.53046812494449,-0.810808572982733,-1.09389556397545,0.135617469856346,-1.29767076944787
"Wife and Husband",-2.00627672069824,-0.248387059922956,-1.11282263543996,0.319534255164634,0.331530716345326
"Fiance and Fiancee",-1.26596047195073,-0.438926070157732,-1.31894060297718,0.382041543817233,0.803924297219247
"Between Siblings",-1.23667904954196,-1.13917149946827,-0.358358923895826,0.550282990041625,0.573141321944111
"Between divorced spouses",0.446547346768566,-0.295988688166341,-1.13557528084325,-1.38819088053796,0.90272037973046
"Between a person and their in-laws",-0.779902941397988,-0.772684575485351,-0.745164670221231,-0.0822155376538625,-0.571186455338849
"Between cousins",0.0879301132726463,-1.4211352012845,0.0426495870949276,0.947052735536536,0.696756201775813
"Employer and Employee",-0.724845206905089,1.77554053021519,0.370259365754418,-0.236079313153495,-0.350465023210714
"Interviewer and Job applicant",0.706302156501189,0.529159665587429,1.13540077994539,0.00141530281197727,0.094483926458044
"Guard and Prisoner",-0.0401835270086063,-1.00354653846979,0.719877741006978,-2.28957048947144,-2.36564212467128
"Nurse and Patient",-0.202711277034224,0.886988856266079,0.72639838631553,0.338241927853426,-0.186156167439299
"Therapist and Patient",-0.420508597663714,1.41832245780697,0.530940560166538,0.377148731673431,-0.589071430526993
"Salesperson and Customer",0.265809981504908,1.84852406676009,0.477386909401837,0.295760722122983,1.01160019068103
"Between Business Partners",-0.757096521201183,1.73215239201386,-0.0915309464892947,-0.15540162533579,0.985182804490325
"Between opposing negotiators",-0.319853922411759,0.10739134368856,0.981070883617142,-2.16724275608469,1.99311985153637
"Between political opponents",-0.322531753796876,-0.33212319404879,0.3868783415132,-2.68207065540499,0.220068046925169
"Between business rivals",-0.549028590613273,0.389634618591418,-0.0613195362974931,-2.5984569516546,0.967656842936909
"Between enemies",1.31880856043327,-0.723951204119389,-1.04637487676458,-2.51515364837023,0.194715262023948
"Teacher and Student",-0.932134217917181,-0.428918590730233,1.35709785186498,0.443434200041484,-0.93888931715146
"Professor and Graduate student",-0.648761322820444,0.283157717877018,0.951689567790157,0.29609512878928,-0.258453962014814
"Master and Servant",-0.0395812975058102,1.95563818591615,-1.23348192317902,0.00675004169563664,-1.74669755628996
"Between Close Friends",-0.751133031445636,-1.24354628186607,-0.307946739916175,0.540863223971779,1.4699050506241
"Between casual acquaintances",2.63528217374129,-0.629563728896692,-0.145020853347074,0.77111183226301,0.730657208253352
"Between teammates in sports",-1.63727660674757,-0.194777616811845,0.878902023315429,0.117892787939095,2.04212997290434
"Between second cousins",0.960500616710315,-1.07909946415162,-0.4069553998681,1.07494824742207,0.340833519964811
"Parent and Infant",-1.46149409710236,-1.03517354596697,-0.866138653675048,0.756159757393244,-1.80842662383003
"Grandparent and Grandchild",-1.24796797153528,-0.794590275202962,-0.883031217104815,0.863140782381228,-1.26733873379777
"Step-parent and Step-child",-0.762548848889543,-0.687899067748192,-0.719995881580111,-0.030868400700814,-1.5634233301316
