"","V1","V2","V3","V4","V5"
"Parent and Child",-2.90622802424283,-0.929018081419623,-0.393364035404529,-0.943676011321263,-1.8473357643056
"Parent and Teenager",-1.7536790304465,-1.2359882336554,0.00922011213105234,-0.533619408914286,-1.31457693549179
"Wife and Husband",-2.61072040474166,-0.237687667792407,-0.302362134300873,-0.831121160263135,1.21324785471416
"Fiance and Fiancee",-1.1372071312498,-0.282560202780433,-0.758978058038639,0.159580678336963,1.10611817465525
"Between Siblings",-1.32940947993212,-1.01190137214579,0.1488566979099,0.20633670973538,1.28845512495124
"Between divorced spouses",1.23890042430208,-0.156687389901249,-1.15136564524178,-0.2956411792866,1.37549492120235
"Between a person and their in-laws",-0.0252203255427983,-1.13977973673817,-0.361904573615939,0.159706000734841,-0.932736615696429
"Between cousins",0.248890960921652,-1.32253898708524,-0.299396991544454,0.717511463660096,1.16913676724032
"Employer and Employee",-0.0077111048581664,2.04380919332414,1.04659747692734,0.307503587516427,-0.188902319754185
"Interviewer and Job applicant",0.76113176121965,0.484216150610018,1.5491908874845,0.0388504437620841,0.18906072517108
"Guard and Prisoner",0.93256474583427,-1.24481125988807,1.2495469108067,-1.38292087163397,-0.917858363139368
"Nurse and Patient",-0.306339046151511,0.626965228091965,1.00896591867963,0.377890780791877,0.142167142302683
"Therapist and Patient",-0.613321017941529,0.676633891582614,1.10481624302184,0.265057692855067,-0.397890349985918
"Salesperson and Customer",0.447615107754016,2.31333724705106,0.200647249412258,0.513053189532545,1.34285081888722
"Between Business Partners",-0.797976631980143,2.4806878229793,0.799988931689327,-0.419081004306095,1.66224112887091
"Between opposing negotiators",0.958745666913489,0.267863291365516,1.21410793983184,-1.3991768994154,1.03999208977178
"Between political opponents",0.588764059068744,-0.999043131209033,1.79224256153275,-2.45893458495946,0.582611980194058
"Between business rivals",0.168543337925181,-0.0874006879973718,1.72087108485651,-2.58571342331213,0.411544151372634
"Between enemies",0.627744682026716,-0.884508012354262,1.17669218977511,-2.41094718251782,0.325510844641522
"Teacher and Student",-0.733709267615693,-0.115894096523462,0.947391578021262,1.28622933224647,-1.30590485956548
"Professor and Graduate student",-0.626067685037697,0.0627370687883626,0.515759096450625,1.12230608785283,-1.49978536084133
"Master and Servant",0.137445678369101,1.39187872496653,-0.835134741457676,0.240395895784331,-0.936812280562129
"Between Close Friends",-1.30486332312383,0.0911806014673438,-0.549493618578726,0.531813782410491,1.49256439289708
"Between casual acquaintances",1.74532203845975,-1.25846050945508,-0.505265204551353,1.13809190330777,0.502327947601778
"Between teammates in sports",-0.659736573811285,0.723746705636938,1.12518608566043,0.0114998415000435,1.05256392081125
"Between second cousins",0.18895974665002,-0.728774847685958,-0.378354872128794,0.498157317935765,0.835151669869911
"Parent and Infant",-2.62802427332618,0.310387429573566,-0.897853887714902,-1.11799487553028,-1.62740475220532
"Grandparent and Grandchild",-1.96456950199598,-0.242961059461945,-0.860955598805739,-0.76680608413119,-2.09772439543766
"Step-parent and Step-child",-0.408681980679082,-0.442242133784674,-1.36691764497751,-0.775756405029893,-1.41723577841499
"Foster-parent and Foster-child",-0.134392796533619,-0.0207542831613078,-1.3664633315383,-0.513513631704406,-1.81173789149633
"Godparent and Godchild",0.28801931656051,-0.473378162782693,-0.816365349776579,0.114221105299325,-1.55369095489097
"Step-grandparent and Step-grandchild",0.422190368405584,-0.778135291458072,-1.14556066353594,-0.18600201944292,-1.95120590101779
"Ancestor and Descendant",0.0339822600355579,-1.73756109973208,-0.451589283965154,1.19359302740596,-2.35382481129792
"Bride and Groom",-2.05446292103586,-0.123217536976506,-0.382996663230413,-0.0764761020502978,0.767611095591824
"Man and His Mistress",0.246265548900016,1.19072167532732,-3.64218118405172,-0.142424976895563,-0.119002413413438
"Man Wife and Man Mistress",1.29425604531189,-0.544436589512904,-1.61946902544178,-1.71511094953932,0.12774343331265
"Brother and Sister",-1.34785333727714,-0.709641493577187,-0.148187379930491,0.275579123015368,0.624798665609223
"Between step-siblings",-0.00639220969885454,-1.21345917411223,-0.296255609603354,-0.314152825043976,-0.0627237900617511
"Between distant relatives",1.06998079289845,-1.10272213809956,-0.408355912616016,0.570363704815554,0.357279614762597
"Between close relatives",-0.587968307905409,-0.532745934678223,0.140558679588855,0.623724641895979,0.641233812320906
"Between twins",-1.63279927661435,-0.620224762498745,-0.664050721832061,0.196461943691269,1.06681543203838
"Between a person and their family friends",-1.16519810070276,-0.792421542139265,-0.691261079356168,0.382977502217721,0.194847993523726
"Between a person and their deceased spouse",-0.5110684845265,-1.2528042859654,-0.988284009141476,0.862590133873558,0.872423075848262
"Manager and Staff",0.465985533489039,1.3785688873664,0.276450619913153,-0.116437433231575,-1.06507474062146
"Foreman and Laborer",0.823930812131852,1.688152702009,-0.145867679209886,-0.294617210759914,-0.661485049208863
"Owner and Manager",0.369103516752933,1.43416633393353,0.263587619355696,-0.178922670531972,-1.17043012281206
"Union leader and union member",0.561358973707483,0.445563407232663,0.303045413227776,0.217721172401988,-0.94519606991109
"Manager and Assistant",-0.0271884197053428,1.6632552048395,0.325938684794506,-0.440044648286764,-1.06345970544145
"Chief and Deputy",-0.044905587068833,0.159912648904192,1.07772890988996,0.146223262628731,-0.399637767459766
"Supervisor and Subordinate",-0.132736210484103,0.750911793690267,1.12674766501788,-0.105106773035909,-0.942313641301452
"Boss and Secretary",-0.0921370856709918,0.953016187403363,0.858435602626667,0.505013936622311,-0.43747773948645
"Entrepreneur and Investor",0.196774087104501,1.74059116110722,0.782873169139031,0.329188019718209,0.621842485828912
"Intern and Employee",0.838667948693912,-0.388177282184917,0.953727467830755,0.854407814610257,-0.171680112193782
"Lawyer and Client",-0.133796121145353,1.14509154249007,1.02559250109217,0.414854657465178,0.341083004382183
"Judge and Lawyer",0.415834538041763,-0.232653869387344,1.1663409415571,0.735307248970699,0.321130305970897
"Victim and Criminal",1.10396903210476,-1.31361637138928,-0.0179068362395264,-2.04099189280844,-0.221917622687298
"Drug dealer and Addict",0.174240434229261,2.54711598943658,-2.09931076712992,-1.16685035739486,0.190915363433342
"Victim and Witness",1.05272882869036,-1.29102235279955,-0.101096468145176,0.188422200536211,0.416124947144486
"Criminal and Police officer",0.233902930127594,-1.08456968247559,1.37520307997071,-2.90659326902167,-0.209549297837527
"Criminal and Prosecutor",0.200659559138782,-0.607705020563643,1.38504307071572,-2.6210004755342,-0.165430382229114
"Criminal and Hostage",0.362572523763806,-0.436903461181776,-1.02115978162148,-3.87843626224551,-0.168628327521948
"Defendant and Plaintiff",-0.00650797744352707,-0.541873784839776,1.08296821314585,-3.22108166984044,1.72602644212426
"Police officer and Offender",0.715248496703331,-0.518703651745983,1.18575582082983,-2.11654569663983,-0.0718096615783667
"Police officer and Civilian",0.252857756409665,-1.00256949362962,0.590741536882258,1.84184482676024,0.100654550290864
"Parole officer and Parolee",0.341310199740324,-0.244557898748898,-0.191997615687591,-1.03547829159977,-0.947034260342
"Consultant and Client",-0.2347575310858,1.87259073621633,0.0780836038908497,-0.41437169919996,-0.0283277470191401
"Chef and Customer",0.336457592395315,0.957288583426854,0.253665356597724,0.202460756584535,-0.109765351279409
"Customer and Server",-0.0981371671546694,1.4428125169563,0.305898439576315,-0.161008211077746,0.0190194824326969
"Customer and Businessman",-0.30771134283687,2.03953124112232,0.327071598700557,-0.398793866744089,-0.165575082364914
"Doctor and Patient",-0.82658825495289,0.829961943493405,0.856054822412733,-0.659745244387204,-0.0370328939961045
