"","V1","V2","V3","V4","V5"
"Parent and Child",-1.25085487454764,-0.437971754854144,-1.39236453697549,-0.406659270182617,1.42447542293378
"Parent and Teenager",-1.30673200044873,-0.45705431257214,-1.25539615737981,0.534231686723312,1.26021907643172
"Wife and Husband",-1.0387706371333,0.581940963717983,-2.04089712332949,0.457448578656902,-1.01606184138807
"Fiance and Fiancee",-0.611737708267517,0.409476384540015,-1.90347931692738,0.0216553414291867,-1.25786778289566
"Between Siblings",-1.63185400049191,-0.927615210243521,-0.621665154724297,0.791486187828059,-0.941810431695986
"Between divorced spouses",1.33022936549483,-0.261527712880156,0.534971558445833,1.2578447629716,-0.554263072689527
"Between a person and their in-laws",0.550552149997674,-1.20584294387618,0.129699909327424,-0.133901452926458,0.908004688752165
"Between cousins",-0.359708353666439,-1.5241047060127,-0.355327700180558,-0.463181612513124,-0.795088397960809
"Employer and Employee",-0.960488249138817,1.32556271132699,1.14435238943399,-0.092092983536804,0.249298315189041
"Interviewer and Job applicant",0.11235956221804,-0.0387367211518546,1.89521957817714,-1.27844833335024,-0.211156269317068
"Guard and Prisoner",0.143157088554268,-0.790603292690182,1.19209074402883,1.31618531303499,0.851609533518281
"Nurse and Patient",-0.0283526794950182,-0.0860763840702808,0.724683393554712,-1.06180040966702,0.425708896942948
"Therapist and Patient",0.170160795721676,0.592368130841014,0.26661626341522,-1.54277226779359,0.294727629585913
"Salesperson and Customer",0.522958556897239,1.9378413973369,1.30042278333105,-1.18030732614376,-0.911179474330555
"Between Business Partners",-0.691425442636701,1.27381072808011,0.540439272664846,-0.434810527478763,-1.84360331589856
"Between opposing negotiators",0.52971851403825,0.0149179985703866,1.54376466038433,1.20287067191075,-2.29789097700526
"Between political opponents",-0.593283589865956,-0.513601977552565,1.25780277664449,2.81488421733418,-1.34127895452126
"Between business rivals",-0.132826271001625,-0.0439227716402822,1.09714846843038,2.15033588016631,-1.08696384015285
"Between enemies",1.98560937390549,-1.26757170236859,0.331071321836766,1.93764866455939,-0.665071811405318
"Teacher and Student",-1.24039043309472,-0.129352850929336,0.294944057617842,-0.320849770687578,1.50585912669284
"Professor and Graduate student",-0.899285879167022,-0.0606072407869436,0.432387696965575,-0.536781271371531,1.45752586840452
"Master and Servant",0.756469622707909,0.364851552703798,-0.034410099124188,0.227289268730738,2.1140681801863
"Between Close Friends",-0.845033762609742,-0.365881002203394,-1.30971899395556,-0.54715067817752,-0.98304450867324
"Between casual acquaintances",1.050839905977,-1.01009167107798,0.00179707062093784,-0.354845439064033,-1.00866323527785
"Between teammates in sports",-1.8374512849025,-0.281628046429088,0.730559162277426,0.549720155985749,-1.82132742861893
"Between second cousins",0.198530651714614,-1.51083129876602,-0.344929278755813,-0.919824812418306,-1.30979870906652
"Parent and Infant",-1.36447904883639,-1.04309068956434,-1.37695235357378,-0.91151422211357,0.83702110012313
"Grandparent and Grandchild",-0.675972732315119,-1.20821260841197,-1.16526884125705,-1.3072570067646,1.67178710219229
"Step-parent and Step-child",-0.435758380062934,-1.37979866763964,-0.654861822704511,-0.104116563494632,0.557772735752489
"Foster-parent and Foster-child",-0.675180586643788,-1.18875966964733,-0.611610328685508,0.125432082614124,0.856907220446649
"Godparent and Godchild",0.771345323629518,-1.3178066242538,-0.542034027847661,-1.63004880278866,0.745431671106222
"Step-grandparent and Step-grandchild",0.388973626598344,-1.64823152547925,-0.39937841362623,-1.08879812943156,1.12889027042082
"Ancestor and Descendant",1.2308783003899,-1.10381390859677,-0.504322420444052,-1.33913065237987,1.48138791703814
"Bride and Groom",-0.759080517361983,0.852074717915471,-2.14065199514581,0.0123274029462505,-0.318708779816113
"Man and His Mistress",2.12772166561252,1.64730096942044,-2.10240177657082,-0.270320041373446,0.402196885610019
"Man Wife and Man Mistress",1.86228353593676,0.121102220232292,-0.845810253379524,0.853105799854868,0.480545642835311
"Brother and Sister",-1.43330756803388,-0.437621236796615,-0.822714941786197,-0.269843308261461,-0.193695582187748
"Between step-siblings",-0.152564982431966,-1.03562619827156,-0.488597021658811,-0.242463582764405,-0.051957213030663
"Between distant relatives",0.962566730583897,-1.29616747513437,-0.00814866760150253,-0.424893880690651,0.228446243625899
"Between close relatives",-0.394470936696323,-0.822923945709667,-0.523532361619463,-0.717343280640173,-0.230464845944389
"Between twins",-0.783540714056334,-0.721313906778195,-1.81217920263231,0.102217172236109,-0.942249581761889
"Between a person and their family friends",-0.246589224843398,-0.612530747540818,-0.903280879113981,-0.144585062269871,-0.495454440405686
"Between a person and their deceased spouse",1.26709510674314,-0.840813088391611,-1.51642021414228,-0.915114167346253,-0.331153081325505
"Manager and Staff",-0.696457919210929,1.2626770472805,0.874053943365107,1.04605592393713,0.4983808073996
"Foreman and Laborer",-0.0832955572410624,1.25826663944592,0.897589553121431,0.763454118288377,0.417845777058541
"Owner and Manager",-0.637719176349612,1.27317171894677,0.718075300999636,0.895896802018815,0.795929119700314
"Union leader and union member",-0.579195240938567,0.53895897982113,0.793499259077933,0.763240213524915,-0.0842322706681837
"Manager and Assistant",-0.749998334930666,1.15309617782156,0.721433635083153,0.972176801838798,0.786774164789049
"Chief and Deputy",-1.41590003343093,-0.0320422243887212,1.06886085472618,0.00677715665904247,0.582010534368609
"Supervisor and Subordinate",-1.23684797137196,-0.0348648608097274,0.968509970013738,0.215030008497055,1.19622409927976
"Boss and Secretary",-0.91579785834107,0.375811819202604,0.579015090897005,-0.540061161253388,1.73468929149855
"Entrepreneur and Investor",0.0424363701646447,1.77209666197016,1.01679272336574,-0.635113642576557,-0.662305314482088
"Intern and Employee",-0.727921782890134,0.178839193132026,1.1359581078633,-0.404601791308594,0.437547036102767
"Lawyer and Client",-0.662779096999796,1.53766699144001,0.924852418499444,-0.442916834558393,0.253478570175802
"Judge and Lawyer",-1.00633607494947,-0.376588069851118,1.26488144050627,0.436304255163086,1.2153470287527
"Victim and Criminal",0.682671601713755,-1.11641114449994,-0.0316874797069177,3.08379653457476,0.850668699719467
"Drug dealer and Addict",0.76373480784408,2.93703701802058,-1.22349647827473,1.07264086230033,-0.159871652331351
"Victim and Witness",-0.122608465943382,-1.15866152420425,0.119239441648321,0.509814074965568,-0.565659943927689
"Criminal and Police officer",-0.228447560622478,-0.53635068644143,0.904454187760024,2.54796321132367,0.611930337178598
"Criminal and Prosecutor",-0.343496061525619,-0.52456977305977,0.871447984051664,2.28212945919172,0.882544098701414
"Criminal and Hostage",1.03578921752186,0.378488764150903,-0.497196858851107,2.6480574003024,0.892507041768025
